id,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
645,C,,,,93,B,,21,,high,87,Z,medium,236,Y,medium,390,Z,low,24
646,C,32,B,,32,C,high,56,B,unknown,83,X,medium,360,Y,low,,Y,medium,281
647,S,,A,unknown,,C,medium,33,,low,,,low,490,X,low,240,Y,medium,429
648,C,,A,high,,D,unknown,67,,,17,Y,low,63,X,high,367,X,high,111
649,S,96,A,low,47,D,,92,,high,46,X,,430,Z,low,287,Z,low,479
650,S,84,D,low,2,C,low,35,C,high,77,X,high,318,X,,161,X,low,181
651,S,,C,unknown,84,C,,55,C,unknown,61,Z,high,292,Y,medium,281,Z,high,342
652,S,65,B,unknown,,D,medium,,B,,,X,medium,432,Z,low,67,Y,high,350
653,S,20,D,unknown,,,low,21,,low,21,Y,medium,152,Z,high,127,Z,low,91
654,Q,,A,low,25,,,51,D,low,65,Z,high,393,Z,high,486,Y,low,
655,Q,,A,high,1,C,high,30,D,unknown,42,X,low,285,Y,high,92,Z,medium,474
656,S,53,B,unknown,,C,,62,D,,,X,low,467,Y,low,299,Y,high,350
657,S,76,D,high,2,A,low,74,,high,93,Y,high,233,Z,,,Y,high,315
658,Q,63,C,high,79,C,unknown,14,C,medium,0,X,medium,360,Z,low,232,Y,medium,151
659,S,,D,,51,,unknown,18,A,medium,23,Z,low,248,X,low,123,,low,54
660,C,28,,low,,,high,2,D,unknown,91,X,low,196,Z,,284,Y,medium,135
661,S,,,medium,81,C,low,1,A,,,X,,187,Z,high,278,,low,273
662,C,73,A,,89,,,,,,30,X,low,460,Z,low,308,Y,medium,346
663,S,3,A,low,12,D,high,70,D,unknown,,X,medium,418,X,high,154,Y,low,159
664,S,,C,low,,C,high,,,unknown,,X,high,112,Y,low,289,Y,low,107
665,S,,,,12,B,,40,D,high,,Y,high,432,X,high,364,Y,high,124
666,S,69,D,unknown,68,D,unknown,,B,low,30,Y,high,291,X,medium,359,X,high,480
667,S,50,D,high,56,B,unknown,72,,high,53,Y,high,,Y,low,283,Z,,
668,S,86,C,high,8,B,high,80,A,high,,X,low,382,X,high,149,Y,medium,495
669,S,91,B,,23,,,73,,high,,X,low,81,X,high,266,Z,medium,3
670,S,,A,low,53,D,high,,,low,79,X,low,436,X,high,268,Y,low,229
671,S,,C,medium,,C,low,52,B,,62,X,high,227,,medium,475,Y,medium,228
672,S,61,C,,34,,,52,A,unknown,,Z,medium,458,X,high,188,Y,medium,200
673,S,,D,unknown,,D,,64,A,medium,98,X,high,241,Z,high,,Z,high,195
674,S,9,C,,99,A,low,79,B,medium,,X,,42,Z,high,,X,medium,39
675,S,62,A,,76,,high,,,low,89,Y,high,383,Z,medium,317,,high,16
676,S,,,medium,,C,high,67,C,unknown,,X,medium,363,Z,low,213,X,medium,389
677,S,58,,medium,,D,,83,A,low,92,Y,high,151,Y,medium,0,Z,low,220
678,S,,A,unknown,,B,high,,,medium,78,Y,low,102,Y,medium,352,Y,medium,81
679,S,52,D,medium,51,D,unknown,41,C,medium,21,,high,431,,low,368,Z,high,
680,C,93,A,unknown,44,A,unknown,,B,,20,X,medium,389,Y,low,465,,low,466
681,Q,72,,,83,D,medium,2,,,54,,low,148,Y,,251,X,high,233
682,C,13,D,,,A,,,D,unknown,50,Z,low,350,Y,,257,Y,medium,495
683,S,95,,,,,,80,B,unknown,23,Y,,120,X,,104,X,high,80
684,S,95,A,medium,,,high,17,,high,26,X,low,90,Z,high,229,Y,high,61
685,S,16,D,,6,D,low,,B,low,89,Y,high,,,high,0,X,medium,281
686,C,80,A,,69,D,,90,,unknown,,Y,low,416,Z,low,250,X,,341
687,S,,C,,65,,high,49,,medium,,Z,medium,459,X,low,,X,low,490
688,S,59,D,unknown,58,D,medium,48,B,,,Z,medium,230,Z,high,392,Y,high,232
689,S,44,C,low,5,B,high,42,A,medium,15,Y,medium,71,X,high,331,Z,high,100
690,S,78,A,low,49,C,low,37,,,,X,medium,271,X,medium,402,Y,low,270
691,S,99,D,high,89,A,medium,38,A,,,,high,340,,high,332,X,,153
692,C,79,A,medium,23,A,high,55,C,,64,X,high,485,X,low,389,X,medium,89
693,S,,C,,69,A,high,,A,,,Z,high,56,X,medium,218,Z,low,44
694,C,94,,low,85,C,unknown,,A,,23,Y,,328,Z,medium,301,,low,361
695,S,9,,,,,unknown,86,D,medium,18,Y,high,256,X,low,319,Y,low,321
696,S,25,,medium,51,D,,11,A,unknown,,,,294,Z,high,286,Y,low,83
697,S,72,A,medium,,,low,30,B,,7,Y,high,46,X,medium,285,Y,low,279
698,Q,59,D,high,69,C,,75,C,unknown,,Y,low,8,Y,low,390,Z,low,442
699,C,5,A,,,,low,54,B,medium,86,X,low,303,Y,low,119,Z,medium,409
700,S,9,,medium,,B,,33,B,medium,30,Y,high,99,Z,,158,,medium,226
701,C,52,,low,,A,low,31,,low,,X,high,306,Z,,259,Y,low,28
702,S,61,C,high,71,,,11,,,,X,low,13,Z,high,322,Z,low,317
703,C,16,C,low,24,C,low,,D,low,25,X,high,400,Z,low,257,Y,medium,258
704,Q,17,C,medium,75,,high,,C,medium,6,Y,low,166,X,medium,99,,high,460
705,S,,C,,54,C,,41,D,unknown,,Z,low,,X,medium,411,Z,high,276
706,S,56,D,low,93,D,high,,C,high,2,X,high,172,Y,medium,272,X,high,368
707,S,,,medium,65,C,high,27,,high,42,X,low,209,X,,216,Y,low,264
708,S,,D,,,A,low,,,unknown,3,Y,low,265,Y,high,439,Y,high,270
709,S,47,D,unknown,97,B,,,C,unknown,,X,high,322,Y,high,218,,low,158
710,C,,D,unknown,99,D,unknown,40,C,unknown,,X,medium,344,X,medium,80,Y,low,201
711,C,,,low,74,A,high,25,D,,32,Y,medium,495,X,high,492,X,low,147
712,S,,D,high,59,A,medium,63,,,,Y,high,89,Z,low,191,Y,low,231
713,S,72,A,high,11,D,unknown,54,B,,,X,low,435,Y,low,447,Y,medium,475
714,S,76,D,medium,,,,57,A,,,X,high,300,Z,low,258,Y,low,170
715,S,,C,medium,47,D,,,,high,,X,low,154,,low,121,Y,high,231
716,S,79,,,78,,low,72,,medium,36,Z,medium,458,Y,high,188,Z,high,473
717,C,51,C,medium,58,C,,,D,,,Y,low,353,Z,low,455,Z,medium,75
718,S,,B,low,43,C,,83,C,low,25,,low,92,X,,472,Z,low,126
719,Q,,,,,A,low,42,A,,,X,low,87,X,medium,68,X,high,246
720,S,59,D,medium,,,,40,C,medium,73,Z,medium,329,Z,high,493,Z,low,204
721,S,13,A,,,,,38,B,low,75,,high,364,Z,low,426,Z,high,170
722,S,93,B,low,,D,medium,42,,unknown,51,Z,low,22,X,high,323,Z,high,389
723,S,84,,low,,,low,66,B,medium,75,Z,medium,314,Y,medium,91,Z,low,249
724,S,,,unknown,87,D,low,49,C,medium,59,Y,high,265,Y,low,293,Z,low,182
725,S,78,D,low,11,D,unknown,12,A,medium,,Z,high,,Z,low,212,Z,high,
726,S,11,A,high,40,A,unknown,56,C,medium,35,Z,high,370,Y,high,62,Z,high,443
727,S,,C,high,51,,,,D,unknown,51,Z,low,454,X,high,491,Y,medium,491
728,Q,8,D,high,,C,low,10,,high,,X,medium,17,Z,high,301,Y,low,121
729,S,48,D,unknown,16,C,,,A,low,76,X,medium,382,Z,medium,48,Y,medium,20
730,S,65,A,,,D,,31,A,low,,Z,medium,166,Y,high,170,Z,medium,15
731,S,72,,,59,,medium,,,,5,Z,low,276,Z,low,419,Y,low,222
732,C,41,,low,,,medium,17,D,,49,Y,low,438,X,low,221,,high,314
733,S,,,,16,B,high,,D,,7,X,high,434,X,high,247,Z,medium,25
734,S,,B,high,42,D,,,,unknown,19,Y,low,112,Z,low,71,X,low,254
735,S,20,,unknown,72,D,,13,B,medium,37,Y,high,120,Y,medium,,Z,,199
736,S,,,medium,73,,unknown,,A,,0,Y,low,361,X,medium,488,Y,medium,466
737,S,,B,,19,C,unknown,31,B,low,22,Y,medium,,Z,low,476,Z,medium,301
738,C,,,unknown,,,medium,58,B,medium,54,,medium,306,X,high,47,X,,211
739,S,,,high,89,,,56,C,medium,37,Y,high,27,X,low,274,X,low,293
740,S,89,A,unknown,22,A,,,D,,89,Z,high,81,Y,high,340,Z,low,67
741,S,81,A,,2,C,medium,58,D,,9,X,low,374,Y,low,440,Z,low,237
742,S,76,C,medium,95,,unknown,56,,low,,Z,high,370,Z,,279,Y,low,164
743,C,,B,,52,A,,8,A,high,59,Z,low,448,Y,low,434,Y,medium,90
744,S,27,,high,77,,,,,medium,64,Y,high,266,X,medium,,Y,medium,196
745,S,79,D,low,32,,,11,B,medium,67,Y,high,213,Z,low,7,Y,high,319
746,S,36,A,unknown,,A,,43,B,low,5,Y,low,56,Y,low,232,,,291
747,S,53,B,low,,D,medium,36,C,low,79,Y,medium,390,,medium,132,Y,medium,481
748,S,31,C,medium,,A,,,C,medium,33,Z,high,474,,high,377,Y,low,137
749,S,31,D,,47,C,unknown,,D,medium,65,,high,22,Y,high,168,X,low,349
750,Q,,C,high,,,unknown,,C,,,Y,medium,245,Y,high,203,Y,low,275
751,S,,B,high,,B,low,41,,unknown,39,,low,177,X,high,267,Z,low,436
752,S,14,,unknown,,A,unknown,6,A,,70,Y,medium,372,Y,high,480,Z,low,454
753,S,,D,,91,,,0,,medium,93,Y,high,381,Y,high,35,Y,high,353
754,S,93,B,,,A,,54,D,,87,Y,medium,108,Z,medium,276,Y,medium,211
755,S,55,D,,,,medium,,D,high,,Y,low,476,Z,high,194,X,high,266
756,S,43,D,unknown,51,D,medium,54,B,medium,53,Y,low,68,Z,high,18,Y,low,325
757,S,73,,medium,,D,,72,,,52,Z,low,390,Y,medium,407,Y,low,402
758,S,38,A,,82,,unknown,75,A,,96,Z,medium,,Y,low,456,X,low,114
759,S,,D,unknown,72,D,,87,A,medium,20,Z,,81,Y,low,86,X,medium,436
760,S,,A,,14,,,,C,,95,Y,medium,336,X,medium,379,Y,medium,400
761,S,17,B,low,58,D,medium,88,C,low,64,Z,high,135,X,medium,350,Z,medium,44
762,S,55,,unknown,53,,low,79,C,unknown,,Z,medium,137,Z,medium,352,Y,high,134
763,C,,C,high,,,low,43,,,,X,medium,43,X,high,230,Z,medium,117
764,S,93,B,high,,B,medium,50,B,medium,81,Z,medium,373,Z,,160,,high,289
765,S,36,C,unknown,,B,,61,A,high,,Z,medium,403,Z,medium,35,Z,low,104
766,S,78,,medium,,,,,,,,Y,high,252,Z,high,17,Z,medium,150
767,C,61,D,,51,B,unknown,67,C,,,Z,low,387,X,high,88,Y,medium,94
768,Q,47,,high,,,unknown,58,B,medium,72,X,medium,174,Y,medium,263,Z,medium,33
769,Q,,A,low,,A,high,52,C,unknown,91,Z,low,282,Z,medium,70,X,high,229
770,S,37,B,low,4,B,,,B,low,,Y,low,393,Y,low,343,X,medium,159
771,S,65,A,,35,,unknown,68,C,unknown,,Z,low,215,Y,medium,309,Y,medium,252
772,S,98,D,,,D,medium,93,B,high,4,Y,medium,308,Z,low,172,X,,106
773,S,0,,high,,A,medium,97,B,low,63,Y,high,72,Z,medium,43,Z,medium,143
774,C,,B,medium,,C,low,82,A,low,,Y,high,253,X,medium,258,Z,medium,446
775,S,,,low,,D,high,29,C,high,96,Y,low,425,,low,411,X,low,402
776,S,,,high,44,D,low,,D,,,Z,high,386,Y,high,196,Z,low,133
777,Q,42,B,unknown,75,D,high,29,C,low,91,Z,low,150,Y,low,,X,low,80
778,S,11,,medium,33,A,,,,high,,X,low,272,Z,medium,143,X,medium,487
779,Q,,A,low,15,B,low,,,unknown,0,Y,medium,309,X,medium,40,Z,high,
780,S,85,B,,84,D,high,88,A,high,,X,high,469,X,,324,Z,low,246
781,C,87,B,,77,D,medium,68,D,high,63,X,medium,414,Z,medium,444,Z,high,349
782,S,63,D,,,C,medium,68,A,low,,Z,low,409,Y,low,441,Y,high,110
783,S,12,D,medium,,D,high,95,C,high,17,Z,medium,376,Z,low,479,Y,low,214
784,S,,D,medium,77,C,,68,D,high,91,Z,low,179,X,high,53,X,,195
785,S,,,low,74,A,unknown,14,D,low,,Y,,188,Y,low,21,Z,high,360
786,S,58,,medium,,D,medium,,B,medium,41,Y,low,232,Y,medium,284,Z,medium,91
787,S,,B,unknown,,A,medium,35,D,,29,Z,medium,213,Z,low,475,Y,,244
788,Q,68,B,medium,59,B,unknown,63,,unknown,,X,low,478,X,medium,498,Z,high,416
789,S,,,high,,A,low,63,A,low,,,high,437,X,medium,139,Y,medium,
790,C,,D,low,77,C,,29,,high,11,,low,447,Y,medium,187,Z,medium,59
791,Q,,A,low,46,A,unknown,,D,high,,Y,low,303,Y,high,332,Y,high,410
792,S,45,B,high,90,,medium,8,D,high,98,Y,high,95,Z,low,456,X,low,436
793,S,,C,low,,D,low,29,D,high,23,X,high,71,Z,medium,87,Y,medium,215
794,C,,C,medium,,,medium,82,B,unknown,77,Y,,137,X,low,487,Y,low,22
795,S,43,B,medium,91,,unknown,65,B,,2,Z,low,325,X,medium,408,X,medium,270
796,S,29,C,low,47,D,unknown,94,,high,89,X,low,182,Y,low,34,Z,high,149
797,S,96,,high,,B,unknown,,A,high,65,Y,high,327,Z,low,420,X,medium,293
798,S,,A,unknown,,C,,85,,high,22,X,high,439,Y,high,320,Z,high,69
799,C,31,,low,87,,,17,C,unknown,88,X,high,167,Z,,489,Z,low,402
800,S,,C,unknown,75,A,medium,,C,low,,Y,high,463,X,low,104,Y,,342
801,S,1,,high,16,A,,5,B,unknown,99,Y,low,255,Z,low,496,,high,322
802,S,,,,49,A,unknown,9,D,high,59,Y,high,401,X,low,23,Y,low,256
803,S,51,,low,37,D,,23,C,unknown,44,X,medium,,Z,low,,Z,low,110
804,C,91,C,unknown,64,D,unknown,28,A,medium,5,Y,high,137,Z,high,223,X,high,469
805,S,,C,low,,,,1,,,26,X,medium,465,X,medium,328,,,132
806,S,,,,71,,,,D,,5,Y,high,443,X,medium,83,Y,low,183
807,S,,D,high,74,,unknown,52,A,,85,Z,,285,Y,medium,136,X,high,463
808,S,11,D,medium,,D,low,65,C,unknown,,Y,high,16,Z,medium,194,Z,low,20
809,S,,A,low,15,,,65,A,,11,Z,medium,29,X,medium,,Y,medium,62
810,S,99,D,,62,,,96,,low,,Y,low,211,X,medium,87,X,low,380
811,S,4,A,low,,,,,,high,97,Z,medium,449,Z,high,74,X,medium,183
812,S,87,,high,94,,low,34,B,high,97,Z,medium,188,Z,low,477,X,low,289
813,S,68,,unknown,77,B,,,,high,71,Z,low,442,X,medium,468,Y,low,290
814,S,28,B,medium,95,,unknown,55,A,low,7,Y,high,267,Z,low,314,Y,high,413
815,S,,,,53,B,medium,52,C,,50,X,low,67,Z,medium,341,Y,low,310
816,S,83,B,low,93,,medium,79,D,medium,94,Y,medium,280,,high,68,Y,low,213
817,S,4,C,,1,,medium,56,B,high,9,Z,,182,X,high,25,Y,low,274
818,C,10,A,low,28,,,23,D,unknown,79,Y,high,112,Z,medium,188,Y,high,369
819,S,66,C,low,0,B,high,,B,high,1,Z,medium,337,X,,492,X,medium,189
820,S,99,B,high,67,,high,96,A,,,Z,high,102,X,high,238,X,low,85
821,S,,C,,51,A,,,C,unknown,,Z,high,452,X,medium,403,Z,medium,243
822,S,66,D,,28,,medium,59,D,,,,low,401,Y,high,184,Z,medium,499
823,S,13,,,30,C,unknown,17,B,unknown,41,X,high,391,,,154,X,medium,56
824,S,65,,,,,unknown,0,D,,,Y,medium,38,,low,406,X,low,86
825,S,62,B,high,18,B,high,,C,unknown,84,Y,,480,X,high,235,Y,high,497
826,Q,9,,,51,A,,2,,,32,Z,low,246,X,,365,Y,high,414
827,S,68,B,unknown,61,,medium,45,,,64,,medium,366,X,high,363,Y,high,58
828,C,89,A,,23,,high,88,B,,46,X,high,95,Z,low,363,Y,high,106
829,Q,,C,,22,C,medium,,A,low,43,X,high,384,X,medium,,X,low,345
830,,2,B,medium,,,,,,,79,Y,high,,X,,404,Y,medium,391
831,C,,A,,,,,85,,low,22,X,high,353,X,low,231,Z,high,366
832,S,,A,high,25,D,low,,C,medium,,Y,medium,138,X,high,151,Y,,430
833,C,45,,unknown,37,,,65,C,unknown,48,X,high,466,Z,low,256,Z,high,
834,S,14,D,unknown,54,C,,78,A,,,Z,low,354,X,low,162,Z,medium,438
835,S,85,,medium,18,B,low,,,low,,Y,high,226,Y,low,21,Z,high,298
836,C,77,A,,56,D,unknown,42,B,medium,34,Z,low,228,Y,high,180,Y,low,237
837,S,80,B,low,13,,,39,C,,66,Y,medium,0,X,low,250,Y,high,318
838,S,19,D,unknown,14,B,unknown,,B,,47,X,high,149,Y,medium,260,,high,214
839,S,1,C,low,23,C,medium,40,D,,,X,,394,X,low,170,X,low,303
840,C,91,A,,28,,unknown,,A,high,52,Z,high,415,Y,medium,362,Y,high,416
841,S,28,,medium,2,D,,18,A,,,Y,high,499,X,medium,142,X,low,479
842,S,65,B,unknown,96,B,,17,B,low,,Z,medium,42,Y,low,323,Y,high,289
843,C,90,D,,,D,low,71,A,unknown,44,Z,low,125,Y,low,134,X,high,2
844,C,3,A,medium,,,,76,A,,43,Y,high,383,Y,medium,493,Y,low,310
845,S,0,D,,,,medium,67,C,medium,27,Y,medium,180,X,,324,Z,medium,125
846,S,0,C,low,80,B,,,D,,,X,high,124,Z,medium,278,Y,medium,
847,S,15,,,83,D,low,0,C,,,X,medium,140,X,medium,214,Z,,440
848,C,5,,low,10,C,unknown,,,medium,,X,high,459,X,low,377,Y,low,223
849,S,81,,,37,,high,46,,,69,X,medium,428,X,low,212,Z,high,395
850,C,60,D,medium,,D,unknown,,B,,41,Y,low,2,Z,medium,401,X,low,184
851,S,,A,,57,,high,92,A,unknown,70,Z,low,420,X,high,79,Z,low,303
852,S,,B,medium,0,D,low,86,D,medium,71,Y,high,278,Y,low,410,Z,high,332
853,C,96,A,,,D,medium,77,,low,52,Y,high,422,Z,medium,480,Z,medium,446
854,S,23,A,low,,,medium,2,B,,,Z,low,311,X,high,121,X,high,98
855,S,,A,,,,low,,,unknown,,Z,high,344,X,medium,111,Z,,280
856,S,84,,,38,,unknown,43,C,high,15,,,288,,low,477,Z,high,202
857,S,24,A,,,B,unknown,,A,,,X,medium,367,Z,high,203,X,,231
858,S,,,,30,A,,,A,unknown,95,Y,high,407,Z,medium,347,Y,low,424
859,C,66,A,,29,B,high,29,C,,40,X,low,254,Y,medium,95,Y,high,67
860,C,80,A,unknown,34,A,high,11,,high,31,X,medium,56,Z,high,213,,high,273
861,S,96,D,high,30,C,high,32,C,medium,79,Y,,46,Z,,351,Y,high,193
862,S,92,A,,,C,low,79,B,high,60,Y,medium,207,X,high,447,Y,high,448
863,S,,,medium,4,C,high,,A,unknown,,,low,236,X,medium,218,X,low,108
864,S,77,A,high,27,C,unknown,,,low,9,X,,431,X,high,37,Y,high,116
865,S,84,A,,31,B,,59,B,,80,Z,medium,16,Z,high,206,Y,low,45
866,S,69,C,high,,C,high,9,,unknown,,Y,low,444,,high,321,Z,high,219
867,C,81,D,,87,D,,,,,,Y,medium,27,Z,low,437,X,medium,5
868,S,,C,,67,A,high,15,,,,,medium,249,Y,low,416,Z,low,250
869,S,,C,high,,B,,26,,,,X,high,211,Z,high,379,,,111
870,S,4,A,high,,D,medium,97,,medium,,Y,medium,278,,medium,82,Z,high,200
871,S,45,D,medium,,,,50,A,low,,X,medium,21,Z,high,,X,medium,302
872,S,,A,low,90,D,unknown,19,,low,63,X,medium,381,Z,high,288,Y,high,342
873,S,11,C,low,45,,low,50,A,low,84,Z,medium,67,X,medium,234,Y,low,30
874,S,12,B,,68,B,medium,7,B,,61,Z,low,389,Z,,461,Z,low,74
875,C,69,D,medium,38,A,,31,A,unknown,77,Y,high,283,Z,low,479,Z,low,158
876,C,50,B,,49,D,,,D,,34,X,medium,444,X,high,105,Y,low,259
877,S,,,,48,,medium,,A,unknown,28,X,medium,489,Z,low,478,X,medium,441
878,S,74,,,,A,high,89,,,26,Y,low,421,Y,low,423,Z,medium,69
879,S,54,C,medium,,A,low,,A,medium,11,,high,226,X,low,352,Y,low,33
880,C,63,D,high,73,C,medium,65,A,medium,27,Y,medium,207,Z,high,190,X,medium,314
881,S,8,C,,2,D,unknown,70,C,high,24,Y,low,,,medium,380,Z,low,489
882,S,85,,high,13,D,high,55,D,,75,X,low,324,Y,high,293,,medium,415
883,S,,B,low,84,D,unknown,3,A,,,X,medium,395,Z,medium,449,Y,high,282
884,S,,C,medium,56,,low,91,A,unknown,,X,high,241,X,medium,355,,medium,9
885,S,81,B,,,D,medium,,B,medium,73,Y,low,231,X,low,482,Y,,
886,Q,73,,high,60,D,unknown,65,D,,,X,low,58,,medium,209,X,low,228
887,S,5,B,,,,,55,A,low,,X,medium,84,Z,medium,41,Z,high,223
888,S,19,A,low,89,B,,65,A,unknown,,Y,medium,,Y,high,245,Z,low,246
889,S,1,A,,66,D,medium,35,B,high,21,Y,high,494,Y,high,498,Z,high,280
890,C,27,B,,,D,unknown,84,B,unknown,78,Z,high,300,Z,high,327,,,360
891,Q,,D,unknown,,A,medium,22,A,high,3,Y,medium,172,Z,high,351,Y,medium,96
