id,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
425,medium,91,Y,low,260,Z,medium,431,X,high,196,Z,medium,233,Y,low,259,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",01-09-2024,14:01:00,14:31:00,01-09-2024 14:28,Assassination Question,Rwigara Mother Adeline,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
426,low,32,Y,medium,348,Z,medium,259,X,medium,489,Z,high,380,Z,low,496,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-02-2024,12:22:00,12:45:00,16-02-2024 12:37,Assassination Question,Rwigara Mother Adeline,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
427,low,243,Y,high,456,Y,medium,68,Z,medium,476,Z,low,384,Z,high,225,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",22-04-2024,12:22:00,15:54:00,22-04-2024 15:47,Abortion Travel,International Women,Senator,D,Senator Dianne Feinstein (CA),Guns Roe Wade
428,low,270,X,high,229,Z,high,68,X,low,482,Y,medium,13,X,medium,91,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-10-2024,19:15:00,22:54:00,13-10-2024 22:52,Assassination Question,Rwigara Mother Adeline,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
429,medium,234,Y,medium,147,Z,medium,232,X,medium,487,X,low,307,Y,high,305,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-04-2024,21:12:00,21:44:00,13-04-2024 21:42,Assassination Question,Rwigara Mother Adeline,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
430,low,27,Z,low,77,Z,medium,205,Y,low,11,Y,high,456,Y,low,414,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-05-2024,18:07:00,18:46:00,07-05-2024 18:36,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
431,low,243,Z,high,229,Y,high,95,Z,high,279,Y,medium,174,Z,low,299,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",17-10-2024,16:34:00,20:21:00,17-10-2024 20:15,Assassination Question,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
432,low,444,X,low,296,Y,medium,36,X,low,249,Y,high,271,X,medium,265,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",01-03-2024,10:27:00,13:28:00,01-03-2024 13:24,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
433,high,15,Y,low,491,X,low,41,Y,low,301,Z,low,132,X,low,334,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",29-03-2024,11:01:00,12:42:00,29-03-2024 12:41,Voice Cnn Masai,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
434,medium,387,X,low,21,Z,low,133,Y,low,200,Y,low,360,Z,medium,440,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",25-01-2024,16:38:00,20:03:00,25-01-2024 19:56,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
435,high,136,Z,high,352,X,low,146,Y,low,134,X,high,59,Z,low,38,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",02-11-2024,18:42:00,20:24:00,02-11-2024 20:18,Abortion Travel,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
436,low,37,Y,medium,16,Z,low,231,Y,high,127,X,low,259,X,high,490,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",23-12-2024,10:44:00,12:23:00,23-12-2024 12:21,Assassination Question,International Women,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
437,low,25,Z,medium,54,Z,low,305,X,low,301,Y,medium,206,Y,high,446,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",06-10-2024,18:41:00,20:11:00,06-10-2024 20:02,Abortion Travel,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
438,low,6,Z,high,215,Z,medium,495,Y,medium,488,X,low,320,Z,high,480,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",30-10-2024,16:30:00,17:42:00,30-10-2024 17:38,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
439,low,207,X,high,183,X,medium,397,X,high,413,X,medium,247,X,medium,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",12-05-2024,10:46:00,12:10:00,12-05-2024 12:05,Assassination Question,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
440,low,248,Y,high,182,Z,low,242,Z,medium,87,X,high,490,Y,medium,427,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",28-09-2024,06:09:00,08:10:00,28-09-2024 08:05,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
441,low,310,Y,low,33,Z,medium,456,X,medium,74,Y,high,491,Z,medium,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-05-2024,15:57:00,17:59:00,16-05-2024 17:51,Abortion Travel,International Women,Senator,D,Senator Dianne Feinstein (CA),Guns Roe Wade
442,low,40,X,high,272,Y,medium,278,Z,medium,131,Y,medium,142,Z,low,206,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",08-08-2024,07:59:00,09:13:00,08-08-2024 09:10,Assassination Question,International Women,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
443,low,327,Z,medium,170,Y,low,211,X,medium,366,Y,medium,18,X,medium,439,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",08-04-2024,19:17:00,20:16:00,08-04-2024 20:14,Abortion Travel,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Guns Roe Wade
444,low,369,Y,high,496,X,low,108,Y,high,4,X,low,246,Z,low,135,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-04-2024,12:32:00,15:02:00,13-04-2024 14:53,Abortion Travel,Niger State Television,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
445,high,32,X,medium,394,Y,high,211,X,medium,352,X,low,295,Y,high,381,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-02-2024,14:46:00,17:16:00,07-02-2024 17:07,Abortion Travel,Niger State Television,Senator,D,Senator Dianne Feinstein (CA),Guns Roe Wade
446,low,420,Y,low,217,Z,low,20,Y,high,290,Z,high,375,Y,low,159,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",20-06-2024,11:45:00,15:45:00,20-06-2024 15:40,Abortion Travel,Ravaged Nicaragua Category,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
447,low,59,Z,high,382,Z,low,76,Z,high,329,Z,low,262,X,low,294,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",10-09-2024,14:26:00,16:23:00,10-09-2024 16:19,Cnn Montana Nonprofit,Actor Bob Odenkirk,Senator,D,Senator Dianne Feinstein (CA),Guns Roe Wade
448,medium,219,Y,medium,288,Z,medium,472,Z,low,279,X,low,293,Z,high,326,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",22-02-2024,11:10:00,15:01:00,22-02-2024 14:57,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
449,medium,330,Z,high,247,X,low,97,Z,low,295,Z,high,11,X,low,438,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",08-11-2024,19:37:00,20:05:00,08-11-2024 20:04,Abortion Travel,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
450,low,435,Z,medium,459,Z,medium,283,Z,medium,310,Y,medium,381,Z,medium,170,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",17-01-2024,09:33:00,11:26:00,17-01-2024 11:19,Voice Cnn Masai,International Women,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
451,medium,265,Y,medium,293,Y,high,51,Y,medium,240,X,low,164,X,low,393,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-04-2024,15:31:00,15:55:00,07-04-2024 15:45,Assassination Question,Rwigara Mother Adeline,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
452,low,217,Z,low,241,X,medium,300,Z,low,279,Y,medium,236,Z,low,217,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",22-09-2024,06:59:00,09:42:00,22-09-2024 09:38,Abortion Travel,International Women,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
453,low,420,Y,low,283,Y,low,487,Z,high,190,X,medium,211,X,medium,196,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-02-2024,19:50:00,22:23:00,19-02-2024 22:14,Voice Cnn Masai,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
454,low,108,Y,low,390,X,high,228,Z,medium,33,Y,medium,35,Y,high,39,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",23-06-2024,14:24:00,16:50:00,23-06-2024 16:46,Voice Cnn Masai,International Women,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
455,high,102,Z,low,370,Y,medium,63,X,medium,12,Z,low,247,X,low,38,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",08-01-2024,18:52:00,21:22:00,08-01-2024 21:21,Abortion Travel,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
456,medium,233,X,high,274,Y,low,11,X,medium,357,Z,low,190,X,medium,385,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",01-12-2024,07:15:00,09:55:00,01-12-2024 09:48,Voice Cnn Masai,International Women,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
457,low,60,Z,low,88,Y,low,378,X,medium,318,X,high,116,X,high,52,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",20-01-2024,17:30:00,19:15:00,20-01-2024 19:13,Abortion Travel,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
458,low,11,Y,low,318,Z,low,51,Z,medium,204,Z,high,122,Z,low,55,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",10-03-2024,06:54:00,08:21:00,10-03-2024 08:18,Abortion Travel,Said Alicia Keys,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
459,medium,181,Y,high,215,X,high,158,Z,low,373,Y,medium,17,X,high,92,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",28-08-2024,17:25:00,21:09:00,28-08-2024 21:00,Abortion Travel,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
460,low,76,Z,high,466,Z,high,421,X,high,236,X,high,443,X,high,168,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",10-07-2024,10:28:00,11:27:00,10-07-2024 11:19,Amid Inflation,Niger State Television,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
461,low,318,Y,low,454,Y,medium,268,Z,high,127,Z,high,146,Y,high,81,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",06-11-2024,11:15:00,12:25:00,06-11-2024 12:22,Companies Pulling Russia,Help Russia,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
462,high,274,Z,high,0,Z,high,436,Z,high,292,Y,high,437,Z,medium,295,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",04-09-2024,18:29:00,20:55:00,04-09-2024 20:53,Abortion Travel,Niger State Television,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
463,medium,242,Y,low,499,X,high,436,Y,medium,188,X,high,418,X,high,411,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",12-12-2024,17:56:00,21:10:00,12-12-2024 21:07,Voice Cnn Masai,International Women,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
464,high,248,X,low,450,Z,medium,330,X,low,487,X,high,228,X,high,265,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",14-05-2024,06:50:00,09:42:00,14-05-2024 09:37,Assassination Question,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
465,low,49,Y,medium,453,X,high,468,X,high,360,X,high,403,X,medium,332,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",01-09-2024,12:23:00,16:23:00,01-09-2024 16:16,Assassination Question,Actor Bob Odenkirk,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
466,high,201,X,low,248,Z,medium,18,Z,medium,374,Z,low,105,X,low,446,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",29-05-2024,09:02:00,12:23:00,29-05-2024 12:22,Apology Cnn Vatican,Turned Movie Different,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
467,medium,35,Z,low,135,Z,high,120,Z,high,343,Y,high,90,X,high,447,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",12-06-2024,14:57:00,15:51:00,12-06-2024 15:41,Cnn Montana Nonprofit,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
468,high,177,X,high,303,X,high,138,Z,low,341,Y,low,449,Z,low,329,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",31-12-2024,14:36:00,16:27:00,31-12-2024 16:20,Basketball Legend Says,Point Tally Nba,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
469,high,338,Y,high,441,X,high,68,Z,high,386,X,low,323,Y,high,34,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",11-01-2024,09:34:00,11:49:00,11-01-2024 11:43,Making Racism,Coronavirus Pandemic Late,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
470,medium,493,Z,low,225,X,medium,310,Z,high,215,X,low,344,Z,medium,394,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",06-03-2024,07:28:00,10:23:00,06-03-2024 10:22,Making Racism,Turned Movie Different,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
471,low,148,X,low,492,X,medium,126,Z,low,410,Y,low,461,X,medium,378,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-11-2024,11:39:00,13:22:00,07-11-2024 13:17,Amid Inflation,Turned Movie Different,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
472,high,132,Y,high,130,Z,low,104,Z,medium,17,Z,high,6,Y,high,151,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-04-2024,12:51:00,14:30:00,07-04-2024 14:23,Amid Inflation,Beating Forecasts Covid,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
473,medium,334,Y,high,426,Y,medium,68,X,medium,333,X,low,236,Z,medium,81,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",04-10-2024,17:51:00,20:23:00,04-10-2024 20:19,Amid Inflation,Turned Movie Different,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
474,medium,458,Y,low,229,Y,low,429,X,medium,269,Z,low,480,X,high,66,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",24-08-2024,14:30:00,18:10:00,24-08-2024 18:04,Voice Cnn Masai,Said Alicia Keys,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
475,high,147,Z,high,419,Y,medium,7,Y,low,4,Z,high,64,Z,high,138,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",17-10-2024,18:41:00,21:03:00,17-10-2024 21:02,Basketball Legend Says,Point Tally Nba,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
476,high,419,X,low,472,Z,low,182,Y,low,330,Z,high,224,X,low,371,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",01-10-2024,17:46:00,21:19:00,01-10-2024 21:13,Making Racism,Actor Bob Odenkirk,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
477,low,157,Y,medium,351,Z,medium,267,Y,medium,1,Z,low,11,X,high,472,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",25-10-2024,16:27:00,17:26:00,25-10-2024 17:16,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
478,medium,319,X,high,311,X,high,117,Y,medium,352,Y,medium,162,X,low,76,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",30-08-2024,12:41:00,15:25:00,30-08-2024 15:21,Voice Cnn Masai,Turned Movie Different,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
479,high,104,Y,medium,205,Z,low,362,Z,low,262,X,low,86,Y,low,207,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",17-11-2024,20:31:00,22:52:00,17-11-2024 22:43,Abortion Travel,Said Alicia Keys,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
480,low,131,Z,medium,436,Y,medium,378,Z,medium,303,Z,high,127,X,low,417,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",21-06-2024,13:13:00,14:36:00,21-06-2024 14:34,Abortion Travel,Niger State Television,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
481,medium,491,X,high,63,Z,low,419,Z,medium,304,Y,high,406,Y,low,42,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-05-2024,14:52:00,15:36:00,19-05-2024 15:32,Abortion Travel,Said Alicia Keys,Senator,R,Senator Orrin Hatch (UT),Kavanaugh Dissents President
482,low,194,Y,medium,145,Z,medium,393,Z,high,150,Y,medium,137,Y,low,471,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-02-2024,09:44:00,13:35:00,19-02-2024 13:29,Voice Cnn Masai,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
483,low,8,X,high,65,Y,low,420,Y,medium,311,Y,low,406,Y,high,9,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",29-10-2024,07:42:00,10:13:00,29-10-2024 10:05,Cnn Montana Nonprofit,Niger State Television,Senator,R,Senator Orrin Hatch (UT),Analyze Senator
484,medium,386,X,high,138,Y,low,182,Y,low,110,X,high,447,X,medium,141,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",03-01-2024,19:45:00,22:27:00,03-01-2024 22:21,Cnn Montana Nonprofit,Turned Movie Different,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
485,high,63,Z,low,261,Y,medium,149,Y,medium,379,Y,low,270,Z,medium,16,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-02-2024,21:11:00,22:17:00,16-02-2024 22:09,Cnn Montana Nonprofit,Ravaged Nicaragua Category,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
486,medium,55,Z,high,167,X,low,158,Z,low,45,Z,medium,269,Y,medium,380,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",21-01-2024,21:31:00,22:28:00,21-01-2024 22:27,Apology Cnn Vatican,Coronavirus Pandemic Late,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
487,low,418,Z,high,210,X,high,426,Z,low,70,Y,high,166,X,medium,213,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",12-08-2024,12:21:00,13:46:00,12-08-2024 13:40,Cnn Montana Nonprofit,Coronavirus Pandemic Late,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
488,high,174,Y,high,115,Y,high,324,Y,high,351,Y,medium,333,Z,high,218,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-12-2024,11:55:00,13:20:00,16-12-2024 13:13,Making Racism,Said Alicia Keys,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
489,low,69,Y,medium,176,Z,low,161,Z,low,28,X,low,236,Y,high,273,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",06-02-2024,17:24:00,19:37:00,06-02-2024 19:34,Amid Inflation,Ravaged Nicaragua Category,Senator,R,Senator Orrin Hatch (UT),Executive Privilege Limit
490,low,420,Z,medium,248,Y,high,360,X,low,485,Y,high,431,Z,low,149,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-01-2024,19:09:00,22:16:00,16-01-2024 22:06,Abortion Travel,Niger State Television,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
491,medium,140,Y,medium,106,Y,medium,116,Y,medium,15,X,medium,97,Y,medium,378,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",10-04-2024,07:54:00,10:13:00,10-04-2024 10:03,Voice Cnn Masai,Turned Movie Different,Senator,R,Senator Orrin Hatch (UT),Kozinski Phone Senator
492,high,316,Z,high,229,Y,medium,133,Z,medium,262,Y,low,343,Y,low,215,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",20-03-2024,08:28:00,10:04:00,20-03-2024 09:54,Voice Cnn Masai,International Women,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
493,low,131,X,medium,448,X,high,0,Z,high,492,X,high,69,Z,low,397,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",27-02-2024,16:14:00,20:07:00,27-02-2024 20:00,Amid Inflation,Niger State Television,Senator,R,Senator Orrin Hatch (UT),Executive Privilege Limit
