"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5"
382,"Z","medium",498,"Z","medium",420,"X","high",269,"Y","low",351,"Y","",370,"X","medium",206,"Z","low",92,"","","","","08-04-2024","09:21:00","11:52:00","08-04-2024 11:43","Team Liquid: How esports has helped its fans get through lockdown - CNN","The return of sport amid the pandemic has been one of the few saving graces for many people over the last year.  ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Senator Graham.",1.98720138762099,0.8112223288814,1.1715197612347,1.88456248989049,0.920180286138721
383,"Y","high",421,"Y","high",498,"X","high",10,"X","",38,"X","high",126,"X","high",303,"X","medium",145,"","","","","19-06-2024","18:59:00","21:18:00","19-06-2024 21:17","These Kenyan gamers are putting Africa on the esports map - CNN","The African continent is looking to share in a global market that pulled in over $1 billion in 2019. Meet two gamers, 'Queen Arrow' and 'Beast,' who are growing esports in Kenya and beyond.","Senator","R","Senator Lindsey Graham (SC)","Senator GRAHAM. Am I the last person?",0.438488593997468,2.19549166227365,-0.180754360503427,-1.5338541612437,1.62653810741037
384,"X","low",428,"Z","low",386,"Z","medium",495,"X","medium",73,"X","high",102,"X","high",409,"Z","low",113,"","","","","12-02-2024","11:53:00","12:26:00","12-02-2024 12:19","Lowkey.gg, a new service for adult gamers, throws a League of Legends tournament that we tried out - CNN","Teens won millions of dollars in video game competitions in 2019, and they're set to do it again this year. Last year, the oldest finalist in the most competitive rounds of the ""Fortnite"" World Cup was only 24 years old, despite the World Cup being open to all ages online.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Yes.",0.554377316833803,-0.435013275973472,0.824714190656588,0.0305523858205168,0.361813639421004
385,"Y","high",415,"X","low",78,"Y","high",264,"Z","medium",464,"","low",39,"X","high",205,"X","low",301,"","","","","22-11-2024","13:39:00","17:17:00","22-11-2024 17:13","Twitch gaming stars jump ship to Mixer, Facebook Gaming and YouTube - CNN","When Jeremy Wang started streaming on Twitch in 2016, he was an unknown twenty-something with a few coding internships under his belt. Almost no one knew his name or what he looked like. The latter, at least, was by design: Wang, now 28, initially wore a mask everywhere — whether playing video games at competitive events or streaming from a closet while visiting his sister in New York. ","Senator","R","Senator Lindsey Graham (SC)","Senator GRAHAM. All right.",-2.41101436537885,-0.524877697908157,-0.325186154329397,-0.255580801751688,1.79046320762568
386,"Y","medium",34,"Z","high",150,"Z","medium",415,"Y","medium",78,"Y","medium",78,"Y","medium",198,"Z","high",444,"","","","","02-02-2024","18:31:00","19:05:00","02-02-2024 19:02","The biggest esports facility in the US has training rooms, an apparel shop and lavish gaming chairs - CNN","Gaming company 100 Thieves has built the biggest esports facility in the United States. Located in Culver City, Los Angeles, the 15,000-square-foot compound may have an arcade and an outdoor basketball hoop, but it also has designated training rooms for playing video games professionally.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. But do not forget, we are going to hear from the nominee and his introducers before you can go home and go to bed. [Laughter.]",1.90612636696992,-0.136986361097879,-1.4108742152416,-0.344174030679887,-0.0861914068696277
387,"Y","medium",275,"Z","medium",1,"Z","high",388,"Y","medium",312,"Z","low",245,"X","medium",100,"X","low",439,"","","","","02-03-2024","19:19:00","22:44:00","02-03-2024 22:39","Football stars go head-to-head over video games as coronavirus suspends play - CNN","With matches postponed and teams self-isolating, football stars are finding novel ways to keep their competitive juices flowing during the coronavirus outbreak. ","Senator","R","Senator Lindsey Graham (SC)","Senator GRAHAM. Okay, thank you. I was going to ask you to take me to dinner, but that is not going to happen.",1.93292906083819,-1.30660154896869,-0.327111314787613,0.11482339811404,0.531298309107739
388,"Z","high",282,"Z","medium",303,"Z","low",68,"Z","low",497,"Z","medium",138,"Z","low",249,"Y","high",,"","","","","10-08-2024","08:35:00","09:31:00","10-08-2024 09:27","RB Leipzig: Trailblazing footballer Lena Güldenpfennig balancing her on-pitch duties with an esports career - CNN","There is a young German forward, playing in the Bundesliga, who scores hundreds of goals every week.","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. You know the answer to that. [Laughter.]",0.649357645024703,0.295644254536389,1.50463800356154,1.50194055492209,0.39381353358543
389,"Y","low",50,"Z","high",218,"X","low",229,"Y","medium",83,"X","",,"Z","low",228,"Y","medium",344,"","","","","25-05-2024","09:34:00","12:27:00","25-05-2024 12:19","Worlds 2020: Surviving two weeks of isolation ahead of the biggest esports tournament  - CNN","Imagine being forced to spend two weeks alone in a hotel room ahead of the biggest competition of your life. ","Senator","R","Senator Lindsey Graham (SC)","Senator GRAHAM. You know that. That is right. So, to my colleagues on the other side, I look forward to working with you, but we have a different view here. I think you got to be blind as to what is going on here. Have you heard of Justice Breyer? Do you know him? He cannot say anything, I guess. Where did he come from? He was Ted KennedyÕs Senate Judiciary person. Where do you think Republicans are going to go find a judge? The whole argument is, you can be a conservative Republican President, but you got to nominate a liberal to be fair to the country. That is absurd. Where do you think Ruth Bader Ginsburg came from? She was the general counsel of the ACLU. Wonderful person. What groups do you all use to pick from? This is shaping up to be the hypocrisy hearing, and that is hard to do in the Senate in todayÕs time to be hypocritical, but let me just point to a few of these things. Clinton. It did not bother anybody for Clinton to nominate Breyer while he was under investigation. We actually did it. It did not bother any of you all that a Ted Kennedy staff person was his pick. It did not bother me either because that is who I expected you to pick. This is ridiculous. You are one of the best choices any Republican could make. As I said with Justice Gorsuch, I am glad you are here because there were days I was wondering who he would have picked. [Laughter.] Senator GRAHAM. And this is a homerun from my point of view. Let us talk about Roe v. Wade. Who would ever play politics on the campaign trail with Roe v. Wade ? What a bastard Donald Trump is, until you hear about Hillary Clinton. February the 3rd, 2016, this is what Hillary Clinton said. When asked, does she have a litmus test for SCOTUS nominationsÑSupreme Court nominees, ÔÔI do have a litmus test. I have a bunch of litmus tests, because the next President could get as many as three appointments,ÕÕ and I hope she is right. ÔÔWe have got to make sure to preserve Roe v. Wade, not let it be nibbled away or repealed.ÕÕ She sounds very open-minded. October 2016, ÔÔWe need a Supreme Court that will stand up on behalf of womenÕs rights. It is important that we not reverse Roe v. Wade. I want a Supreme Court that will stick with Roe v. Wade and a womanÕs right to choose.ÕÕ I understand where she is coming from. Anybody running for President over there, I dare you to disagree with her. You will wind up like I did, getting 1 percent. [Laughter.] Senator GRAHAM. If you even suggest that you will pick a nominee that is not going to uphold Roe v. Wade, that is the end of you. But you have figured that out. You do not need me to tell you. So, this is the way we do politics. This is a big decision called Roe v. Wade. There are two sides and a bunch of nuances. Here is what I know about you. You are going to take it as precedent. You wrote a big book, which I will never read, and you are going to tell us what it takes to overturn longstanding precedent. Nobody on this side will care if you overturn Citizens United. As a matter of fact, they will cheer you on. Somebody will challenge Citizens United, and you will probably say, let me hear both sides of the story, then I will tell you whether or not I should uphold it. So, Hillary Clinton, we know where she is at, on Roe v. Wade, and that is just the way it is. Now, what other things? Executive power, this idea that Trump picked you to save him. Amazing concept, since you said what you said back in 1998 and 2008. The bottom line is, when Clinton was being impeached, my good friend, and this is true, he is my good friend, on February the 12th, 1999, introduced into the record dur- ing the deliberations of the Clinton impeachment trial, an article by Brett Kavanaugh suggesting that you should wait, if there is an indictment, until after the President is out of office. The same concept we are talking about here today, when the shoe was on the other foot, here is what Joe said about your thinking. ÔÔThe President is not simply another individual. He is unique. He is the embodiment of the Federal Government and the head of a political party. If he is to be removed, the entire Government likely would suffer, and the military or economic consequences to the Nation could be severe. . . . Those repercussions, if they are to occur, should not result from the judgment of a single prosecutorÑ whether it be the Attorney General or special counselÑand a single jury. Prosecution or nonprosecution of a President is, in short, inevitably and unavoidably a political act. Thus, as the Constitution suggests, the decision about the President while he is in office should be made where all great national political judgments in our country should be madeÑin the Congress of the United States,ÕÕ according to Joe BidenÑthe gift that keeps on giving for us. I think that is pretty hypocritical. During the Clinton days, you were right, but all of a sudden you are a danger to the republic. Let us talk aboutÑoh, there are so manyÑhow many minutes do I have here? The bottom line isÑÑ",0.676671637917429,1.7610968238322,-2.0265855741316,-0.167632291243163,-1.27731318731843
390,"Z","low",73,"Z","high",237,"Z","high",295,"Z","high",22,"Z","medium",255,"X","medium",80,"Y","high",110,"","","","","02-05-2024","19:29:00","23:05:00","02-05-2024 22:58","Sports are canceled. Esports are still around - CNN","Esports are already online (obviously), but the pandemic is still creating huge challenges ","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Do not exceed what Whitehouse had.",0.770427952223847,0.189557113496116,-1.27379842897804,1.42518381013567,-0.97464089259493
391,"Y","low",282,"Y","low",366,"Z","low",92,"Z","high",408,"Y","high",263,"Z","high",,"","low",199,"","","","","21-12-2024","06:51:00","08:04:00","21-12-2024 07:55","How video games saved Ryan Hart from the streets  - CNN","At 18 he was homeless -- now he's a gaming world champion.  ","Senator","R","Senator Lindsey Graham (SC)","Senator GRAHAM. I will not.",-0.0684326338507431,-0.40096575208216,-0.387304028844265,-1.55461589907362,0.621073200182063
392,"X","high",357,"Z","medium",410,"X","high",290,"Y","medium",474,"Z","high",208,"X","medium",,"X","medium",,"","","","","06-04-2024","12:10:00","12:52:00","06-04-2024 12:47","League of Legends is growing. Traditional sports better watch out.  - CNN","With its millions of viewers, lucrative titles and sell-out competitions, it should come as no surprise that the world of esports is beginning to challenge some of Europe's most established sports. ","Senator","R","Senator John Cornyn (TX)","Senator CORNYN. That would be impossible.",0.89609072371473,1.41522552396879,2.22231301590373,0.157126895978463,-0.244013065149609
393,"X","medium",104,"Z","medium",36,"X","low",308,"X","medium",257,"X","low",226,"X","medium",145,"Z","high",31,"","","","","10-03-2024","12:17:00","15:10:00","10-03-2024 15:09","League of Legends: G2 Esports stars' journey to Worlds   - CNN","Luka ""Perkz"" Perkovic still remembers the first time he picked up a computer mouse.","Senator","R","Senator Lindsey Graham (SC)","Senator GRAHAM. Guns. Somehow you are going to make sure that CongressÑthe bottom line on gunsÑDianne Feinstein is a wonderful lady and has passion on this issue about assault weapons. She was able to succeed politically. After 10 years, the gun assault weapons ban expired and it has been hard to get it re-established. She introduced legislation in 2013 that got 60 ÔÔnoÕÕ votes, 16 Democrats. So, I do not believe they see you as a threat to the Nation if you come out on the idea that the Second Amendment has some meaning. In other words, the political process, when it comes to guns, is a work in progress, and I would rather us decide that than you. When it comes to the pillar of virtue, Comey. Harry Reid: That he has been a supporter of Comey and led the fight to get him confirmed as he believed Comey was a principled public servant. ÔÔWith the deepest regret, I now see that I was wrong.ÕÕ Mr. Nadler from New York: ÔÔThe President can fire him for cause and ought to. He violated all the guidelines and put his thumb on the scale of an election.ÕÕ Mr. Cohen from Tennessee, a Democrat, called on Comey to resign his position effective immediately. ÔÔI am sure upon reflection of this action, he will submit his letter of resignation for the NationÕs good.ÕÕ To my Democratic friends, you were all for getting rid of this guy. Now all of a sudden, the country is turning upside down because Trump did. There is a process to find out what happened in the 2016 election. It is called Mr. Mueller. And I will do everything I can to make sure he finishes his job without political interference. And I am here to tell anybody in the country who listens that this is so hypocritical of my friends on the other side. When it was their President, Kavanaugh was right. When you are talking about Roe v. Wade, it is okay to promise the Nation it will never be overturned. It is okay to pick a Democratic staff member of this Committee, but it is not okay to pick somebody who has been a lifelong Republican. People see through this. You had a chance and you lost. If you want to pick judges from your way of thinking, then you better win an election. I voted for two of your choices, Sotomayor and Kagan. Got a lot of crap. I would suggest you think long and hard if you got a political ambition of voting for this guy because it will not play well on your side. And why did I do it? I thought they were qualified by any reasonable measure given the history of the Senate. But we have turned the history of the Senate upside down. I found that they were different than I would have picked, Sotomayor and Kagan, but by any reasonable measure they are qualified. You have been on the court for 12 years. You have had 307 decisions. You have been approved before, so I hope people in the country understand this game. It is a game that I am sad to be part of. It has gotten really bad. The antidote to our problems in this country when it comes to judges and politics is not to deny you a place on the Supreme Court. This is exactly where you need to be. This is exactly the time you need to be there, and I am telling President Trump you do some things that drive me crazy, you do some great things. You have never done anything better in my view than to pick Gorsuch and Kavanaugh because you had an opportunity to put well-qualified conservatives on the Court, men steeped in the rule of law, who will apply analysis, not politics, to their decisionmaking, and you knocked it out of the park. And to my friends on the other side, you cannot lose the election and pick judges. If you want to pick judges, you better win.",1.62897527275156,-0.512017962264654,0.756080757526346,0.069041041829087,-1.79350763680815
394,"Z","medium",242,"Y","medium",458,"Y","high",326,"Y","medium",116,"Y","",443,"","high",472,"Y","medium",400,"","","","","04-11-2024","11:52:00","13:18:00","04-11-2024 13:10","Middle East's first female esports team makes debut - CNN","Galaxy Racers compete in world finals of Girl Gamer festival in Dubai","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Let me tell you whatÑlet me tell everybody what the rest of the day holds for us. Judge Kavanaugh, you can take a break now that we had originally scheduled for 15 minutes, and it may take 15 minutes, but we got to put a different table in here for the people that are going to introduce you. So, if your staff will watch, and if we get done in less than 15 minutes, I would like to start just as soon as the table is set. So, we will take a 15-minute break now, and then we have the introducers, and then we will give the oath to the nominee, and then we will hear the statement from the nominee, and then we will adjourn until 9:30 tomorrow morning. And tomorrow morning, my approach is going to be the same for the 30 minutes as it would be for the 5 minutes that we normally have in just an otherwise normal hearing, and that is that if you got 1 second left, you can ask a question, but do not take all day to ask a question. And I hope you can give a short answer if their time is up. Then we willÑthen we willÑwe will move on to the next person. So, I want tomorrow not to happenÑmaybe I better speak to myself. I am not going to let happen tomorrow what I should not have let happen today because I have been instructing people that run Committees either you run the Committee or it runs you, and you guys have been very successful today in running the Committee. I do not want it to happen tomorrow. Take yourÑtake your time, sir, I mean, until we get the table set. Recess. [Whereupon the Committee was recessed and reconvened.] Chairman GRASSLEY. We are fortunate to have Condoleezza Rice, Senator Rob Portman, and Lisa Blatt to introduce the nominee. We will now start with Condoleezza Rice. INTRODUCTION OF HON. BRETT M. KAVANAUGH, NOMINEE TO BE AN ASSOCIATE JUSTICE OF THE SUPREME COURT OF THE UNITED STATES, BY HON. CONDOLEEZZA RICE, Ph.D., FORMER U.S. SECRETARY OF STATE; SENIOR FELLOW, HOOVER INSTITUTION; AND PROFESSOR, STANFORD UNIVERSITY, STANFORD, CALIFORNIA",0.911707926908738,-0.835483147438282,0.929868930383359,0.705486083087864,-0.289834867314528
395,"Y","high",37,"Z","high",186,"Z","medium",160,"Z","high",29,"Y","medium",141,"X","medium",136,"Y","high",289,"","","","","28-06-2024","18:55:00","20:05:00","28-06-2024 19:55","Deaf culture in an American deaf family - CNN","Meet the Pedersens of Pleasanton, California. They were all born deaf, except Kaleb — who at age 20, identifies more with deaf culture than hearing culture. 
","Hon.","R","Hon. Condoleezza Rice, Ph.D.","Dr. RICE. Thank you very much. Chairman Grassley, Senator Feinstein, Members of the Committee, I am really honored to join Lisa Blatt and Rob Portman in introducing Brett Kavanaugh at these hearings to consider his confirmation as a Justice of the Supreme Court of the United States of America. My personal relationship with Judge Kavanaugh goes back 17 years to our time as White House colleagues in the administration of George W. Bush. Those were remarkable times, and I loved serving. They were, however, not easy times, and the guidance and counsel of those with whom I worked was both a joy and a blessing. I am so grateful to have had Brett Kavanaugh as a colleague. He was always supportive and strong and caring and someone whose integrity and good judgment I valued enormously. I knew Brett early in his years as a family member. As a matter of fact, I was there when he married Ashley. I remember well the birth of his children. He is a great father and husband and son. In short, he is just a very good human being. Since the nomination of Brett Kavanaugh, I have been able to reflect back on those times and what my experience tells me about Brett in this crucial role. Many have given testimony to his extraordinary legal mind, the depth of his experience, his intellect, and his good common sense. You have heard and you will hear from his clerks and other jurists and great legal figures, as well as colleagues from throughout his career. I do not need to repeat their praise, only to say that I know firsthand that Brett is really, really smart. Here is the Brett Kavanaugh that I know. He is hard-working. He has a sense of humor. He seeks truth in facts. There is no detail too small to gain his attention. He makes those around him better. Brett is wise. He is an old soul who is made to help steady us in these complicated times. Brett listens, especially to those with whom he disagrees. And in our charged environment, when we have become almost tribal, living in echo chambers and often finding comfort in the company of only those with whom we agree, this is an indispensable quality for the responsibilities of the Supreme Court. The only thing that would be better is if Brett had gone to the same college that his mentor and friend Anthony Kennedy went to. That would be Stanford University. But for that, I will forgive him, and I have to say Yale University seems to have done a pretty good job. In recent weeks, we have also had the chance to reflect on our Constitution, the Supreme Court itself, and the trust that we place in the Justices of it. As a scholar and as a diplomat, I have watched the struggle of people across the world to achieve democracy and to keep it. Every day, I am more amazed by the brilliance of the institutional design that the Framers left to us. They carefully balanced powers and responsibilities between the three branches of Government. Knowing that human beings are fallible, they constructed institutions that both enable and constrain those who would govern us. Scholars often speak of the American spirit of constitutionalism. We Americans believe that the Constitution is our personal protection. We take our rights very seriously, and we will go all the way to the Supreme Court if we think those rights have been violated. A democracy is only stable when there is that kind of trust in the institutions, a belief that those institutions will be fair and just and secure the rights of citizens. The strength of AmericaÕs institutions is a cause for optimism, but they cannot be taken for granted. The Supreme CourtÕs special role in protecting the careful balances that the Constitution seeks to achieve is crucial to our democratic stability. This is true even as times and customs change, and it is more important with every passing year in our increasingly complicated Nation. As a little girl born in segregated Birmingham, Alabama, who grew up to be Secretary of State, I know personally our countryÕs long journey to guarantee equal rights. I know the power of the Constitution, and I know the gift of our democracy. The Supreme Court is a crucial guardianÑboth of our Constitution and of our democracy. That is why I am so honored to introduce Brett Kavanaugh for these hearings. He will be an outstanding Supreme Court Justice. His intellect is unquestioned. His judgment is highly regarded, and I can personally attest to his character and integrity as a colleague. Brett Kavanaugh will thoroughly and faithfully uphold the trust that is our heritage, the Constitution of the United States of America, the most remarkable governing document in human history. Thank you.",0.54707377608101,0.975097399469841,-0.82767813675752,-0.555542792225279,-0.00469480985456242
396,"X","low",55,"X","high",376,"Z","medium",470,"X","medium",455,"Y","high",6,"X","medium",209,"Y","high",485,"","","","","10-02-2024","10:15:00","11:01:00","10-02-2024 10:52","'Blackface': Dutch holiday tradition or racism? - CNN","The Dutch character of Black Peter, a goofy, singing, candy-giving Renaissance-clad figure in blackface, is the focus of the short film ""Blackface.""","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Thank you, Secretary Rice. Now, our colleague, Senator Portman.",0.347863418370205,-0.607167394813278,-0.187566936339304,0.131770437614962,-0.821573096659999
397,"X","low",290,"Z","low",290,"X","medium",118,"Y","high",399,"Y","low",400,"X","high",65,"Y","high",420,"","","","","20-01-2024","14:54:00","17:57:00","20-01-2024 17:47","Filmmaker: Why I made 'Blackface' - CNN","The first time I saw the Dutch character Black Pete, or Zwarte Piet, my heart sank.   ","Senator","R","Senator Rob Portman (OH)","Senator PORTMAN. Chairman Grassley, Ranking Member Feinstein, and colleagues on this Committee on the Republican and the Democratic side, it is a privilege to join Condi Rice and Lisa Blatt here this afternoon in introducing a friend, Judge Brett Kavanaugh. I have known Brett and his wife, Ashley, since before they were married, and I had the opportunity to work with Brett during his service in the George W. Bush White House. As Secretary Rice has just said very well, those of us who worked with him universally praise his work ethic, his intelligence, and his integrity. I visited with George W. Bush a few days ago, and we talked about Brett. He put it simply: Brett Kavanaugh is a class act. In endorsing Brett, former lawyer to President Bill Clinton, Bob Bennett, called him ÔÔa strong advocate of decency and civility.ÕÕ By the way, of all the attributes you look for in a judge, what could be more important than good judgment? Brett definitely showed good judgment in marrying Ashley. So did she, and they are a great family. It is wonderful to have their daughters, Margaret and Liza, with us here today. BrettÕs parents, Edward and Martha, are also here. That is especially appropriate since BrettÕs first introduction to the law came from listening to his mom practice closing arguments at the dinner table. She was a trailblazer. She went to law school at age 34 and eventually became a trial judge. Brett has said, to him, Martha Kavanaugh will always have been the true Judge Kavanaugh. During the process of this hearing, there will be more spirited discussions about BrettÕs legal philosophy and his experience and background as a lawyer and a judge. I heard quite a bit of it already today, and there should be this discussion. This is about a lifetime appointment to the highest court in the land. In my view, there is not a better qualified person to be on that Court. Just last Friday, the American Bar Association gave Judge Kavanaugh a unanimous ÔÔwell qualifiedÕÕ rating, which is the highest rating they offer, unanimous. I saw how he conducted himself as Associate Counsel to the President in the White House CounselÕs office, the job I once had in the first Bush White House. And I have watched him for the past 12 years on the D.C. Circuit, where he has been praised as fair, smart, and independent. He has authored more than 300 published opinions, an impressive number. And the Supreme Court has adopted his reasoning a remarkable 13 times, a testament to his thoughtful and well-reasoned decisions and a record that few, if any, other appellate judges can match. Again, no one more qualified. For more than a decade, he has also taught classes at Harvard, Yale, and Georgetown Law Schools. He is a well-respected judge and a well-respected professor and a thought leader among his peers. That is why so many of his former students, his law clerks, his judicial colleagues, and legal scholarsÑby the way, from across the political spectrumÑhave come out in support of his nomination. Judge Kavanaugh is guided by the Constitution and by the rule of law. He has said the judgeÕs job is to interpret the law, not to make the law or make policy. I agree, and by the way, as do most of the people we represent. Judges should not be legislating from the bench. Clearly, Brett Kavanaugh has the right qualifications, and he has a judicial philosophy that is very much in the mainstream. Just as important to me is the kind of person you want on the Supreme Court. I have known Brett not so much as a legal scholar or a judge or a professor, but as a friend, a father, and a husband. He is thoughtful and compassionate and someone who has a big heart and the humility to listen. To me, that might be the single most important attribute for a member of the Supreme Court, the humility to listen. Throughout this confirmation hearing, I hope the American people will get to know the Brett Kavanaugh I have had the privilege of knowing. A couple days after he was announced, Brett came to my office one evening to discuss his confirmation, just as he has been to your offices. He then went straight from our meeting to serve dinner to the homeless through his church, a regular occurrence that was long scheduledÑscheduled long before his nomination. I only found out about it because that night someone recognized him and took a photo that got tweeted, and it was a photo of him in a baseball cap in the soup kitchen. It is classic Brett that he did not tell me this was where he was going after meeting with me. To my colleagues, I know the man. He does things because it is the right thing to do. Brett is also involved, as some of you know, in his daughtersÕ sports teams. Last season, MargaretÕs sixth grade girls basketball team he coached had an undefeated season and went on to win a citywide championship. Way to go, Margaret. [Laughter.] Senator PORTMAN. To show you where his priorities are, Judge Kavanaugh, or ÔÔCoach K,ÕÕ as he is known by his players, has the team photograph and trophy prominently displayed in his judicial chambers. Julie OÕBrien, whose daughter goes to school with Margaret, has another telling story about Brett. A few years ago, JulieÕs husband passed away. With no one to accompany her daughter to the annual father-daughter dance, Brett stepped up. That year and every year since, Brett has taken her daughter alongside his own to the dance. That is the kind of person he is. That is the Brett Kavanaugh I know. I am proud to introduce Brett Kavanaugh before this Committee, and I am proud to strongly support his nomination to be the next Associate Justice of the United States Supreme Court. I know these are partisan times here in Washington, but this is an extraordinary nominee in every respect. Based on his record, his qualifications, and his character, I believe he deserves broad support. My hope, Mr. Chairman, is that, as was the case with Justices Sotomayor and Kagan nominated by President Obama, this Committee will report his nomination favorably, and the full Senate will confirm him with a strong bipartisan vote that he deserves. Thank you, Mr. Chairman.",-0.0243388632544535,0.708654775119774,0.424333194115553,-0.158658678991275,-0.975999895308949
398,"X","medium",278,"Z","medium",221,"X","medium",246,"X","low",448,"","low",40,"Y","low",306,"Y","medium",324,"","","","","19-02-2024","09:30:00","12:54:00","19-02-2024 12:52","Meet the Gnomist: A force for good - CNN","She created a magical forest in a Kansas suburb. Her artistry touched the lives of others and sparked a short film. But who is she and what's she up to now?","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Thank you, my colleague. Ms. Lisa Blatt. INTRODUCTION OF HON. BRETT M. KAVANAUGH, NOMINEE TO BE AN ASSOCIATE JUSTICE OF THE SUPREME COURT OF THE UNITED STATES, BY LISA S. BLATT, PARTNER, ARNOLD & PORTER, WASHINGTON, DC",1.99239144032302,-0.0909082710886083,1.23938606475984,0.263019766402406,-0.804171855404415
