id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
523,2624,7.225,,C,19,A,,,B,high,52,A,high,33,Z,low,166,Y,,168,X,,414
524,111361,57.9792,B18,C,,A,high,47,C,,,,unknown,37,Z,high,179,Z,medium,338,Y,medium,295
525,2700,7.2292,,C,,D,,47,C,medium,6,,low,69,Y,high,306,X,low,99,Z,high,246
526,367232,7.75,,Q,,D,,12,B,,59,,unknown,8,X,,355,Z,low,316,Y,low,192
527,W./C. 14258,10.5,,S,,B,high,,B,,,,unknown,71,X,low,274,Y,medium,204,Z,medium,21
528,PC 17483,221.7792,C95,S,14,D,medium,70,C,unknown,,D,unknown,55,Z,high,203,Z,high,463,Y,low,133
529,3101296,7.925,,S,91,D,high,,,high,10,C,low,22,Y,medium,251,Z,low,355,X,medium,107
530,29104,11.5,,S,92,,,9,A,unknown,50,A,unknown,89,Y,low,72,Z,low,36,Y,low,28
531,26360,26,,S,59,A,unknown,21,B,,57,A,high,62,Z,low,90,X,medium,435,X,high,372
532,2641,7.2292,,C,16,,,87,,unknown,10,C,high,16,X,low,305,Z,,362,Z,medium,176
533,2690,7.2292,,C,15,C,,,D,high,63,,low,65,X,medium,432,Y,,107,X,,254
534,2668,22.3583,,C,,,low,50,,unknown,16,,medium,41,Z,medium,261,Z,medium,141,Y,low,100
535,315084,8.6625,,S,57,,,,D,unknown,14,D,medium,76,X,,30,Z,high,86,Y,medium,295
536,F.C.C. 13529,26.25,,S,15,B,unknown,,C,unknown,40,D,unknown,49,Z,low,490,Y,medium,155,Y,high,67
537,113050,26.55,B38,S,45,A,,85,B,,,C,,99,Z,medium,162,,high,471,Y,high,338
538,PC 17761,106.425,,C,11,D,,89,,high,91,C,,92,X,medium,374,,high,451,Z,low,369
539,364498,14.5,,S,,,low,28,D,unknown,,D,,4,Y,high,,X,medium,275,Z,medium,155
540,13568,49.5,B39,C,2,,unknown,58,A,medium,,A,low,,Z,high,493,Z,low,181,X,low,106
541,WE/P 5735,71,B22,S,70,D,,,A,low,73,C,unknown,,Y,low,58,Y,medium,,Z,medium,390
542,347082,31.275,,S,,,,,B,unknown,,,unknown,,X,,93,X,medium,478,Z,low,111
543,347082,31.275,,S,19,,high,0,A,high,98,A,medium,14,X,medium,322,X,,99,,low,89
544,2908,26,,S,17,A,medium,97,D,,74,A,high,53,X,medium,380,Z,medium,378,,high,170
545,PC 17761,106.425,C86,C,83,,high,35,D,high,,B,unknown,15,X,,,Z,medium,497,Z,,483
546,693,26,,S,5,,,,C,low,94,B,high,,X,medium,275,Z,low,427,X,high,231
547,2908,26,,S,42,B,low,61,,medium,10,D,high,45,X,low,79,,medium,359,Z,high,131
548,SC/PARIS 2146,13.8625,,C,,C,,78,A,medium,45,B,low,99,Z,medium,356,X,,449,Z,medium,256
549,363291,20.525,,S,51,B,,,C,,,C,,87,Y,high,334,Y,high,108,X,low,174
550,C.A. 33112,36.75,,S,68,D,unknown,,B,unknown,0,,,,X,low,233,X,high,,Z,high,332
551,17421,110.8833,C70,C,80,D,low,89,B,high,45,D,high,,X,high,318,X,high,,Z,low,219
552,244358,26,,S,,,unknown,93,B,low,68,C,unknown,,X,low,106,X,,6,,,294
553,330979,7.8292,,Q,82,D,high,15,,medium,79,D,,66,X,high,405,Y,low,99,Z,high,218
554,2620,7.225,,C,,C,,90,C,low,41,C,high,13,Z,medium,22,X,high,,X,medium,
555,347085,7.775,,S,,B,unknown,90,A,unknown,86,A,,,X,medium,419,X,low,123,Z,low,223
556,113807,26.55,,S,50,C,low,,C,medium,67,C,,99,Y,low,419,X,low,316,Z,medium,196
557,11755,39.6,A16,C,,D,low,21,D,,4,B,low,,Y,high,343,Z,low,55,X,high,481
558,PC 17757,227.525,,C,,,unknown,,A,medium,27,B,high,1,X,medium,407,Y,medium,348,Y,medium,132
559,110413,79.65,E67,S,79,,low,99,D,low,93,C,medium,,X,medium,456,Y,low,114,Y,,402
560,345572,17.4,,S,85,,,,C,unknown,0,B,unknown,,X,medium,81,Y,medium,261,X,medium,354
561,372622,7.75,,Q,53,A,,,B,high,10,A,unknown,,X,medium,272,Y,low,58,Z,medium,263
562,349251,7.8958,,S,4,,unknown,19,C,medium,34,,unknown,63,Z,medium,322,Y,low,485,Y,low,158
563,218629,13.5,,S,49,C,,8,,,99,C,unknown,35,Z,,471,Z,medium,188,X,low,241
564,SOTON/OQ 392082,8.05,,S,18,,high,25,D,high,,,medium,35,Y,low,368,Z,medium,302,Y,high,
565,SOTON/O.Q. 392087,8.05,,S,88,D,low,6,A,low,,,,,Z,low,297,X,medium,243,X,medium,90
566,A/4 48871,24.15,,S,23,D,,19,A,,39,C,high,85,Z,high,278,,medium,297,X,high,293
567,349205,7.8958,,S,22,,,7,C,,93,C,,49,Z,high,71,X,medium,227,,medium,
568,349909,21.075,,S,24,,low,76,B,low,21,D,medium,31,X,medium,158,X,low,36,Z,,316
569,2686,7.2292,,C,64,,high,58,A,high,57,B,high,,Z,medium,216,Y,medium,414,X,medium,72
570,350417,7.8542,,S,,D,low,51,B,unknown,46,,,1,,low,440,Y,high,321,X,medium,254
571,S.W./PP 752,10.5,,S,94,,medium,80,C,,,,unknown,48,Y,low,430,Z,low,126,Z,high,91
572,11769,51.4792,C101,S,41,C,,41,,high,75,,low,55,Z,high,321,Z,low,42,Y,high,464
573,PC 17474,26.3875,E25,S,,D,high,40,D,,83,,medium,67,Y,medium,52,,high,443,X,high,175
574,14312,7.75,,Q,4,D,,20,B,unknown,11,D,,80,X,low,,Y,medium,166,Z,high,210
575,A/4. 20589,8.05,,S,0,A,low,,A,high,,D,,36,X,high,229,Z,low,454,X,low,428
576,358585,14.5,,S,37,A,unknown,,,high,,D,high,,X,medium,326,Z,high,382,X,high,213
577,243880,13,,S,92,B,high,58,D,unknown,,,low,,X,,216,Y,low,479,Y,high,96
578,13507,55.9,E44,S,52,,,,A,unknown,66,D,medium,76,Y,high,360,Y,medium,329,,medium,446
579,2689,14.4583,,C,89,C,,53,B,,63,,unknown,,,high,108,,medium,90,Y,low,323
580,STON/O 2. 3101286,7.925,,S,10,,,29,,high,37,D,medium,3,Y,low,72,X,low,17,Y,low,302
581,237789,30,,S,9,B,high,,C,low,,B,medium,,Y,medium,109,Y,high,122,X,high,37
582,17421,110.8833,C68,C,83,A,high,82,B,unknown,,,low,,X,low,461,Z,medium,219,,high,224
583,28403,26,,S,10,A,,,,unknown,82,B,,,Y,high,,X,low,311,Z,low,229
584,13049,40.125,A10,C,5,A,medium,25,,medium,89,A,low,50,Z,high,142,Z,high,447,Y,medium,131
585,3411,8.7125,,C,40,,unknown,71,,high,29,C,medium,46,X,medium,171,X,medium,70,X,medium,282
586,110413,79.65,E68,S,92,C,,,A,,,A,high,37,,low,418,X,high,317,Z,low,122
587,237565,15,,S,68,B,,,,,32,A,,41,Z,high,179,Z,high,42,X,medium,235
588,13567,79.2,B41,C,9,B,medium,31,C,,3,,,1,Y,medium,446,Y,low,240,Z,high,400
589,14973,8.05,,S,83,B,unknown,35,A,unknown,16,,medium,10,,low,494,Y,high,36,Z,low,367
590,A./5. 3235,8.05,,S,84,C,medium,,B,unknown,30,A,low,75,X,medium,325,,low,186,,high,139
591,STON/O 2. 3101273,7.125,,S,80,D,low,1,A,low,98,D,medium,36,Z,medium,171,Y,,303,X,high,
592,36947,78.2667,D20,C,90,,high,,D,unknown,20,D,,,Y,low,299,Y,medium,369,Y,medium,2
593,A/5 3902,7.25,,S,23,C,unknown,12,,,50,D,medium,39,,high,334,Z,medium,402,Z,low,172
594,364848,7.75,,Q,,,low,,D,low,,B,medium,99,Y,high,54,Y,low,,Y,low,9
595,SC/AH 29037,26,,S,,C,medium,55,,,35,A,medium,,Z,low,416,X,low,129,X,low,64
596,345773,24.15,,S,80,A,medium,,,high,91,,,18,,high,218,X,high,456,Z,medium,489
597,248727,33,,S,57,,low,34,B,unknown,9,C,high,58,,medium,422,Y,high,466,X,medium,427
598,LINE,0,,S,77,A,high,77,,low,87,A,high,,Y,,305,Y,high,483,Z,low,279
599,2664,7.225,,C,,B,medium,,,,74,D,unknown,14,Z,high,430,,medium,395,Z,medium,387
600,PC 17485,56.9292,A20,C,64,,low,1,A,,,B,high,,Z,medium,40,X,high,388,Y,high,244
601,243847,27,,S,,,medium,,D,medium,76,,high,,Y,high,21,X,low,38,X,low,300
602,349214,7.8958,,S,77,,unknown,2,,,42,A,high,73,X,high,55,X,high,,Z,high,458
603,113796,42.4,,S,73,,unknown,52,D,unknown,97,B,high,56,Z,high,437,Z,low,203,Z,low,39
604,364511,8.05,,S,,A,high,87,A,unknown,3,,low,65,Y,medium,496,Y,medium,129,Y,medium,
605,111426,26.55,,C,82,A,medium,,D,medium,2,,medium,26,Y,,499,Z,medium,34,X,low,59
606,349910,15.55,,S,,,unknown,,,,,C,,28,Z,high,166,Y,high,106,X,low,397
607,349246,7.8958,,S,,C,low,,B,high,93,D,low,63,Y,high,132,X,low,457,X,high,411
608,113804,30.5,,S,,,high,78,A,low,6,C,unknown,35,Y,low,174,Y,medium,454,Y,medium,360
609,SC/Paris 2123,41.5792,,C,,D,,,,high,77,,,,X,medium,408,Z,low,371,Y,medium,304
610,PC 17582,153.4625,C125,S,85,D,high,28,,unknown,93,C,,15,Z,medium,125,Y,low,50,Y,medium,238
611,347082,31.275,,S,83,A,low,0,,,,,low,30,Y,medium,273,X,medium,343,Y,low,11
612,SOTON/O.Q. 3101305,7.05,,S,,,high,44,B,low,86,,unknown,10,Z,medium,323,X,high,63,Y,high,387
613,367230,15.5,,Q,78,B,high,61,,low,75,D,low,8,X,high,180,Z,low,341,X,medium,446
614,370377,7.75,,Q,38,A,unknown,,C,high,,C,,,Z,medium,236,X,,16,Y,low,482
615,364512,8.05,,S,68,,low,93,A,low,85,B,low,48,Y,high,332,Z,medium,142,Z,high,170
616,220845,65,,S,63,,,,,unknown,69,B,unknown,14,X,high,395,Z,high,61,Z,low,100
617,347080,14.4,,S,,,unknown,78,B,low,1,,low,9,X,low,94,X,low,466,Z,high,326
618,A/5. 3336,16.1,,S,26,B,,2,,low,,,unknown,87,X,medium,256,Y,low,284,Z,low,8
619,230136,39,F4,S,6,B,high,85,,medium,,A,high,51,X,medium,77,Y,high,461,X,low,30
620,31028,10.5,,S,13,A,low,75,A,unknown,,,low,71,Y,high,7,Z,low,10,X,low,410
621,2659,14.4542,,C,43,B,high,,C,,,,,72,Z,medium,322,Z,,369,Y,medium,478
622,11753,52.5542,D19,S,47,A,,58,D,medium,,B,unknown,10,Z,medium,241,X,high,239,Y,medium,201
623,2653,15.7417,,C,,D,,,D,high,29,,low,,Z,high,129,X,high,234,Z,low,253
624,350029,7.8542,,S,41,,low,90,,,19,D,unknown,,Y,low,27,Z,low,436,Z,low,
625,54636,16.1,,S,60,D,high,55,A,unknown,8,D,,44,Y,medium,472,Y,high,23,Z,low,69
626,36963,32.3208,D50,S,23,,,,,low,63,,,86,X,,413,X,,472,X,medium,111
627,219533,12.35,,Q,33,D,medium,61,D,unknown,95,D,medium,,X,high,,Y,low,14,Z,high,149
628,13502,77.9583,D9,S,36,C,,68,C,unknown,,D,,,Y,low,56,X,medium,181,Z,low,
629,349224,7.8958,,S,50,B,unknown,,C,,,D,medium,10,Z,high,7,X,low,69,Z,high,
630,334912,7.7333,,Q,36,C,high,81,B,,,,unknown,61,X,low,108,Z,low,261,Y,medium,360
631,27042,30,A23,S,73,B,,20,C,medium,17,B,,88,X,low,50,X,low,297,X,low,97
632,347743,7.0542,,S,32,A,,89,A,unknown,21,,,57,X,high,229,Z,low,321,X,low,476
633,13214,30.5,B50,C,43,B,low,55,,unknown,28,D,unknown,80,X,medium,322,X,medium,399,Z,high,441
634,112052,0,,S,37,,high,32,,high,68,,medium,53,X,medium,97,X,high,375,Z,high,237
635,347088,27.9,,S,,,high,,,,29,D,low,41,X,medium,198,Z,medium,474,,high,112
636,237668,13,,S,68,A,unknown,1,A,,82,,unknown,,X,high,269,X,low,224,Y,medium,488
637,STON/O 2. 3101292,7.925,,S,23,,unknown,74,A,high,36,C,,15,Y,low,158,Y,medium,87,Y,high,404
638,C.A. 31921,26.25,,S,29,C,,37,,,10,A,,,Z,low,230,Y,high,77,X,high,
639,3101295,39.6875,,S,79,,,84,D,unknown,9,B,,,X,medium,295,,high,137,Y,high,133
640,376564,16.1,,S,94,,medium,23,C,high,40,C,unknown,,X,high,476,Y,high,301,X,medium,
641,350050,7.8542,,S,67,A,,92,,high,40,A,unknown,,Z,medium,155,,medium,27,Z,medium,185
642,PC 17477,69.3,B35,C,91,,high,94,B,low,,A,high,99,X,high,44,X,medium,477,Z,high,337
643,347088,27.9,,S,85,D,unknown,10,C,,47,C,,23,Z,high,434,X,low,494,X,high,416
644,1601,56.4958,,S,48,C,,64,D,,16,A,medium,72,Y,high,288,X,medium,82,Z,medium,244
645,2666,19.2583,,C,,,,93,B,,21,,high,87,Z,medium,236,Y,medium,390,Z,low,24
646,PC 17572,76.7292,D33,C,32,B,,32,C,high,56,B,unknown,83,X,medium,360,Y,low,,Y,medium,281
647,349231,7.8958,,S,,A,unknown,,C,medium,33,,low,,,low,490,X,low,240,Y,medium,429
648,13213,35.5,A26,C,,A,high,,D,unknown,67,,,17,Y,low,63,X,high,367,X,high,111
649,S.O./P.P. 751,7.55,,S,96,A,low,47,D,,92,,high,46,X,,430,Z,low,287,Z,low,479
650,CA. 2314,7.55,,S,84,D,low,2,C,low,35,C,high,77,X,high,318,X,,161,X,low,181
651,349221,7.8958,,S,,C,unknown,84,C,,55,C,unknown,61,Z,high,292,Y,medium,281,Z,high,342
652,231919,23,,S,65,B,unknown,,D,medium,,B,,,X,medium,432,Z,low,67,Y,high,350
653,8475,8.4333,,S,20,D,unknown,,,low,21,,low,21,Y,medium,152,Z,high,127,Z,low,91
654,330919,7.8292,,Q,,A,low,25,,,51,D,low,65,Z,high,393,Z,high,486,Y,low,
655,365226,6.75,,Q,,A,high,1,C,high,30,D,unknown,42,X,low,285,Y,high,92,Z,medium,474
656,S.O.C. 14879,73.5,,S,53,B,unknown,,C,,62,D,,,X,low,467,Y,low,299,Y,high,350
657,349223,7.8958,,S,76,D,high,2,A,low,74,,high,93,Y,high,233,Z,,,Y,high,315
658,364849,15.5,,Q,63,C,high,79,C,unknown,14,C,medium,0,X,medium,360,Z,low,232,Y,medium,151
659,29751,13,,S,,D,,51,,unknown,18,A,medium,23,Z,low,248,X,low,123,,low,54
660,35273,113.275,D48,C,28,,low,,,high,2,D,unknown,91,X,low,196,Z,,284,Y,medium,135
661,PC 17611,133.65,,S,,,medium,81,C,low,1,A,,,X,,187,Z,high,278,,low,273
662,2623,7.225,,C,73,A,,89,,,,,,30,X,low,460,Z,low,308,Y,medium,346
663,5727,25.5875,E58,S,3,A,low,12,D,high,70,D,unknown,,X,medium,418,X,high,154,Y,low,159
664,349210,7.4958,,S,,C,low,,C,high,,,unknown,,X,high,112,Y,low,289,Y,low,107
665,STON/O 2. 3101285,7.925,,S,,,,12,B,,40,D,high,,Y,high,432,X,high,364,Y,high,124
666,S.O.C. 14879,73.5,,S,69,D,unknown,68,D,unknown,,B,low,30,Y,high,291,X,medium,359,X,high,480
667,234686,13,,S,50,D,high,56,B,unknown,72,,high,53,Y,high,,Y,low,283,Z,,
668,312993,7.775,,S,86,C,high,8,B,high,80,A,high,,X,low,382,X,high,149,Y,medium,495
669,A/5 3536,8.05,,S,91,B,,23,,,73,,high,,X,low,81,X,high,266,Z,medium,3
670,19996,52,C126,S,,A,low,53,D,high,,,low,79,X,low,436,X,high,268,Y,low,229
671,29750,39,,S,,C,medium,,C,low,52,B,,62,X,high,227,,medium,475,Y,medium,228
672,F.C. 12750,52,B71,S,61,C,,34,,,52,A,unknown,,Z,medium,458,X,high,188,Y,medium,200
673,C.A. 24580,10.5,,S,,D,unknown,,D,,64,A,medium,98,X,high,241,Z,high,,Z,high,195
674,244270,13,,S,9,C,,99,A,low,79,B,medium,,X,,42,Z,high,,X,medium,39
675,239856,0,,S,62,A,,76,,high,,,low,89,Y,high,383,Z,medium,317,,high,16
676,349912,7.775,,S,,,medium,,C,high,67,C,unknown,,X,medium,363,Z,low,213,X,medium,389
677,342826,8.05,,S,58,,medium,,D,,83,A,low,92,Y,high,151,Y,medium,0,Z,low,220
678,4138,9.8417,,S,,A,unknown,,B,high,,,medium,78,Y,low,102,Y,medium,352,Y,medium,81
679,CA 2144,46.9,,S,52,D,medium,51,D,unknown,41,C,medium,21,,high,431,,low,368,Z,high,
680,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44,A,unknown,,B,,20,X,medium,389,Y,low,465,,low,466
681,330935,8.1375,,Q,72,,,83,D,medium,2,,,54,,low,148,Y,,251,X,high,233
682,PC 17572,76.7292,D49,C,13,D,,,A,,,D,unknown,50,Z,low,350,Y,,257,Y,medium,495
683,6563,9.225,,S,95,,,,,,80,B,unknown,23,Y,,120,X,,104,X,high,80
684,CA 2144,46.9,,S,95,A,medium,,,high,17,,high,26,X,low,90,Z,high,229,Y,high,61
685,29750,39,,S,16,D,,6,D,low,,B,low,89,Y,high,,,high,0,X,medium,281
686,SC/Paris 2123,41.5792,,C,80,A,,69,D,,90,,unknown,,Y,low,416,Z,low,250,X,,341
687,3101295,39.6875,,S,,C,,65,,high,49,,medium,,Z,medium,459,X,low,,X,low,490
688,349228,10.1708,,S,59,D,unknown,58,D,medium,48,B,,,Z,medium,230,Z,high,392,Y,high,232
689,350036,7.7958,,S,44,C,low,5,B,high,42,A,medium,15,Y,medium,71,X,high,331,Z,high,100
690,24160,211.3375,B5,S,78,A,low,49,C,low,37,,,,X,medium,271,X,medium,402,Y,low,270
691,17474,57,B20,S,99,D,high,89,A,medium,38,A,,,,high,340,,high,332,X,,153
692,349256,13.4167,,C,79,A,medium,23,A,high,55,C,,64,X,high,485,X,low,389,X,medium,89
693,1601,56.4958,,S,,C,,69,A,high,,A,,,Z,high,56,X,medium,218,Z,low,44
694,2672,7.225,,C,94,,low,85,C,unknown,,A,,23,Y,,328,Z,medium,301,,low,361
695,113800,26.55,,S,9,,,,,unknown,86,D,medium,18,Y,high,256,X,low,319,Y,low,321
696,248731,13.5,,S,25,,medium,51,D,,11,A,unknown,,,,294,Z,high,286,Y,low,83
697,363592,8.05,,S,72,A,medium,,,low,30,B,,7,Y,high,46,X,medium,285,Y,low,279
698,35852,7.7333,,Q,59,D,high,69,C,,75,C,unknown,,Y,low,8,Y,low,390,Z,low,442
699,17421,110.8833,C68,C,5,A,,,,low,54,B,medium,86,X,low,303,Y,low,119,Z,medium,409
700,348121,7.65,F G63,S,9,,medium,,B,,33,B,medium,30,Y,high,99,Z,,158,,medium,226
701,PC 17757,227.525,C62 C64,C,52,,low,,A,low,31,,low,,X,high,306,Z,,259,Y,low,28
702,PC 17475,26.2875,E24,S,61,C,high,71,,,11,,,,X,low,13,Z,high,322,Z,low,317
703,2691,14.4542,,C,16,C,low,24,C,low,,D,low,25,X,high,400,Z,low,257,Y,medium,258
704,36864,7.7417,,Q,17,C,medium,75,,high,,C,medium,6,Y,low,166,X,medium,99,,high,460
705,350025,7.8542,,S,,C,,54,C,,41,D,unknown,,Z,low,,X,medium,411,Z,high,276
706,250655,26,,S,56,D,low,93,D,high,,C,high,2,X,high,172,Y,medium,272,X,high,368
707,223596,13.5,,S,,,medium,65,C,high,27,,high,42,X,low,209,X,,216,Y,low,264
708,PC 17476,26.2875,E24,S,,D,,,A,low,,,unknown,3,Y,low,265,Y,high,439,Y,high,270
709,113781,151.55,,S,47,D,unknown,97,B,,,C,unknown,,X,high,322,Y,high,218,,low,158
710,2661,15.2458,,C,,D,unknown,99,D,unknown,40,C,unknown,,X,medium,344,X,medium,80,Y,low,201
711,PC 17482,49.5042,C90,C,,,low,74,A,high,25,D,,32,Y,medium,495,X,high,492,X,low,147
712,113028,26.55,C124,S,,D,high,59,A,medium,63,,,,Y,high,89,Z,low,191,Y,low,231
713,19996,52,C126,S,72,A,high,11,D,unknown,54,B,,,X,low,435,Y,low,447,Y,medium,475
714,7545,9.4833,,S,76,D,medium,,,,57,A,,,X,high,300,Z,low,258,Y,low,170
715,250647,13,,S,,C,medium,47,D,,,,high,,X,low,154,,low,121,Y,high,231
716,348124,7.65,F G73,S,79,,,78,,low,72,,medium,36,Z,medium,458,Y,high,188,Z,high,473
717,PC 17757,227.525,C45,C,51,C,medium,58,C,,,D,,,Y,low,353,Z,low,455,Z,medium,75
718,34218,10.5,E101,S,,B,low,43,C,,83,C,low,25,,low,92,X,,472,Z,low,126
719,36568,15.5,,Q,,,,,A,low,42,A,,,X,low,87,X,medium,68,X,high,246
720,347062,7.775,,S,59,D,medium,,,,40,C,medium,73,Z,medium,329,Z,high,493,Z,low,204
721,248727,33,,S,13,A,,,,,38,B,low,75,,high,364,Z,low,426,Z,high,170
722,350048,7.0542,,S,93,B,low,,D,medium,42,,unknown,51,Z,low,22,X,high,323,Z,high,389
723,12233,13,,S,84,,low,,,low,66,B,medium,75,Z,medium,314,Y,medium,91,Z,low,249
724,250643,13,,S,,,unknown,87,D,low,49,C,medium,59,Y,high,265,Y,low,293,Z,low,182
725,113806,53.1,E8,S,78,D,low,11,D,unknown,12,A,medium,,Z,high,,Z,low,212,Z,high,
726,315094,8.6625,,S,11,A,high,40,A,unknown,56,C,medium,35,Z,high,370,Y,high,62,Z,high,443
727,31027,21,,S,,C,high,51,,,,D,unknown,51,Z,low,454,X,high,491,Y,medium,491
728,36866,7.7375,,Q,8,D,high,,C,low,10,,high,,X,medium,17,Z,high,301,Y,low,121
729,236853,26,,S,48,D,unknown,16,C,,,A,low,76,X,medium,382,Z,medium,48,Y,medium,20
730,STON/O2. 3101271,7.925,,S,65,A,,,D,,31,A,low,,Z,medium,166,Y,high,170,Z,medium,15
731,24160,211.3375,B5,S,72,,,59,,medium,,,,5,Z,low,276,Z,low,419,Y,low,222
732,2699,18.7875,,C,41,,low,,,medium,17,D,,49,Y,low,438,X,low,221,,high,314
733,239855,0,,S,,,,16,B,high,,D,,7,X,high,434,X,high,247,Z,medium,25
734,28425,13,,S,,B,high,42,D,,,,unknown,19,Y,low,112,Z,low,71,X,low,254
735,233639,13,,S,20,,unknown,72,D,,13,B,medium,37,Y,high,120,Y,medium,,Z,,199
736,54636,16.1,,S,,,medium,73,,unknown,,A,,0,Y,low,361,X,medium,488,Y,medium,466
737,W./C. 6608,34.375,,S,,B,,19,C,unknown,31,B,low,22,Y,medium,,Z,low,476,Z,medium,301
738,PC 17755,512.3292,B101,C,,,unknown,,,medium,58,B,medium,54,,medium,306,X,high,47,X,,211
739,349201,7.8958,,S,,,high,89,,,56,C,medium,37,Y,high,27,X,low,274,X,low,293
740,349218,7.8958,,S,89,A,unknown,22,A,,,D,,89,Z,high,81,Y,high,340,Z,low,67
741,16988,30,D45,S,81,A,,2,C,medium,58,D,,9,X,low,374,Y,low,440,Z,low,237
742,19877,78.85,C46,S,76,C,medium,95,,unknown,56,,low,,Z,high,370,Z,,279,Y,low,164
743,PC 17608,262.375,B57 B59 B63 B66,C,,B,,52,A,,8,A,high,59,Z,low,448,Y,low,434,Y,medium,90
744,376566,16.1,,S,27,,high,77,,,,,medium,64,Y,high,266,X,medium,,Y,medium,196
745,STON/O 2. 3101288,7.925,,S,79,D,low,32,,,11,B,medium,67,Y,high,213,Z,low,7,Y,high,319
746,WE/P 5735,71,B22,S,36,A,unknown,,A,,43,B,low,5,Y,low,56,Y,low,232,,,291
747,C.A. 2673,20.25,,S,53,B,low,,D,medium,36,C,low,79,Y,medium,390,,medium,132,Y,medium,481
748,250648,13,,S,31,C,medium,,A,,,C,medium,33,Z,high,474,,high,377,Y,low,137
749,113773,53.1,D30,S,31,D,,47,C,unknown,,D,medium,65,,high,22,Y,high,168,X,low,349
750,335097,7.75,,Q,,C,high,,,unknown,,C,,,Y,medium,245,Y,high,203,Y,low,275
751,29103,23,,S,,B,high,,B,low,41,,unknown,39,,low,177,X,high,267,Z,low,436
752,392096,12.475,E121,S,14,,unknown,,A,unknown,6,A,,70,Y,medium,372,Y,high,480,Z,low,454
753,345780,9.5,,S,,D,,91,,,0,,medium,93,Y,high,381,Y,high,35,Y,high,353
754,349204,7.8958,,S,93,B,,,A,,54,D,,87,Y,medium,108,Z,medium,276,Y,medium,211
755,220845,65,,S,55,D,,,,medium,,D,high,,Y,low,476,Z,high,194,X,high,266
756,250649,14.5,,S,43,D,unknown,51,D,medium,54,B,medium,53,Y,low,68,Z,high,18,Y,low,325
757,350042,7.7958,,S,73,,medium,,D,,72,,,52,Z,low,390,Y,medium,407,Y,low,402
758,29108,11.5,,S,38,A,,82,,unknown,75,A,,96,Z,medium,,Y,low,456,X,low,114
759,363294,8.05,,S,,D,unknown,72,D,,87,A,medium,20,Z,,81,Y,low,86,X,medium,436
760,110152,86.5,B77,S,,A,,14,,,,C,,95,Y,medium,336,X,medium,379,Y,medium,400
761,358585,14.5,,S,17,B,low,58,D,medium,88,C,low,64,Z,high,135,X,medium,350,Z,medium,44
762,SOTON/O2 3101272,7.125,,S,55,,unknown,53,,low,79,C,unknown,,Z,medium,137,Z,medium,352,Y,high,134
763,2663,7.2292,,C,,C,high,,,low,43,,,,X,medium,43,X,high,230,Z,medium,117
764,113760,120,B96 B98,S,93,B,high,,B,medium,50,B,medium,81,Z,medium,373,Z,,160,,high,289
765,347074,7.775,,S,36,C,unknown,,B,,61,A,high,,Z,medium,403,Z,medium,35,Z,low,104
766,13502,77.9583,D11,S,78,,medium,,,,,,,,Y,high,252,Z,high,17,Z,medium,150
767,112379,39.6,,C,61,D,,51,B,unknown,67,C,,,Z,low,387,X,high,88,Y,medium,94
768,364850,7.75,,Q,47,,high,,,unknown,58,B,medium,72,X,medium,174,Y,medium,263,Z,medium,33
769,371110,24.15,,Q,,A,low,,A,high,52,C,unknown,91,Z,low,282,Z,medium,70,X,high,229
770,8471,8.3625,,S,37,B,low,4,B,,,B,low,,Y,low,393,Y,low,343,X,medium,159
771,345781,9.5,,S,65,A,,35,,unknown,68,C,unknown,,Z,low,215,Y,medium,309,Y,medium,252
772,350047,7.8542,,S,98,D,,,D,medium,93,B,high,4,Y,medium,308,Z,low,172,X,,106
773,S.O./P.P. 3,10.5,E77,S,0,,high,,A,medium,97,B,low,63,Y,high,72,Z,medium,43,Z,medium,143
774,2674,7.225,,C,,B,medium,,C,low,82,A,low,,Y,high,253,X,medium,258,Z,medium,446
775,29105,23,,S,,,low,,D,high,29,C,high,96,Y,low,425,,low,411,X,low,402
776,347078,7.75,,S,,,high,44,D,low,,D,,,Z,high,386,Y,high,196,Z,low,133
777,383121,7.75,F38,Q,42,B,unknown,75,D,high,29,C,low,91,Z,low,150,Y,low,,X,low,80
778,364516,12.475,,S,11,,medium,33,A,,,,high,,X,low,272,Z,medium,143,X,medium,487
779,36865,7.7375,,Q,,A,low,15,B,low,,,unknown,0,Y,medium,309,X,medium,40,Z,high,
780,24160,211.3375,B3,S,85,B,,84,D,high,88,A,high,,X,high,469,X,,324,Z,low,246
781,2687,7.2292,,C,87,B,,77,D,medium,68,D,high,63,X,medium,414,Z,medium,444,Z,high,349
782,17474,57,B20,S,63,D,,,C,medium,68,A,low,,Z,low,409,Y,low,441,Y,high,110
783,113501,30,D6,S,12,D,medium,,D,high,95,C,high,17,Z,medium,376,Z,low,479,Y,low,214
784,W./C. 6607,23.45,,S,,D,medium,77,C,,68,D,high,91,Z,low,179,X,high,53,X,,195
