"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16"
555,7.775,"","S",51,"B","unknown",90,"A","unknown",86,"A","",NA,"X","medium",419,"X","low",123
556,26.55,"","S",50,"C","low",51,"C","medium",67,"C","",99,"Y","low",419,"X","low",316
557,39.6,"A16","C",51,"D","low",21,"D","",4,"B","low",NA,"Y","high",343,"Z","low",55
558,227.525,"","C",51,"","unknown",51,"A","medium",27,"B","high",1,"X","medium",407,"Y","medium",348
559,79.65,"E67","S",79,"","low",99,"D","low",93,"C","medium",NA,"X","medium",456,"Y","low",114
560,17.4,"","S",85,"","",51,"C","unknown",0,"B","unknown",NA,"X","medium",81,"Y","medium",261
561,7.75,"","Q",53,"A","",51,"B","high",10,"A","unknown",NA,"X","medium",272,"Y","low",58
562,7.8958,"","S",4,"","unknown",19,"C","medium",34,"","unknown",63,"Z","medium",322,"Y","low",485
563,13.5,"","S",49,"C","",8,"","",99,"C","unknown",35,"Z","",471,"Z","medium",188
564,8.05,"","S",18,"","high",25,"D","high",NA,"","medium",35,"Y","low",368,"Z","medium",302
565,8.05,"","S",88,"D","low",6,"A","low",NA,"","",NA,"Z","low",297,"X","medium",243
566,24.15,"","S",23,"D","",19,"A","",39,"C","high",85,"Z","high",278,"","medium",297
567,7.8958,"","S",22,"","",7,"C","",93,"C","",49,"Z","high",71,"X","medium",227
568,21.075,"","S",24,"","low",76,"B","low",21,"D","medium",31,"X","medium",158,"X","low",36
569,7.2292,"","C",64,"","high",58,"A","high",57,"B","high",NA,"Z","medium",216,"Y","medium",414
570,7.8542,"","S",51,"D","low",51,"B","unknown",46,"","",1,"","low",440,"Y","high",321
571,10.5,"","S",94,"","medium",80,"C","",NA,"","unknown",48,"Y","low",430,"Z","low",126
572,51.4792,"C101","S",41,"C","",41,"","high",75,"","low",55,"Z","high",321,"Z","low",42
573,26.3875,"E25","S",51,"D","high",40,"D","",83,"","medium",67,"Y","medium",52,"","high",443
574,7.75,"","Q",4,"D","",20,"B","unknown",11,"D","",80,"X","low",NA,"Y","medium",166
575,8.05,"","S",0,"A","low",51,"A","high",NA,"D","",36,"X","high",229,"Z","low",454
576,14.5,"","S",37,"A","unknown",51,"","high",NA,"D","high",NA,"X","medium",326,"Z","high",382
577,13,"","S",92,"B","high",58,"D","unknown",NA,"","low",NA,"X","",216,"Y","low",479
578,55.9,"E44","S",52,"","",51,"A","unknown",66,"D","medium",76,"Y","high",360,"Y","medium",329
579,14.4583,"","C",89,"C","",53,"B","",63,"","unknown",NA,"","high",108,"","medium",90
580,7.925,"","S",10,"","",29,"","high",37,"D","medium",3,"Y","low",72,"X","low",17
581,30,"","S",9,"B","high",51,"C","low",NA,"B","medium",NA,"Y","medium",109,"Y","high",122
582,110.8833,"C68","C",83,"A","high",82,"B","unknown",NA,"","low",NA,"X","low",461,"Z","medium",219
583,26,"","S",10,"A","",51,"","unknown",82,"B","",NA,"Y","high",NA,"X","low",311
584,40.125,"A10","C",5,"A","medium",25,"","medium",89,"A","low",50,"Z","high",142,"Z","high",447
585,8.7125,"","C",40,"","unknown",71,"","high",29,"C","medium",46,"X","medium",171,"X","medium",70
586,79.65,"E68","S",92,"C","",51,"A","",NA,"A","high",37,"","low",418,"X","high",317
587,15,"","S",68,"B","",51,"","",32,"A","",41,"Z","high",179,"Z","high",42
588,79.2,"B41","C",9,"B","medium",31,"C","",3,"","",1,"Y","medium",446,"Y","low",240
589,8.05,"","S",83,"B","unknown",35,"A","unknown",16,"","medium",10,"","low",494,"Y","high",36
590,8.05,"","S",84,"C","medium",51,"B","unknown",30,"A","low",75,"X","medium",325,"","low",186
591,7.125,"","S",80,"D","low",1,"A","low",98,"D","medium",36,"Z","medium",171,"Y","",303
592,78.2667,"D20","C",90,"","high",51,"D","unknown",20,"D","",NA,"Y","low",299,"Y","medium",369
593,7.25,"","S",23,"C","unknown",12,"","",50,"D","medium",39,"","high",334,"Z","medium",402
594,7.75,"","Q",51,"","low",51,"D","low",NA,"B","medium",99,"Y","high",54,"Y","low",NA
595,26,"","S",51,"C","medium",55,"","",35,"A","medium",NA,"Z","low",416,"X","low",129
596,24.15,"","S",80,"A","medium",51,"","high",91,"","",18,"","high",218,"X","high",456
597,33,"","S",57,"","low",34,"B","unknown",9,"C","high",58,"","medium",422,"Y","high",466
598,0,"","S",77,"A","high",77,"","low",87,"A","high",NA,"Y","",305,"Y","high",483
599,7.225,"","C",51,"B","medium",51,"","",74,"D","unknown",14,"Z","high",430,"","medium",395
600,56.9292,"A20","C",64,"","low",1,"A","",NA,"B","high",NA,"Z","medium",40,"X","high",388
601,27,"","S",51,"","medium",51,"D","medium",76,"","high",NA,"Y","high",21,"X","low",38
602,7.8958,"","S",77,"","unknown",2,"","",42,"A","high",73,"X","high",55,"X","high",NA
603,42.4,"","S",73,"","unknown",52,"D","unknown",97,"B","high",56,"Z","high",437,"Z","low",203
604,8.05,"","S",51,"A","high",87,"A","unknown",3,"","low",65,"Y","medium",496,"Y","medium",129
605,26.55,"","C",82,"A","medium",51,"D","medium",2,"","medium",26,"Y","",499,"Z","medium",34
606,15.55,"","S",51,"","unknown",51,"","",NA,"C","",28,"Z","high",166,"Y","high",106
607,7.8958,"","S",51,"C","low",51,"B","high",93,"D","low",63,"Y","high",132,"X","low",457
608,30.5,"","S",51,"","high",78,"A","low",6,"C","unknown",35,"Y","low",174,"Y","medium",454
609,41.5792,"","C",51,"D","",51,"","high",77,"","",NA,"X","medium",408,"Z","low",371
610,153.4625,"C125","S",85,"D","high",28,"","unknown",93,"C","",15,"Z","medium",125,"Y","low",50
611,31.275,"","S",83,"A","low",0,"","",NA,"","low",30,"Y","medium",273,"X","medium",343
612,7.05,"","S",51,"","high",44,"B","low",86,"","unknown",10,"Z","medium",323,"X","high",63
613,15.5,"","Q",78,"B","high",61,"","low",75,"D","low",8,"X","high",180,"Z","low",341
614,7.75,"","Q",38,"A","unknown",51,"C","high",NA,"C","",NA,"Z","medium",236,"X","",16
615,8.05,"","S",68,"","low",93,"A","low",85,"B","low",48,"Y","high",332,"Z","medium",142
616,65,"","S",63,"","",51,"","unknown",69,"B","unknown",14,"X","high",395,"Z","high",61
617,14.4,"","S",51,"","unknown",78,"B","low",1,"","low",9,"X","low",94,"X","low",466
618,16.1,"","S",26,"B","",2,"","low",NA,"","unknown",87,"X","medium",256,"Y","low",284
619,39,"F4","S",6,"B","high",85,"","medium",NA,"A","high",51,"X","medium",77,"Y","high",461
620,10.5,"","S",13,"A","low",75,"A","unknown",NA,"","low",71,"Y","high",7,"Z","low",10
621,14.4542,"","C",43,"B","high",51,"C","",NA,"","",72,"Z","medium",322,"Z","",369
622,52.5542,"D19","S",47,"A","",58,"D","medium",NA,"B","unknown",10,"Z","medium",241,"X","high",239
623,15.7417,"","C",51,"D","",51,"D","high",29,"","low",NA,"Z","high",129,"X","high",234
624,7.8542,"","S",41,"","low",90,"","",19,"D","unknown",NA,"Y","low",27,"Z","low",436
625,16.1,"","S",60,"D","high",55,"A","unknown",8,"D","",44,"Y","medium",472,"Y","high",23
626,32.3208,"D50","S",23,"","",51,"","low",63,"","",86,"X","",413,"X","",472
627,12.35,"","Q",33,"D","medium",61,"D","unknown",95,"D","medium",NA,"X","high",NA,"Y","low",14
628,77.9583,"D9","S",36,"C","",68,"C","unknown",NA,"D","",NA,"Y","low",56,"X","medium",181
629,7.8958,"","S",50,"B","unknown",51,"C","",NA,"D","medium",10,"Z","high",7,"X","low",69
630,7.7333,"","Q",36,"C","high",81,"B","",NA,"","unknown",61,"X","low",108,"Z","low",261
631,30,"A23","S",73,"B","",20,"C","medium",17,"B","",88,"X","low",50,"X","low",297
632,7.0542,"","S",32,"A","",89,"A","unknown",21,"","",57,"X","high",229,"Z","low",321
633,30.5,"B50","C",43,"B","low",55,"","unknown",28,"D","unknown",80,"X","medium",322,"X","medium",399
634,0,"","S",37,"","high",32,"","high",68,"","medium",53,"X","medium",97,"X","high",375
635,27.9,"","S",51,"","high",51,"","",29,"D","low",41,"X","medium",198,"Z","medium",474
636,13,"","S",68,"A","unknown",1,"A","",82,"","unknown",NA,"X","high",269,"X","low",224
637,7.925,"","S",23,"","unknown",74,"A","high",36,"C","",15,"Y","low",158,"Y","medium",87
638,26.25,"","S",29,"C","",37,"","",10,"A","",NA,"Z","low",230,"Y","high",77
639,39.6875,"","S",79,"","",84,"D","unknown",9,"B","",NA,"X","medium",295,"","high",137
640,16.1,"","S",94,"","medium",23,"C","high",40,"C","unknown",NA,"X","high",476,"Y","high",301
641,7.8542,"","S",67,"A","",92,"","high",40,"A","unknown",NA,"Z","medium",155,"","medium",27
642,69.3,"B35","C",91,"","high",94,"B","low",NA,"A","high",99,"X","high",44,"X","medium",477
643,27.9,"","S",85,"D","unknown",10,"C","",47,"C","",23,"Z","high",434,"X","low",494
644,56.4958,"","S",48,"C","",64,"D","",16,"A","medium",72,"Y","high",288,"X","medium",82
645,19.2583,"","C",51,"","",93,"B","",21,"","high",87,"Z","medium",236,"Y","medium",390
646,76.7292,"D33","C",32,"B","",32,"C","high",56,"B","unknown",83,"X","medium",360,"Y","low",NA
647,7.8958,"","S",51,"A","unknown",51,"C","medium",33,"","low",NA,"","low",490,"X","low",240
648,35.5,"A26","C",51,"A","high",51,"D","unknown",67,"","",17,"Y","low",63,"X","high",367
649,7.55,"","S",96,"A","low",47,"D","",92,"","high",46,"X","",430,"Z","low",287
650,7.55,"","S",84,"D","low",2,"C","low",35,"C","high",77,"X","high",318,"X","",161
651,7.8958,"","S",51,"C","unknown",84,"C","",55,"C","unknown",61,"Z","high",292,"Y","medium",281
652,23,"","S",65,"B","unknown",51,"D","medium",NA,"B","",NA,"X","medium",432,"Z","low",67
653,8.4333,"","S",20,"D","unknown",51,"","low",21,"","low",21,"Y","medium",152,"Z","high",127
654,7.8292,"","Q",51,"A","low",25,"","",51,"D","low",65,"Z","high",393,"Z","high",486
655,6.75,"","Q",51,"A","high",1,"C","high",30,"D","unknown",42,"X","low",285,"Y","high",92
656,73.5,"","S",53,"B","unknown",51,"C","",62,"D","",NA,"X","low",467,"Y","low",299
657,7.8958,"","S",76,"D","high",2,"A","low",74,"","high",93,"Y","high",233,"Z","",NA
658,15.5,"","Q",63,"C","high",79,"C","unknown",14,"C","medium",0,"X","medium",360,"Z","low",232
659,13,"","S",51,"D","",51,"","unknown",18,"A","medium",23,"Z","low",248,"X","low",123
660,113.275,"D48","C",28,"","low",51,"","high",2,"D","unknown",91,"X","low",196,"Z","",284
661,133.65,"","S",51,"","medium",81,"C","low",1,"A","",NA,"X","",187,"Z","high",278
662,7.225,"","C",73,"A","",89,"","",NA,"","",30,"X","low",460,"Z","low",308
663,25.5875,"E58","S",3,"A","low",12,"D","high",70,"D","unknown",NA,"X","medium",418,"X","high",154
664,7.4958,"","S",51,"C","low",51,"C","high",NA,"","unknown",NA,"X","high",112,"Y","low",289
665,7.925,"","S",51,"","",12,"B","",40,"D","high",NA,"Y","high",432,"X","high",364
666,73.5,"","S",69,"D","unknown",68,"D","unknown",NA,"B","low",30,"Y","high",291,"X","medium",359
667,13,"","S",50,"D","high",56,"B","unknown",72,"","high",53,"Y","high",NA,"Y","low",283
668,7.775,"","S",86,"C","high",8,"B","high",80,"A","high",NA,"X","low",382,"X","high",149
669,8.05,"","S",91,"B","",23,"","",73,"","high",NA,"X","low",81,"X","high",266
670,52,"C126","S",51,"A","low",53,"D","high",NA,"","low",79,"X","low",436,"X","high",268
671,39,"","S",51,"C","medium",51,"C","low",52,"B","",62,"X","high",227,"","medium",475
672,52,"B71","S",61,"C","",34,"","",52,"A","unknown",NA,"Z","medium",458,"X","high",188
673,10.5,"","S",51,"D","unknown",51,"D","",64,"A","medium",98,"X","high",241,"Z","high",NA
674,13,"","S",9,"C","",99,"A","low",79,"B","medium",NA,"X","",42,"Z","high",NA
675,0,"","S",62,"A","",76,"","high",NA,"","low",89,"Y","high",383,"Z","medium",317
676,7.775,"","S",51,"","medium",51,"C","high",67,"C","unknown",NA,"X","medium",363,"Z","low",213
677,8.05,"","S",58,"","medium",51,"D","",83,"A","low",92,"Y","high",151,"Y","medium",0
678,9.8417,"","S",51,"A","unknown",51,"B","high",NA,"","medium",78,"Y","low",102,"Y","medium",352
679,46.9,"","S",52,"D","medium",51,"D","unknown",41,"C","medium",21,"","high",431,"","low",368
680,512.3292,"B51 B53 B55","C",93,"A","unknown",44,"A","unknown",NA,"B","",20,"X","medium",389,"Y","low",465
681,8.1375,"","Q",72,"","",83,"D","medium",2,"","",54,"","low",148,"Y","",251
682,76.7292,"D49","C",13,"D","",51,"A","",NA,"D","unknown",50,"Z","low",350,"Y","",257
683,9.225,"","S",95,"","",51,"","",80,"B","unknown",23,"Y","",120,"X","",104
684,46.9,"","S",95,"A","medium",51,"","high",17,"","high",26,"X","low",90,"Z","high",229
685,39,"","S",16,"D","",6,"D","low",NA,"B","low",89,"Y","high",NA,"","high",0
686,41.5792,"","C",80,"A","",69,"D","",90,"","unknown",NA,"Y","low",416,"Z","low",250
687,39.6875,"","S",51,"C","",65,"","high",49,"","medium",NA,"Z","medium",459,"X","low",NA
688,10.1708,"","S",59,"D","unknown",58,"D","medium",48,"B","",NA,"Z","medium",230,"Z","high",392
689,7.7958,"","S",44,"C","low",5,"B","high",42,"A","medium",15,"Y","medium",71,"X","high",331
690,211.3375,"B5","S",78,"A","low",49,"C","low",37,"","",NA,"X","medium",271,"X","medium",402
691,57,"B20","S",99,"D","high",89,"A","medium",38,"A","",NA,"","high",340,"","high",332
692,13.4167,"","C",79,"A","medium",23,"A","high",55,"C","",64,"X","high",485,"X","low",389
693,56.4958,"","S",51,"C","",69,"A","high",NA,"A","",NA,"Z","high",56,"X","medium",218
694,7.225,"","C",94,"","low",85,"C","unknown",NA,"A","",23,"Y","",328,"Z","medium",301
695,26.55,"","S",9,"","",51,"","unknown",86,"D","medium",18,"Y","high",256,"X","low",319
696,13.5,"","S",25,"","medium",51,"D","",11,"A","unknown",NA,"","",294,"Z","high",286
697,8.05,"","S",72,"A","medium",51,"","low",30,"B","",7,"Y","high",46,"X","medium",285
698,7.7333,"","Q",59,"D","high",69,"C","",75,"C","unknown",NA,"Y","low",8,"Y","low",390
699,110.8833,"C68","C",5,"A","",51,"","low",54,"B","medium",86,"X","low",303,"Y","low",119
700,7.65,"F G63","S",9,"","medium",51,"B","",33,"B","medium",30,"Y","high",99,"Z","",158
701,227.525,"C62 C64","C",52,"","low",51,"A","low",31,"","low",NA,"X","high",306,"Z","",259
702,26.2875,"E24","S",61,"C","high",71,"","",11,"","",NA,"X","low",13,"Z","high",322
703,14.4542,"","C",16,"C","low",24,"C","low",NA,"D","low",25,"X","high",400,"Z","low",257
704,7.7417,"","Q",17,"C","medium",75,"","high",NA,"C","medium",6,"Y","low",166,"X","medium",99
705,7.8542,"","S",51,"C","",54,"C","",41,"D","unknown",NA,"Z","low",NA,"X","medium",411
706,26,"","S",56,"D","low",93,"D","high",NA,"C","high",2,"X","high",172,"Y","medium",272
707,13.5,"","S",51,"","medium",65,"C","high",27,"","high",42,"X","low",209,"X","",216
708,26.2875,"E24","S",51,"D","",51,"A","low",NA,"","unknown",3,"Y","low",265,"Y","high",439
709,151.55,"","S",47,"D","unknown",97,"B","",NA,"C","unknown",NA,"X","high",322,"Y","high",218
710,15.2458,"","C",51,"D","unknown",99,"D","unknown",40,"C","unknown",NA,"X","medium",344,"X","medium",80
711,49.5042,"C90","C",51,"","low",74,"A","high",25,"D","",32,"Y","medium",495,"X","high",492
712,26.55,"C124","S",51,"D","high",59,"A","medium",63,"","",NA,"Y","high",89,"Z","low",191
713,52,"C126","S",72,"A","high",11,"D","unknown",54,"B","",NA,"X","low",435,"Y","low",447
714,9.4833,"","S",76,"D","medium",51,"","",57,"A","",NA,"X","high",300,"Z","low",258
715,13,"","S",51,"C","medium",47,"D","",NA,"","high",NA,"X","low",154,"","low",121
716,7.65,"F G73","S",79,"","",78,"","low",72,"","medium",36,"Z","medium",458,"Y","high",188
717,227.525,"C45","C",51,"C","medium",58,"C","",NA,"D","",NA,"Y","low",353,"Z","low",455
718,10.5,"E101","S",51,"B","low",43,"C","",83,"C","low",25,"","low",92,"X","",472
719,15.5,"","Q",51,"","",51,"A","low",42,"A","",NA,"X","low",87,"X","medium",68
720,7.775,"","S",59,"D","medium",51,"","",40,"C","medium",73,"Z","medium",329,"Z","high",493
721,33,"","S",13,"A","",51,"","",38,"B","low",75,"","high",364,"Z","low",426
722,7.0542,"","S",93,"B","low",51,"D","medium",42,"","unknown",51,"Z","low",22,"X","high",323
723,13,"","S",84,"","low",51,"","low",66,"B","medium",75,"Z","medium",314,"Y","medium",91
724,13,"","S",51,"","unknown",87,"D","low",49,"C","medium",59,"Y","high",265,"Y","low",293
725,53.1,"E8","S",78,"D","low",11,"D","unknown",12,"A","medium",NA,"Z","high",NA,"Z","low",212
726,8.6625,"","S",11,"A","high",40,"A","unknown",56,"C","medium",35,"Z","high",370,"Y","high",62
727,21,"","S",51,"C","high",51,"","",NA,"D","unknown",51,"Z","low",454,"X","high",491
728,7.7375,"","Q",8,"D","high",51,"C","low",10,"","high",NA,"X","medium",17,"Z","high",301
729,26,"","S",48,"D","unknown",16,"C","",NA,"A","low",76,"X","medium",382,"Z","medium",48
730,7.925,"","S",65,"A","",51,"D","",31,"A","low",NA,"Z","medium",166,"Y","high",170
731,211.3375,"B5","S",72,"","",59,"","medium",NA,"","",5,"Z","low",276,"Z","low",419
732,18.7875,"","C",41,"","low",51,"","medium",17,"D","",49,"Y","low",438,"X","low",221
733,0,"","S",51,"","",16,"B","high",NA,"D","",7,"X","high",434,"X","high",247
734,13,"","S",51,"B","high",42,"D","",NA,"","unknown",19,"Y","low",112,"Z","low",71
735,13,"","S",20,"","unknown",72,"D","",13,"B","medium",37,"Y","high",120,"Y","medium",NA
736,16.1,"","S",51,"","medium",73,"","unknown",NA,"A","",0,"Y","low",361,"X","medium",488
737,34.375,"","S",51,"B","",19,"C","unknown",31,"B","low",22,"Y","medium",NA,"Z","low",476
738,512.3292,"B101","C",51,"","unknown",51,"","medium",58,"B","medium",54,"","medium",306,"X","high",47
739,7.8958,"","S",51,"","high",89,"","",56,"C","medium",37,"Y","high",27,"X","low",274
740,7.8958,"","S",89,"A","unknown",22,"A","",NA,"D","",89,"Z","high",81,"Y","high",340
741,30,"D45","S",81,"A","",2,"C","medium",58,"D","",9,"X","low",374,"Y","low",440
742,78.85,"C46","S",76,"C","medium",95,"","unknown",56,"","low",NA,"Z","high",370,"Z","",279
743,262.375,"B57 B59 B63 B66","C",51,"B","",52,"A","",8,"A","high",59,"Z","low",448,"Y","low",434
744,16.1,"","S",27,"","high",77,"","",NA,"","medium",64,"Y","high",266,"X","medium",NA
745,7.925,"","S",79,"D","low",32,"","",11,"B","medium",67,"Y","high",213,"Z","low",7
746,71,"B22","S",36,"A","unknown",51,"A","",43,"B","low",5,"Y","low",56,"Y","low",232
747,20.25,"","S",53,"B","low",51,"D","medium",36,"C","low",79,"Y","medium",390,"","medium",132
748,13,"","S",31,"C","medium",51,"A","",NA,"C","medium",33,"Z","high",474,"","high",377
749,53.1,"D30","S",31,"D","",47,"C","unknown",NA,"D","medium",65,"","high",22,"Y","high",168
750,7.75,"","Q",51,"C","high",51,"","unknown",NA,"C","",NA,"Y","medium",245,"Y","high",203
751,23,"","S",51,"B","high",51,"B","low",41,"","unknown",39,"","low",177,"X","high",267
752,12.475,"E121","S",14,"","unknown",51,"A","unknown",6,"A","",70,"Y","medium",372,"Y","high",480
753,9.5,"","S",51,"D","",91,"","",0,"","medium",93,"Y","high",381,"Y","high",35
754,7.8958,"","S",93,"B","",51,"A","",54,"D","",87,"Y","medium",108,"Z","medium",276
755,65,"","S",55,"D","",51,"","medium",NA,"D","high",NA,"Y","low",476,"Z","high",194
756,14.5,"","S",43,"D","unknown",51,"D","medium",54,"B","medium",53,"Y","low",68,"Z","high",18
757,7.7958,"","S",73,"","medium",51,"D","",72,"","",52,"Z","low",390,"Y","medium",407
758,11.5,"","S",38,"A","",82,"","unknown",75,"A","",96,"Z","medium",NA,"Y","low",456
759,8.05,"","S",51,"D","unknown",72,"D","",87,"A","medium",20,"Z","",81,"Y","low",86
760,86.5,"B77","S",51,"A","",14,"","",NA,"C","",95,"Y","medium",336,"X","medium",379
761,14.5,"","S",17,"B","low",58,"D","medium",88,"C","low",64,"Z","high",135,"X","medium",350
762,7.125,"","S",55,"","unknown",53,"","low",79,"C","unknown",NA,"Z","medium",137,"Z","medium",352
763,7.2292,"","C",51,"C","high",51,"","low",43,"","",NA,"X","medium",43,"X","high",230
764,120,"B96 B98","S",93,"B","high",51,"B","medium",50,"B","medium",81,"Z","medium",373,"Z","",160
765,7.775,"","S",36,"C","unknown",51,"B","",61,"A","high",NA,"Z","medium",403,"Z","medium",35
766,77.9583,"D11","S",78,"","medium",51,"","",NA,"","",NA,"Y","high",252,"Z","high",17
767,39.6,"","C",61,"D","",51,"B","unknown",67,"C","",NA,"Z","low",387,"X","high",88
768,7.75,"","Q",47,"","high",51,"","unknown",58,"B","medium",72,"X","medium",174,"Y","medium",263
769,24.15,"","Q",51,"A","low",51,"A","high",52,"C","unknown",91,"Z","low",282,"Z","medium",70
770,8.3625,"","S",37,"B","low",4,"B","",NA,"B","low",NA,"Y","low",393,"Y","low",343
771,9.5,"","S",65,"A","",35,"","unknown",68,"C","unknown",NA,"Z","low",215,"Y","medium",309
772,7.8542,"","S",98,"D","",51,"D","medium",93,"B","high",4,"Y","medium",308,"Z","low",172
773,10.5,"E77","S",0,"","high",51,"A","medium",97,"B","low",63,"Y","high",72,"Z","medium",43
774,7.225,"","C",51,"B","medium",51,"C","low",82,"A","low",NA,"Y","high",253,"X","medium",258
775,23,"","S",51,"","low",51,"D","high",29,"C","high",96,"Y","low",425,"","low",411
776,7.75,"","S",51,"","high",44,"D","low",NA,"D","",NA,"Z","high",386,"Y","high",196
777,7.75,"F38","Q",42,"B","unknown",75,"D","high",29,"C","low",91,"Z","low",150,"Y","low",NA
778,12.475,"","S",11,"","medium",33,"A","",NA,"","high",NA,"X","low",272,"Z","medium",143
779,7.7375,"","Q",51,"A","low",15,"B","low",NA,"","unknown",0,"Y","medium",309,"X","medium",40
780,211.3375,"B3","S",85,"B","",84,"D","high",88,"A","high",NA,"X","high",469,"X","",324
781,7.2292,"","C",87,"B","",77,"D","medium",68,"D","high",63,"X","medium",414,"Z","medium",444
782,57,"B20","S",63,"D","",51,"C","medium",68,"A","low",NA,"Z","low",409,"Y","low",441
783,30,"D6","S",12,"D","medium",51,"D","high",95,"C","high",17,"Z","medium",376,"Z","low",479
784,23.45,"","S",51,"D","medium",77,"C","",68,"D","high",91,"Z","low",179,"X","high",53
785,7.05,"","S",51,"","low",74,"A","unknown",14,"D","low",NA,"Y","",188,"Y","low",21
786,7.25,"","S",58,"","medium",51,"D","medium",NA,"B","medium",41,"Y","low",232,"Y","medium",284
787,7.4958,"","S",51,"B","unknown",51,"A","medium",35,"D","",29,"Z","medium",213,"Z","low",475
788,29.125,"","Q",68,"B","medium",59,"B","unknown",63,"","unknown",NA,"X","low",478,"X","medium",498
789,20.575,"","S",51,"","high",51,"A","low",63,"A","low",NA,"","high",437,"X","medium",139
790,79.2,"B82 B84","C",51,"D","low",77,"C","",29,"","high",11,"","low",447,"Y","medium",187
791,7.75,"","Q",51,"A","low",46,"A","unknown",NA,"D","high",NA,"Y","low",303,"Y","high",332
792,26,"","S",45,"B","high",90,"","medium",8,"D","high",98,"Y","high",95,"Z","low",456
793,69.55,"","S",51,"C","low",51,"D","low",29,"D","high",23,"X","high",71,"Z","medium",87
794,30.6958,"","C",51,"C","medium",51,"","medium",82,"B","unknown",77,"Y","",137,"X","low",487
795,7.8958,"","S",43,"B","medium",91,"","unknown",65,"B","",2,"Z","low",325,"X","medium",408
796,13,"","S",29,"C","low",47,"D","unknown",94,"","high",89,"X","low",182,"Y","low",34
797,25.9292,"D17","S",96,"","high",51,"B","unknown",NA,"A","high",65,"Y","high",327,"Z","low",420
798,8.6833,"","S",51,"A","unknown",51,"C","",85,"","high",22,"X","high",439,"Y","high",320
799,7.2292,"","C",31,"","low",87,"","",17,"C","unknown",88,"X","high",167,"Z","",489
800,24.15,"","S",51,"C","unknown",75,"A","medium",NA,"C","low",NA,"Y","high",463,"X","low",104
801,13,"","S",1,"","high",16,"A","",5,"B","unknown",99,"Y","low",255,"Z","low",496
802,26.25,"","S",51,"","",49,"A","unknown",9,"D","high",59,"Y","high",401,"X","low",23
803,120,"B96 B98","S",51,"","low",37,"D","",23,"C","unknown",44,"X","medium",NA,"Z","low",NA
804,8.5167,"","C",91,"C","unknown",64,"D","unknown",28,"A","medium",5,"Y","high",137,"Z","high",223
805,6.975,"","S",51,"C","low",51,"","",1,"","",26,"X","medium",465,"X","medium",328
806,7.775,"","S",51,"","",71,"","",NA,"D","",5,"Y","high",443,"X","medium",83
807,0,"A36","S",51,"D","high",74,"","unknown",52,"A","",85,"Z","",285,"Y","medium",136
808,7.775,"","S",11,"D","medium",51,"D","low",65,"C","unknown",NA,"Y","high",16,"Z","medium",194
809,13,"","S",51,"A","low",15,"","",65,"A","",11,"Z","medium",29,"X","medium",NA
810,53.1,"E8","S",99,"D","",62,"","",96,"","low",NA,"Y","low",211,"X","medium",87
811,7.8875,"","S",4,"A","low",51,"","",NA,"","high",97,"Z","medium",449,"Z","high",74
812,24.15,"","S",87,"","high",94,"","low",34,"B","high",97,"Z","medium",188,"Z","low",477
813,10.5,"","S",68,"","unknown",77,"B","",NA,"","high",71,"Z","low",442,"X","medium",468
814,31.275,"","S",28,"B","medium",95,"","unknown",55,"A","low",7,"Y","high",267,"Z","low",314
815,8.05,"","S",51,"","",53,"B","medium",52,"C","",50,"X","low",67,"Z","medium",341
816,0,"B102","S",83,"B","low",93,"","medium",79,"D","medium",94,"Y","medium",280,"","high",68
817,7.925,"","S",4,"C","",1,"","medium",56,"B","high",9,"Z","",182,"X","high",25
818,37.0042,"","C",10,"A","low",28,"","",23,"D","unknown",79,"Y","high",112,"Z","medium",188
819,6.45,"","S",66,"C","low",0,"B","high",NA,"B","high",1,"Z","medium",337,"X","",492
820,27.9,"","S",99,"B","high",67,"","high",96,"A","",NA,"Z","high",102,"X","high",238
821,93.5,"B69","S",51,"C","",51,"A","",NA,"C","unknown",NA,"Z","high",452,"X","medium",403
822,8.6625,"","S",66,"D","",28,"","medium",59,"D","",NA,"","low",401,"Y","high",184
823,0,"","S",13,"","",30,"C","unknown",17,"B","unknown",41,"X","high",391,"","",154
824,12.475,"E121","S",65,"","",51,"","unknown",0,"D","",NA,"Y","medium",38,"","low",406
825,39.6875,"","S",62,"B","high",18,"B","high",NA,"C","unknown",84,"Y","",480,"X","high",235
826,6.95,"","Q",9,"","",51,"A","",2,"","",32,"Z","low",246,"X","",365
827,56.4958,"","S",68,"B","unknown",61,"","medium",45,"","",64,"","medium",366,"X","high",363
828,37.0042,"","C",89,"A","",23,"","high",88,"B","",46,"X","high",95,"Z","low",363
829,7.75,"","Q",51,"C","",22,"C","medium",NA,"A","low",43,"X","high",384,"X","medium",NA
830,80,"B28","",2,"B","medium",51,"","",NA,"","",79,"Y","high",NA,"X","",404
831,14.4542,"","C",51,"A","",51,"","",85,"","low",22,"X","high",353,"X","low",231
832,18.75,"","S",51,"A","high",25,"D","low",NA,"C","medium",NA,"Y","medium",138,"X","high",151
833,7.2292,"","C",45,"","unknown",37,"","",65,"C","unknown",48,"X","high",466,"Z","low",256
