id,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36
583,Z,low,229,Y,high,154,Z,low,489,Z,low,463,X,medium,136,X,high,75,Y,high
584,Y,medium,131,Z,high,464,Z,medium,121,Y,high,54,Z,low,267,Z,medium,480,X,high
585,X,medium,282,Z,low,449,Y,high,81,X,high,79,X,low,82,Z,medium,410,X,low
586,Z,low,122,,medium,156,X,medium,460,Y,high,,X,low,480,Y,low,332,Z,medium
587,X,medium,235,Z,low,,X,medium,,Z,low,261,Y,medium,81,Z,medium,389,X,low
588,Z,high,400,X,medium,41,X,medium,423,,high,391,Y,medium,150,Z,medium,324,Y,low
589,Z,low,367,Y,high,348,Z,low,488,Y,medium,60,Y,high,110,Z,low,455,Z,high
590,,high,139,Z,high,459,X,low,495,X,high,55,Z,low,260,X,high,,Y,high
591,X,high,,,low,72,Y,medium,,X,medium,397,Y,,336,Z,high,31,X,
592,Y,medium,2,Z,medium,408,Z,low,482,Y,medium,274,Y,,479,X,low,347,Z,medium
593,Z,low,172,Y,low,377,Z,high,,Z,medium,,Z,high,194,Y,low,482,Z,low
594,Y,low,9,,low,235,X,medium,157,Z,low,111,Y,low,100,X,medium,290,X,high
595,X,low,64,Z,high,111,Z,medium,229,X,high,347,X,,10,X,high,483,Z,medium
596,Z,medium,489,,,326,Z,medium,190,X,medium,401,Y,medium,298,Z,low,200,X,low
597,X,medium,427,Y,medium,297,Y,high,254,Y,low,15,Z,,489,Y,high,337,Z,high
598,Z,low,279,Y,high,405,X,medium,,X,,26,X,medium,31,Z,medium,254,X,low
599,Z,medium,387,X,high,282,Z,low,120,X,low,388,Z,low,498,X,medium,440,X,low
600,Y,high,244,Y,low,24,Y,medium,7,Y,high,441,Y,,131,Z,low,323,X,high
601,X,low,300,Y,low,101,Y,low,301,Z,low,114,X,high,454,Z,medium,219,Z,medium
602,Z,high,458,X,medium,190,Y,medium,,Y,,352,,low,34,,high,122,Y,high
603,Z,low,39,Y,high,245,X,medium,430,Z,medium,421,Y,low,445,,low,156,Y,low
604,Y,medium,,X,low,174,Y,medium,5,X,high,56,Z,medium,165,X,medium,37,X,
605,X,low,59,Y,medium,439,X,medium,299,Y,low,92,X,high,137,Y,low,77,X,medium
606,X,low,397,X,high,140,X,medium,265,Y,low,65,X,medium,103,Y,low,254,Z,low
607,X,high,411,Z,high,340,Y,high,212,Z,low,395,X,low,66,Y,low,15,Z,low
608,Y,medium,360,Z,medium,180,X,high,334,,low,385,Y,low,399,X,high,235,Z,low
609,Y,medium,304,Z,high,496,Z,high,213,Z,medium,67,Z,low,34,Y,high,20,,
610,Y,medium,238,Z,high,458,Z,low,457,Z,,87,Z,high,231,Y,low,80,Z,medium
611,Y,low,11,X,high,392,Y,medium,453,Z,high,331,Y,low,474,Y,high,345,Y,
612,Y,high,387,Y,high,382,Y,low,,Y,medium,448,,high,202,X,medium,14,X,
613,X,medium,446,X,high,321,X,medium,229,,,389,Y,low,413,Y,high,168,X,high
614,Y,low,482,X,low,293,X,high,298,Y,low,83,X,,346,Z,medium,95,Y,high
615,Z,high,170,Y,low,281,Z,medium,450,Y,low,193,Y,high,397,Y,high,27,Y,
616,Z,low,100,Y,medium,13,Y,high,150,X,high,33,Z,high,473,X,low,104,X,low
617,Z,high,326,X,high,,Z,high,,X,medium,122,Y,low,48,Z,low,56,Y,high
618,Z,low,8,X,high,,X,high,295,Z,medium,,X,low,,X,,40,X,low
619,X,low,30,Y,high,263,X,high,31,Y,medium,172,X,low,160,Z,high,332,Z,medium
620,X,low,410,X,low,435,Y,high,374,Z,medium,303,Z,medium,33,X,low,62,Y,low
621,Y,medium,478,X,high,201,Z,high,101,X,high,148,,high,53,X,low,469,Y,low
622,Y,medium,201,Y,,56,Y,low,257,Z,low,281,X,high,54,Y,high,243,Y,medium
623,Z,low,253,X,low,417,Z,low,475,Z,medium,316,Y,high,474,Z,medium,203,,low
624,Z,low,,Z,high,254,X,medium,389,Y,low,97,Z,low,428,Y,high,437,,high
625,Z,low,69,Z,high,470,Z,high,349,Y,low,22,X,medium,294,X,medium,388,Y,medium
626,X,medium,111,Z,medium,106,Y,medium,34,Z,high,169,X,high,422,Z,low,,Z,high
627,Z,high,149,X,low,239,X,low,429,Y,high,20,Y,high,171,X,medium,486,Y,low
628,Z,low,,Y,low,333,Y,high,167,Z,,79,Y,low,237,,low,265,X,high
629,Z,high,,Z,high,68,Z,high,25,X,low,143,Y,low,,X,medium,354,Y,low
630,Y,medium,360,Y,low,498,Z,medium,479,X,low,169,Z,low,73,Z,high,484,Z,medium
631,X,low,97,X,medium,304,X,high,95,X,medium,138,Z,high,73,Y,low,361,Z,medium
632,X,low,476,Z,low,85,Z,high,161,,,26,Y,medium,263,,low,295,X,high
633,Z,high,441,X,low,370,X,high,71,Z,high,88,,high,126,Y,high,307,Z,
634,Z,high,237,Z,high,439,Y,low,310,Z,high,441,X,high,334,X,low,327,Z,low
635,,high,112,X,high,186,,low,433,Y,high,358,,high,317,Y,medium,488,X,low
636,Y,medium,488,Z,medium,,Z,medium,259,Y,high,,X,medium,166,Y,,350,Y,high
637,Y,high,404,X,medium,373,Y,high,434,Z,low,11,Y,medium,57,Z,low,149,Z,medium
638,X,high,,Z,medium,72,,high,468,Y,medium,179,X,low,41,Z,low,10,X,low
639,Y,high,133,Y,medium,265,Y,low,436,Y,medium,462,Y,high,221,Y,high,391,Z,
640,X,medium,,,high,,Z,high,81,X,medium,404,X,high,160,X,high,244,Y,low
641,Z,medium,185,Z,high,150,Z,medium,103,X,high,378,Z,medium,16,X,high,207,X,low
642,Z,high,337,Z,low,149,X,high,149,Z,high,124,Y,medium,345,Y,low,467,X,medium
643,X,high,416,Z,low,314,Y,high,319,Z,medium,201,Z,high,478,Y,,,,high
644,Z,medium,244,Y,high,375,X,low,431,,medium,14,Y,medium,489,Y,high,18,Z,high
645,Z,low,24,,medium,194,Y,medium,156,Z,high,429,X,high,58,,high,369,Z,low
646,Y,medium,281,,medium,73,Y,low,333,Z,low,56,Z,low,95,Z,medium,462,X,high
647,Y,medium,429,X,high,393,Z,medium,93,X,low,309,,low,215,Y,medium,414,Z,high
648,X,high,111,X,medium,86,X,high,271,Z,medium,141,Z,high,457,X,low,435,Z,low
649,Z,low,479,X,medium,,Z,high,389,Z,,285,Z,high,287,Y,low,431,X,medium
650,X,low,181,Y,medium,161,Z,high,197,X,medium,413,Z,low,228,X,medium,342,X,medium
651,Z,high,342,Z,low,409,Y,medium,81,X,medium,156,Y,high,462,Y,low,460,X,medium
652,Y,high,350,Y,high,378,Y,low,205,Z,medium,8,Y,low,331,Y,high,170,Z,medium
653,Z,low,91,X,high,153,,medium,381,X,medium,331,Y,high,492,Y,low,372,Y,medium
654,Y,low,,Y,high,259,X,medium,467,X,high,266,Y,low,431,,medium,46,X,medium
655,Z,medium,474,X,medium,479,Z,medium,308,X,low,69,Z,medium,499,X,medium,263,Z,medium
656,Y,high,350,Y,low,359,Y,low,335,X,medium,24,Y,high,278,X,,145,Z,medium
657,Y,high,315,Z,medium,379,X,high,209,Y,high,262,X,high,187,Z,medium,469,Z,medium
658,Y,medium,151,X,low,43,Y,,464,Y,low,306,Y,,30,Y,high,218,Z,
659,,low,54,Z,high,120,Z,medium,,Z,medium,58,Z,low,364,X,low,,Z,medium
660,Y,medium,135,X,medium,52,Z,low,486,X,high,299,X,high,132,Z,low,284,X,high
661,,low,273,Z,low,489,X,,,X,medium,222,Y,high,5,X,low,38,X,
662,Y,medium,346,X,medium,171,Z,medium,273,Y,,68,Z,,401,Y,low,63,X,high
663,Y,low,159,X,high,249,,medium,480,Z,low,308,X,low,212,Z,high,215,Y,high
664,Y,low,107,Y,low,275,X,,,Y,low,322,Z,,276,Y,low,315,Y,high
665,Y,high,124,Y,medium,261,Y,high,300,Z,low,77,Z,medium,391,Z,low,291,Y,medium
666,X,high,480,Y,high,26,Z,medium,328,X,high,336,X,medium,164,Y,high,27,Z,high
667,Z,,,X,high,454,X,low,92,Y,low,111,Z,low,408,Y,high,339,Z,high
668,Y,medium,495,Z,high,190,Y,low,419,Y,high,298,Y,high,291,Y,low,,Z,low
669,Z,medium,3,Z,medium,459,Y,low,181,X,high,406,X,high,283,Y,medium,407,Y,low
670,Y,low,229,Z,medium,382,X,low,329,X,high,468,X,low,134,Y,low,19,X,
671,Y,medium,228,Z,medium,,X,high,422,X,high,127,X,medium,394,Z,low,13,Y,medium
672,Y,medium,200,Z,medium,351,Y,low,57,Y,medium,,Y,medium,120,Z,high,258,,high
673,Z,high,195,X,,489,X,high,150,X,,47,X,high,309,Y,medium,401,Z,medium
674,X,medium,39,Y,low,151,X,medium,471,X,medium,484,Y,medium,414,Y,,382,Z,high
675,,high,16,Z,high,164,X,medium,180,Z,low,165,Z,high,58,Y,low,300,Y,low
676,X,medium,389,X,medium,335,X,high,330,X,high,401,Z,high,200,Z,low,89,Z,medium
677,Z,low,220,Y,medium,116,,high,280,Z,high,467,Z,medium,338,Y,medium,476,Y,high
678,Y,medium,81,X,medium,401,X,low,434,Y,high,237,Y,medium,136,Y,medium,10,X,low
679,Z,high,,Z,medium,14,,high,255,X,,346,Z,high,13,Y,high,173,Z,high
680,,low,466,Z,high,448,Z,low,212,Y,low,236,Y,medium,204,Y,low,377,X,low
681,X,high,233,X,medium,173,Y,medium,8,Y,medium,287,X,high,248,Y,medium,308,Y,high
682,Y,medium,495,Z,medium,,Z,medium,237,X,high,124,Z,low,460,Z,medium,395,Z,
683,X,high,80,Y,medium,301,X,low,292,X,high,420,X,medium,403,Z,high,383,X,medium
684,Y,high,61,Z,low,137,Z,medium,,Z,medium,61,Z,,90,X,medium,469,,high
685,X,medium,281,X,low,152,X,medium,390,X,high,,,medium,138,X,medium,258,Z,medium
686,X,,341,X,,240,X,high,388,Z,low,459,Z,high,92,Z,medium,410,Y,
687,X,low,490,Z,,289,Z,high,229,X,medium,405,X,low,455,X,medium,77,,high
688,Y,high,232,,,68,Y,medium,39,Y,low,379,Y,high,176,Y,high,87,Z,high
689,Z,high,100,X,low,24,Z,high,127,X,high,328,Y,low,,Y,low,24,Z,low
690,Y,low,270,X,high,,Z,,203,Z,,472,Y,medium,,X,medium,102,X,medium
691,X,,153,Y,medium,177,Y,,,,medium,432,Y,medium,279,Y,low,55,Z,high
692,X,medium,89,X,high,291,X,high,384,Z,high,,Y,low,37,Y,low,412,Z,medium
693,Z,low,44,Z,medium,374,Y,high,447,X,low,312,Z,medium,277,Z,,247,X,low
694,,low,361,Z,high,307,Y,low,496,X,medium,214,,high,5,Z,medium,222,Y,
695,Y,low,321,Z,,52,Y,high,,Y,low,132,X,medium,78,Z,low,319,,high
696,Y,low,83,,high,498,X,low,5,Y,high,409,,medium,73,Y,high,179,Z,medium
697,Y,low,279,Y,low,357,Z,medium,286,Y,high,20,Y,high,354,Z,medium,,Z,high
698,Z,low,442,Y,low,24,Y,high,132,Z,low,64,Y,high,320,Z,high,1,Z,high
699,Z,medium,409,,low,381,Z,high,434,Y,medium,52,X,low,279,Z,,356,X,low
700,,medium,226,Y,,440,Y,,232,Z,high,101,Z,high,98,Y,high,435,Y,medium
701,Y,low,28,Y,medium,284,,high,4,Y,low,256,Z,high,132,X,medium,19,X,low
702,Z,low,317,Y,high,416,X,low,111,X,,471,X,high,188,Y,high,40,X,high
703,Y,medium,258,Y,high,443,,,170,Y,low,485,Z,high,489,X,medium,68,X,medium
704,,high,460,Z,low,482,X,medium,13,Y,high,450,X,low,352,X,high,304,Z,high
705,Z,high,276,Y,medium,477,X,,158,Y,,379,Z,high,,X,low,380,Y,low
706,X,high,368,Z,medium,96,Z,medium,269,Z,medium,229,X,high,15,Y,high,411,Z,low
707,Y,low,264,X,low,17,Y,low,446,Z,high,387,Y,medium,173,,low,390,,high
708,Y,high,270,Y,medium,325,Y,medium,324,X,,134,X,low,104,X,medium,288,Y,medium
709,,low,158,Y,low,339,X,high,,X,low,331,Z,low,203,X,medium,351,Y,low
710,Y,low,201,Z,high,,X,high,208,X,medium,4,Y,low,497,X,,139,Z,high
711,X,low,147,X,low,118,Y,medium,384,Y,low,451,Z,high,97,X,low,372,X,medium
712,Y,low,231,X,low,474,X,low,184,X,medium,485,Y,low,298,Y,medium,91,X,low
713,Y,medium,475,Y,low,204,Y,high,281,X,high,367,X,,241,Y,low,481,Z,low
714,Y,low,170,Z,,370,Z,high,492,Y,high,87,Z,low,329,Y,low,20,Y,high
715,Y,high,231,Y,high,311,Y,high,68,Y,high,129,X,high,,X,high,472,Z,low
716,Z,high,473,Y,high,447,Y,high,238,Z,medium,369,Y,low,258,Y,low,230,Z,
717,Z,medium,75,X,high,356,X,high,304,,high,249,,low,138,Y,high,,X,low
718,Z,low,126,Z,high,,Y,medium,399,Z,high,273,X,low,482,X,low,79,Z,high
719,X,high,246,Z,medium,420,Z,high,418,Z,medium,202,Y,medium,133,Z,low,159,X,high
720,Z,low,204,X,low,27,Y,medium,143,,low,417,Z,high,72,X,medium,431,Z,
721,Z,high,170,Z,medium,352,Z,high,233,,low,82,X,medium,47,X,medium,7,X,high
722,Z,high,389,X,low,293,Z,low,415,Z,medium,220,X,medium,33,X,high,95,Z,low
723,Z,low,249,Y,low,388,Z,low,419,Y,high,111,Z,medium,176,Y,high,315,Z,high
724,Z,low,182,Z,high,112,Y,low,411,Z,high,345,X,medium,408,Y,medium,402,Y,low
725,Z,high,,Z,low,299,X,medium,,X,low,,X,high,77,X,low,215,X,medium
726,Z,high,443,X,low,142,X,high,133,X,,149,Z,low,2,Y,low,43,X,high
727,Y,medium,491,X,medium,58,Z,,184,Z,high,,Y,low,,X,high,73,Y,
728,Y,low,121,Z,low,287,Y,high,327,Z,medium,431,X,low,280,,high,445,Z,low
729,Y,medium,20,X,high,10,Z,high,127,X,medium,108,Z,low,281,X,low,107,Z,low
730,Z,medium,15,Z,high,46,Z,high,341,Z,medium,434,Y,low,0,Z,medium,289,Y,medium
731,Y,low,222,X,medium,264,Y,medium,257,Y,high,,Z,low,101,Y,low,468,X,medium
732,,high,314,X,low,449,X,low,221,Y,high,482,Y,low,,Z,low,187,Y,medium
733,Z,medium,25,Y,high,357,Z,medium,177,Z,low,171,Y,,369,Y,high,33,Z,low
734,X,low,254,Z,medium,7,X,low,,X,medium,327,Y,medium,325,X,low,,Y,low
735,Z,,199,X,low,54,Y,low,232,,,,Y,low,407,Y,low,,Z,low
736,Y,medium,466,Z,high,215,X,high,153,X,high,39,Y,medium,273,Y,low,325,X,low
737,Z,medium,301,Z,high,214,X,,191,Y,medium,,X,low,201,Z,high,451,Y,medium
738,X,,211,X,medium,19,Y,high,242,X,low,103,Z,high,279,Y,high,387,X,low
739,X,low,293,X,medium,128,Y,medium,308,X,low,490,Z,,192,X,high,344,Y,
740,Z,low,67,Y,high,63,Y,medium,495,,low,44,Y,medium,78,X,low,166,Y,medium
741,Z,low,237,Y,low,,Y,high,170,X,medium,382,Z,high,287,Z,low,,X,medium
742,Y,low,164,X,medium,329,Y,medium,89,Y,high,419,Y,high,147,X,high,362,Z,high
743,Y,medium,90,Y,medium,195,X,high,488,Z,low,453,Z,high,132,Z,medium,422,Z,medium
744,Y,medium,196,Z,medium,285,X,low,73,Z,medium,264,Z,medium,355,X,low,347,Y,high
745,Y,high,319,X,,100,Z,medium,451,X,medium,262,Z,medium,33,X,low,326,Y,high
746,,,291,X,low,425,Z,,71,Z,medium,371,X,medium,11,Z,high,359,X,medium
747,Y,medium,481,Z,low,2,,high,181,Y,high,317,X,low,178,,,138,X,medium
748,Y,low,137,Y,medium,252,X,high,499,,low,393,Y,medium,297,Y,low,58,Y,low
749,X,low,349,Z,high,160,Z,low,82,Y,medium,180,Z,high,419,X,medium,314,Y,high
750,Y,low,275,Y,medium,225,Z,medium,79,Y,high,466,X,low,258,X,medium,471,Z,high
751,Z,low,436,Z,low,258,,low,304,Y,,216,X,medium,129,X,medium,68,Z,
752,Z,low,454,Z,high,323,X,high,95,Y,medium,124,X,low,171,X,medium,35,X,medium
753,Y,high,353,Y,medium,464,X,medium,12,X,medium,375,Y,low,189,X,low,353,X,low
754,Y,medium,211,Y,high,280,Z,low,347,X,high,310,Z,low,167,Y,medium,211,Y,
755,X,high,266,Y,low,113,Z,high,479,X,medium,24,Y,,334,X,high,451,Y,low
756,Y,low,325,X,low,,Y,high,379,Z,medium,83,Z,low,399,Y,high,235,Z,low
757,Y,low,402,Y,high,256,X,low,482,Y,medium,18,X,high,354,Z,low,260,X,low
758,X,low,114,Y,low,432,Y,low,263,Y,medium,287,X,medium,,X,high,30,Y,medium
759,X,medium,436,Z,low,283,X,low,307,Y,high,,Z,medium,143,,medium,476,Y,medium
760,Y,medium,400,Z,,434,X,low,491,Z,low,161,Y,medium,39,Y,,165,Y,
761,Z,medium,44,Y,low,324,X,medium,251,Z,low,55,X,high,398,Y,low,219,X,high
762,Y,high,134,Z,medium,285,X,high,19,Z,medium,425,X,low,481,Z,high,314,Z,medium
763,Z,medium,117,Y,medium,164,X,low,119,X,,360,Z,low,27,Z,medium,428,Y,high
764,,high,289,Y,low,128,Z,medium,310,X,low,272,Z,medium,65,Z,low,397,X,low
765,Z,low,104,X,medium,49,Y,medium,428,Z,high,99,Z,low,107,Z,high,386,Y,low
766,Z,medium,150,X,low,274,Y,high,303,Z,low,336,Y,medium,398,X,high,,X,
767,Y,medium,94,Z,low,460,Y,medium,202,X,medium,183,Z,low,108,Y,,44,Y,low
768,Z,medium,33,X,low,6,Z,high,160,Y,medium,122,,high,6,Y,medium,415,X,high
769,X,high,229,X,low,476,Z,high,341,X,low,146,Y,high,167,Y,medium,,X,low
770,X,medium,159,X,medium,429,Y,,449,Z,high,30,X,low,182,Z,low,311,,high
771,Y,medium,252,Z,medium,219,Z,low,139,Z,low,245,Z,medium,197,Y,low,455,Y,
772,X,,106,X,low,156,Y,low,,Z,medium,376,Y,low,257,Y,low,158,Z,medium
773,Z,medium,143,X,medium,290,X,low,213,Z,medium,413,Y,medium,120,Z,medium,175,Y,
774,Z,medium,446,Y,high,427,Z,medium,123,Y,medium,362,Z,medium,14,Z,low,85,Z,medium
775,X,low,402,Y,low,14,Z,low,202,X,low,437,X,high,53,Z,low,396,X,medium
776,Z,low,133,Z,low,224,Y,medium,44,Z,medium,481,Z,low,367,Y,high,334,Z,medium
777,X,low,80,X,high,23,Y,low,265,Y,medium,111,X,medium,329,X,high,,Y,low
778,X,medium,487,Y,medium,322,Z,,53,X,medium,216,X,high,130,Z,low,499,Z,low
779,Z,high,,X,,38,Y,high,237,Z,high,168,Y,low,470,Z,medium,15,X,high
780,Z,low,246,X,medium,158,Y,medium,448,Y,high,342,Y,low,270,X,low,385,X,low
781,Z,high,349,X,medium,369,Z,medium,72,X,low,418,X,high,398,X,high,103,,medium
782,Y,high,110,X,low,375,X,,125,Z,,444,Z,low,396,Y,high,391,,high
783,Y,low,214,Z,low,113,Y,low,360,X,high,,Y,low,150,X,low,241,X,low
784,X,,195,Z,high,256,Z,medium,453,,,257,Z,high,295,Y,low,117,Z,high
785,Z,high,360,X,high,92,X,high,,Y,high,58,Z,medium,296,Y,low,28,Z,medium
786,Z,medium,91,Y,high,295,X,low,60,X,low,164,Y,low,227,X,low,310,Z,medium
787,Y,,244,X,low,4,Y,high,119,,medium,239,Y,high,317,Z,medium,80,Y,high
788,Z,high,416,Z,high,406,X,,491,Z,medium,309,Y,medium,168,X,high,224,,high
789,Y,medium,,,medium,11,Y,,252,Y,high,395,Z,medium,49,,high,475,Z,medium
790,Z,medium,59,Y,medium,304,X,low,416,,high,497,Z,high,22,Z,low,443,,low
791,Y,high,410,X,high,202,Y,low,7,Y,,167,X,low,223,X,,246,Z,high
792,X,low,436,Y,medium,111,Y,low,58,X,high,279,Y,medium,456,X,high,365,Y,low
793,Y,medium,215,Z,,270,X,high,102,Z,,34,X,medium,107,Z,high,411,X,high
794,Y,low,22,Y,low,70,Y,,43,Z,medium,55,X,low,295,Z,medium,303,Y,medium
795,X,medium,270,Y,high,289,X,high,,X,medium,483,Z,low,,X,high,103,Z,medium
796,Z,high,149,Z,medium,322,X,low,401,Y,medium,469,Y,,315,X,low,405,Y,high
797,X,medium,293,Z,medium,,Y,high,195,Z,high,469,Z,low,92,Z,,,Z,high
798,Z,high,69,X,medium,180,X,,39,,high,130,Z,low,220,Y,medium,261,Z,low
799,Z,low,402,Y,low,229,Z,low,53,X,medium,325,X,medium,404,Y,high,390,X,high
800,Y,,342,Y,medium,478,X,medium,131,X,high,114,Y,high,186,Y,low,285,Z,medium
801,,high,322,Y,high,376,Y,high,363,Z,low,340,X,low,467,Y,low,174,Z,medium
802,Y,low,256,Y,low,2,X,low,400,Y,medium,242,,low,23,Z,medium,,X,medium
803,Z,low,110,Z,high,144,Y,low,269,Y,medium,466,X,low,41,X,medium,,Y,
804,X,high,469,Z,low,12,X,medium,453,X,low,186,Y,low,84,X,medium,372,Z,low
805,,,132,X,low,118,Z,medium,464,X,medium,321,X,medium,121,Z,high,496,X,medium
806,Y,low,183,Z,low,389,X,medium,383,Y,high,329,Y,medium,212,X,high,389,X,high
807,X,high,463,Z,medium,,Y,high,39,Y,high,394,X,medium,456,Z,low,158,X,
808,Z,low,20,Y,low,228,Z,medium,444,Y,high,26,Z,high,120,Y,medium,55,X,medium
809,Y,medium,62,,medium,,Y,high,454,Z,low,231,Z,medium,178,X,low,236,X,medium
810,X,low,380,X,medium,185,Z,low,279,X,low,226,Y,,22,Y,high,428,Z,medium
811,X,medium,183,Y,medium,238,,low,299,,medium,114,X,high,357,Y,low,317,Z,high
812,X,low,289,X,high,414,X,low,389,,low,402,Z,low,273,Y,low,160,Z,high
813,Y,low,290,Z,medium,137,Z,low,296,,low,416,Y,low,22,Z,medium,44,Y,high
814,Y,high,413,X,low,159,X,low,172,Y,medium,40,Y,low,232,X,high,126,Z,low
815,Y,low,310,Y,high,68,Y,high,348,X,,342,X,low,109,X,medium,358,X,low
816,Y,low,213,Y,low,109,,low,392,,high,430,X,,,Y,low,334,X,
817,Y,low,274,Z,high,18,Y,,70,Y,low,144,Y,high,142,Y,low,225,X,medium
818,Y,high,369,Z,,407,Y,low,339,Y,high,316,Y,medium,392,Z,high,166,X,medium
819,X,medium,189,Z,high,426,Z,low,86,,medium,311,Z,low,28,,medium,87,Z,medium
820,X,low,85,X,low,210,Y,low,287,X,,9,X,high,299,Z,,486,Z,medium
821,Z,medium,243,X,medium,296,Z,low,53,Y,medium,408,X,high,396,Y,high,215,Z,high
822,Z,medium,499,Y,high,124,Z,medium,496,Z,low,375,Z,medium,0,Y,low,383,Z,medium
823,X,medium,56,Y,medium,22,Z,low,333,X,high,135,Z,high,452,Z,medium,230,Z,medium
824,X,low,86,X,low,257,Z,low,234,Y,high,157,Z,medium,,Z,medium,,Y,medium
825,Y,high,497,Z,low,79,,high,251,Z,high,384,,medium,139,X,low,320,X,low
826,Y,high,414,X,high,424,Y,low,309,Y,low,400,X,medium,241,Y,high,177,X,
827,Y,high,58,X,medium,139,X,low,,X,,36,Z,low,340,Z,,468,Z,low
828,Y,high,106,Z,,368,X,,254,Z,medium,179,Y,low,258,X,high,228,Y,low
829,X,low,345,,low,131,Y,medium,357,X,high,312,Y,,378,Z,low,382,Z,low
830,Y,medium,391,Y,medium,63,Y,high,130,,medium,63,,high,444,Z,high,458,X,low
831,Z,high,366,X,medium,274,X,high,239,Y,medium,499,X,high,179,X,medium,191,Y,low
832,Y,,430,X,high,91,Z,high,165,X,medium,104,X,low,54,Y,medium,117,,low
833,Z,high,,X,high,199,Z,low,80,Y,low,433,Z,low,215,Y,low,484,Y,low
834,Z,medium,438,,medium,146,X,medium,489,Y,high,,Z,medium,299,Y,medium,392,Y,high
835,Z,high,298,Y,low,441,X,medium,,Z,high,437,Y,high,387,Y,high,395,Y,low
836,Y,low,237,Y,high,251,,high,196,Y,low,20,X,medium,141,Z,low,473,X,high
837,Y,high,318,Z,low,359,X,medium,169,Y,medium,,,high,464,Z,medium,13,Z,high
838,,high,214,Z,,294,X,high,339,Z,high,180,X,high,18,Y,medium,472,Z,high
839,X,low,303,Z,high,455,X,high,54,X,low,230,Y,high,290,X,medium,58,Y,medium
840,Y,high,416,X,high,219,Z,high,283,Y,medium,54,Y,medium,218,Z,low,72,Y,low
841,X,low,479,Y,high,431,X,high,115,Z,medium,338,Y,,,Y,low,109,X,medium
842,Y,high,289,X,low,,X,high,444,X,medium,311,X,low,141,Z,high,56,Y,medium
843,X,high,2,X,,460,Y,,392,X,medium,,Z,high,465,Z,medium,41,Y,high
844,Y,low,310,Z,medium,347,Y,medium,378,X,high,236,Z,low,0,X,high,62,,low
845,Z,medium,125,Y,low,490,Z,medium,72,Z,low,276,X,high,407,Y,medium,242,Y,low
846,Y,medium,,Z,high,372,X,medium,40,Y,low,343,Z,,246,X,medium,186,Z,medium
847,Z,,440,X,high,155,X,high,229,X,medium,269,Y,low,257,Y,low,170,X,high
848,Y,low,223,Z,medium,78,Y,low,177,Z,high,29,Z,high,155,Z,medium,85,Y,low
849,Z,high,395,X,low,104,Y,medium,362,Z,medium,271,X,high,195,Y,high,486,Z,high
850,X,low,184,X,low,286,Y,medium,355,X,low,174,Z,medium,217,X,low,166,Z,high
851,Z,low,303,X,medium,82,,medium,198,Z,low,205,Z,low,155,,low,236,Z,medium
852,Z,high,332,X,low,118,Y,medium,80,Z,high,185,Z,medium,5,X,low,71,Y,medium
853,Z,medium,446,Y,low,314,Z,low,,Z,low,176,Z,high,200,X,medium,106,Y,medium
854,X,high,98,X,low,166,Z,high,,X,low,118,Z,low,200,Y,low,117,Y,high
855,Z,,280,X,high,340,Z,low,126,X,medium,165,,low,,Z,high,485,Z,low
856,Z,high,202,Z,medium,498,X,low,158,Y,medium,356,Z,high,235,Z,low,88,Z,low
857,X,,231,X,medium,43,Z,low,,Z,low,112,Y,low,274,Y,medium,256,X,medium
858,Y,low,424,Y,medium,320,Z,medium,32,Y,low,379,Z,low,233,Z,low,272,X,low
859,Y,high,67,Z,low,410,Y,,300,Z,low,219,Z,high,,Z,medium,36,X,
860,,high,273,Y,medium,70,X,high,498,X,medium,305,Y,medium,358,Y,high,175,X,high
861,Y,high,193,X,high,391,Y,,475,Y,high,58,Y,low,337,X,high,40,X,medium
862,Y,high,448,X,high,253,Z,medium,464,Z,low,103,Y,low,495,Z,,87,Z,high
863,X,low,108,Z,low,314,Y,high,329,Y,medium,450,Y,low,248,Y,medium,337,X,medium
864,Y,high,116,Z,low,25,X,low,373,Z,low,415,Y,low,13,X,medium,284,Y,low
865,Y,low,45,Y,high,217,,low,32,Y,high,34,X,low,292,Z,low,247,Y,medium
866,Z,high,219,Z,high,183,,,100,X,low,451,Y,medium,198,Y,high,106,X,medium
867,X,medium,5,X,high,76,Z,high,353,Z,,418,Z,,47,Z,high,312,X,low
868,Z,low,250,X,medium,381,Y,medium,494,Z,low,68,X,medium,428,X,high,452,Z,medium
869,,,111,Z,medium,252,Z,high,454,Z,medium,120,Z,low,316,X,high,424,Y,low
870,Z,high,200,Z,high,439,Z,medium,315,Y,high,88,Y,high,312,,low,86,X,high
871,X,medium,302,Y,high,79,Z,medium,54,Y,low,,X,medium,318,Y,low,340,Y,medium
872,Y,high,342,Y,high,365,Y,high,483,X,medium,426,Y,high,491,Z,medium,121,Y,low
873,Y,low,30,Z,,302,Z,high,158,Y,low,360,Z,medium,344,,low,430,Y,low
874,Z,low,74,Y,high,325,X,medium,21,X,low,125,X,medium,356,Z,high,236,Z,medium
