id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22
602,,unknown,2,,,42,A,high,73,X,high,55,X,high,,Z,high,458,X,medium,190
603,,unknown,52,D,unknown,97,B,high,56,Z,high,437,Z,low,203,Z,low,39,Y,high,245
604,A,high,87,A,unknown,3,,low,65,Y,medium,496,Y,medium,129,Y,medium,,X,low,174
605,A,medium,,D,medium,2,,medium,26,Y,,499,Z,medium,34,X,low,59,Y,medium,439
606,,unknown,,,,,C,,28,Z,high,166,Y,high,106,X,low,397,X,high,140
607,C,low,,B,high,93,D,low,63,Y,high,132,X,low,457,X,high,411,Z,high,340
608,,high,78,A,low,6,C,unknown,35,Y,low,174,Y,medium,454,Y,medium,360,Z,medium,180
609,D,,,,high,77,,,,X,medium,408,Z,low,371,Y,medium,304,Z,high,496
610,D,high,28,,unknown,93,C,,15,Z,medium,125,Y,low,50,Y,medium,238,Z,high,458
611,A,low,0,,,,,low,30,Y,medium,273,X,medium,343,Y,low,11,X,high,392
612,,high,44,B,low,86,,unknown,10,Z,medium,323,X,high,63,Y,high,387,Y,high,382
613,B,high,61,,low,75,D,low,8,X,high,180,Z,low,341,X,medium,446,X,high,321
614,A,unknown,,C,high,,C,,,Z,medium,236,X,,16,Y,low,482,X,low,293
615,,low,93,A,low,85,B,low,48,Y,high,332,Z,medium,142,Z,high,170,Y,low,281
616,,,,,unknown,69,B,unknown,14,X,high,395,Z,high,61,Z,low,100,Y,medium,13
617,,unknown,78,B,low,1,,low,9,X,low,94,X,low,466,Z,high,326,X,high,
618,B,,2,,low,,,unknown,87,X,medium,256,Y,low,284,Z,low,8,X,high,
619,B,high,85,,medium,,A,high,51,X,medium,77,Y,high,461,X,low,30,Y,high,263
620,A,low,75,A,unknown,,,low,71,Y,high,7,Z,low,10,X,low,410,X,low,435
621,B,high,,C,,,,,72,Z,medium,322,Z,,369,Y,medium,478,X,high,201
622,A,,58,D,medium,,B,unknown,10,Z,medium,241,X,high,239,Y,medium,201,Y,,56
623,D,,,D,high,29,,low,,Z,high,129,X,high,234,Z,low,253,X,low,417
624,,low,90,,,19,D,unknown,,Y,low,27,Z,low,436,Z,low,,Z,high,254
625,D,high,55,A,unknown,8,D,,44,Y,medium,472,Y,high,23,Z,low,69,Z,high,470
626,,,,,low,63,,,86,X,,413,X,,472,X,medium,111,Z,medium,106
627,D,medium,61,D,unknown,95,D,medium,,X,high,,Y,low,14,Z,high,149,X,low,239
628,C,,68,C,unknown,,D,,,Y,low,56,X,medium,181,Z,low,,Y,low,333
629,B,unknown,,C,,,D,medium,10,Z,high,7,X,low,69,Z,high,,Z,high,68
630,C,high,81,B,,,,unknown,61,X,low,108,Z,low,261,Y,medium,360,Y,low,498
631,B,,20,C,medium,17,B,,88,X,low,50,X,low,297,X,low,97,X,medium,304
632,A,,89,A,unknown,21,,,57,X,high,229,Z,low,321,X,low,476,Z,low,85
633,B,low,55,,unknown,28,D,unknown,80,X,medium,322,X,medium,399,Z,high,441,X,low,370
634,,high,32,,high,68,,medium,53,X,medium,97,X,high,375,Z,high,237,Z,high,439
635,,high,,,,29,D,low,41,X,medium,198,Z,medium,474,,high,112,X,high,186
636,A,unknown,1,A,,82,,unknown,,X,high,269,X,low,224,Y,medium,488,Z,medium,
637,,unknown,74,A,high,36,C,,15,Y,low,158,Y,medium,87,Y,high,404,X,medium,373
638,C,,37,,,10,A,,,Z,low,230,Y,high,77,X,high,,Z,medium,72
639,,,84,D,unknown,9,B,,,X,medium,295,,high,137,Y,high,133,Y,medium,265
640,,medium,23,C,high,40,C,unknown,,X,high,476,Y,high,301,X,medium,,,high,
641,A,,92,,high,40,A,unknown,,Z,medium,155,,medium,27,Z,medium,185,Z,high,150
642,,high,94,B,low,,A,high,99,X,high,44,X,medium,477,Z,high,337,Z,low,149
643,D,unknown,10,C,,47,C,,23,Z,high,434,X,low,494,X,high,416,Z,low,314
644,C,,64,D,,16,A,medium,72,Y,high,288,X,medium,82,Z,medium,244,Y,high,375
645,,,93,B,,21,,high,87,Z,medium,236,Y,medium,390,Z,low,24,,medium,194
646,B,,32,C,high,56,B,unknown,83,X,medium,360,Y,low,,Y,medium,281,,medium,73
647,A,unknown,,C,medium,33,,low,,,low,490,X,low,240,Y,medium,429,X,high,393
648,A,high,,D,unknown,67,,,17,Y,low,63,X,high,367,X,high,111,X,medium,86
649,A,low,47,D,,92,,high,46,X,,430,Z,low,287,Z,low,479,X,medium,
650,D,low,2,C,low,35,C,high,77,X,high,318,X,,161,X,low,181,Y,medium,161
651,C,unknown,84,C,,55,C,unknown,61,Z,high,292,Y,medium,281,Z,high,342,Z,low,409
652,B,unknown,,D,medium,,B,,,X,medium,432,Z,low,67,Y,high,350,Y,high,378
653,D,unknown,,,low,21,,low,21,Y,medium,152,Z,high,127,Z,low,91,X,high,153
654,A,low,25,,,51,D,low,65,Z,high,393,Z,high,486,Y,low,,Y,high,259
655,A,high,1,C,high,30,D,unknown,42,X,low,285,Y,high,92,Z,medium,474,X,medium,479
656,B,unknown,,C,,62,D,,,X,low,467,Y,low,299,Y,high,350,Y,low,359
657,D,high,2,A,low,74,,high,93,Y,high,233,Z,,,Y,high,315,Z,medium,379
658,C,high,79,C,unknown,14,C,medium,0,X,medium,360,Z,low,232,Y,medium,151,X,low,43
659,D,,51,,unknown,18,A,medium,23,Z,low,248,X,low,123,,low,54,Z,high,120
660,,low,,,high,2,D,unknown,91,X,low,196,Z,,284,Y,medium,135,X,medium,52
661,,medium,81,C,low,1,A,,,X,,187,Z,high,278,,low,273,Z,low,489
662,A,,89,,,,,,30,X,low,460,Z,low,308,Y,medium,346,X,medium,171
663,A,low,12,D,high,70,D,unknown,,X,medium,418,X,high,154,Y,low,159,X,high,249
664,C,low,,C,high,,,unknown,,X,high,112,Y,low,289,Y,low,107,Y,low,275
665,,,12,B,,40,D,high,,Y,high,432,X,high,364,Y,high,124,Y,medium,261
666,D,unknown,68,D,unknown,,B,low,30,Y,high,291,X,medium,359,X,high,480,Y,high,26
667,D,high,56,B,unknown,72,,high,53,Y,high,,Y,low,283,Z,,,X,high,454
668,C,high,8,B,high,80,A,high,,X,low,382,X,high,149,Y,medium,495,Z,high,190
669,B,,23,,,73,,high,,X,low,81,X,high,266,Z,medium,3,Z,medium,459
670,A,low,53,D,high,,,low,79,X,low,436,X,high,268,Y,low,229,Z,medium,382
671,C,medium,,C,low,52,B,,62,X,high,227,,medium,475,Y,medium,228,Z,medium,
672,C,,34,,,52,A,unknown,,Z,medium,458,X,high,188,Y,medium,200,Z,medium,351
673,D,unknown,,D,,64,A,medium,98,X,high,241,Z,high,,Z,high,195,X,,489
674,C,,99,A,low,79,B,medium,,X,,42,Z,high,,X,medium,39,Y,low,151
675,A,,76,,high,,,low,89,Y,high,383,Z,medium,317,,high,16,Z,high,164
676,,medium,,C,high,67,C,unknown,,X,medium,363,Z,low,213,X,medium,389,X,medium,335
677,,medium,,D,,83,A,low,92,Y,high,151,Y,medium,0,Z,low,220,Y,medium,116
678,A,unknown,,B,high,,,medium,78,Y,low,102,Y,medium,352,Y,medium,81,X,medium,401
679,D,medium,51,D,unknown,41,C,medium,21,,high,431,,low,368,Z,high,,Z,medium,14
680,A,unknown,44,A,unknown,,B,,20,X,medium,389,Y,low,465,,low,466,Z,high,448
681,,,83,D,medium,2,,,54,,low,148,Y,,251,X,high,233,X,medium,173
682,D,,,A,,,D,unknown,50,Z,low,350,Y,,257,Y,medium,495,Z,medium,
683,,,,,,80,B,unknown,23,Y,,120,X,,104,X,high,80,Y,medium,301
684,A,medium,,,high,17,,high,26,X,low,90,Z,high,229,Y,high,61,Z,low,137
685,D,,6,D,low,,B,low,89,Y,high,,,high,0,X,medium,281,X,low,152
686,A,,69,D,,90,,unknown,,Y,low,416,Z,low,250,X,,341,X,,240
687,C,,65,,high,49,,medium,,Z,medium,459,X,low,,X,low,490,Z,,289
688,D,unknown,58,D,medium,48,B,,,Z,medium,230,Z,high,392,Y,high,232,,,68
689,C,low,5,B,high,42,A,medium,15,Y,medium,71,X,high,331,Z,high,100,X,low,24
690,A,low,49,C,low,37,,,,X,medium,271,X,medium,402,Y,low,270,X,high,
691,D,high,89,A,medium,38,A,,,,high,340,,high,332,X,,153,Y,medium,177
692,A,medium,23,A,high,55,C,,64,X,high,485,X,low,389,X,medium,89,X,high,291
693,C,,69,A,high,,A,,,Z,high,56,X,medium,218,Z,low,44,Z,medium,374
694,,low,85,C,unknown,,A,,23,Y,,328,Z,medium,301,,low,361,Z,high,307
695,,,,,unknown,86,D,medium,18,Y,high,256,X,low,319,Y,low,321,Z,,52
696,,medium,51,D,,11,A,unknown,,,,294,Z,high,286,Y,low,83,,high,498
697,A,medium,,,low,30,B,,7,Y,high,46,X,medium,285,Y,low,279,Y,low,357
698,D,high,69,C,,75,C,unknown,,Y,low,8,Y,low,390,Z,low,442,Y,low,24
699,A,,,,low,54,B,medium,86,X,low,303,Y,low,119,Z,medium,409,,low,381
700,,medium,,B,,33,B,medium,30,Y,high,99,Z,,158,,medium,226,Y,,440
701,,low,,A,low,31,,low,,X,high,306,Z,,259,Y,low,28,Y,medium,284
702,C,high,71,,,11,,,,X,low,13,Z,high,322,Z,low,317,Y,high,416
703,C,low,24,C,low,,D,low,25,X,high,400,Z,low,257,Y,medium,258,Y,high,443
704,C,medium,75,,high,,C,medium,6,Y,low,166,X,medium,99,,high,460,Z,low,482
705,C,,54,C,,41,D,unknown,,Z,low,,X,medium,411,Z,high,276,Y,medium,477
706,D,low,93,D,high,,C,high,2,X,high,172,Y,medium,272,X,high,368,Z,medium,96
707,,medium,65,C,high,27,,high,42,X,low,209,X,,216,Y,low,264,X,low,17
708,D,,,A,low,,,unknown,3,Y,low,265,Y,high,439,Y,high,270,Y,medium,325
709,D,unknown,97,B,,,C,unknown,,X,high,322,Y,high,218,,low,158,Y,low,339
710,D,unknown,99,D,unknown,40,C,unknown,,X,medium,344,X,medium,80,Y,low,201,Z,high,
711,,low,74,A,high,25,D,,32,Y,medium,495,X,high,492,X,low,147,X,low,118
712,D,high,59,A,medium,63,,,,Y,high,89,Z,low,191,Y,low,231,X,low,474
713,A,high,11,D,unknown,54,B,,,X,low,435,Y,low,447,Y,medium,475,Y,low,204
714,D,medium,,,,57,A,,,X,high,300,Z,low,258,Y,low,170,Z,,370
715,C,medium,47,D,,,,high,,X,low,154,,low,121,Y,high,231,Y,high,311
716,,,78,,low,72,,medium,36,Z,medium,458,Y,high,188,Z,high,473,Y,high,447
717,C,medium,58,C,,,D,,,Y,low,353,Z,low,455,Z,medium,75,X,high,356
718,B,low,43,C,,83,C,low,25,,low,92,X,,472,Z,low,126,Z,high,
719,,,,A,low,42,A,,,X,low,87,X,medium,68,X,high,246,Z,medium,420
720,D,medium,,,,40,C,medium,73,Z,medium,329,Z,high,493,Z,low,204,X,low,27
721,A,,,,,38,B,low,75,,high,364,Z,low,426,Z,high,170,Z,medium,352
722,B,low,,D,medium,42,,unknown,51,Z,low,22,X,high,323,Z,high,389,X,low,293
723,,low,,,low,66,B,medium,75,Z,medium,314,Y,medium,91,Z,low,249,Y,low,388
724,,unknown,87,D,low,49,C,medium,59,Y,high,265,Y,low,293,Z,low,182,Z,high,112
725,D,low,11,D,unknown,12,A,medium,,Z,high,,Z,low,212,Z,high,,Z,low,299
726,A,high,40,A,unknown,56,C,medium,35,Z,high,370,Y,high,62,Z,high,443,X,low,142
727,C,high,51,,,,D,unknown,51,Z,low,454,X,high,491,Y,medium,491,X,medium,58
728,D,high,,C,low,10,,high,,X,medium,17,Z,high,301,Y,low,121,Z,low,287
729,D,unknown,16,C,,,A,low,76,X,medium,382,Z,medium,48,Y,medium,20,X,high,10
730,A,,,D,,31,A,low,,Z,medium,166,Y,high,170,Z,medium,15,Z,high,46
731,,,59,,medium,,,,5,Z,low,276,Z,low,419,Y,low,222,X,medium,264
732,,low,,,medium,17,D,,49,Y,low,438,X,low,221,,high,314,X,low,449
733,,,16,B,high,,D,,7,X,high,434,X,high,247,Z,medium,25,Y,high,357
734,B,high,42,D,,,,unknown,19,Y,low,112,Z,low,71,X,low,254,Z,medium,7
735,,unknown,72,D,,13,B,medium,37,Y,high,120,Y,medium,,Z,,199,X,low,54
736,,medium,73,,unknown,,A,,0,Y,low,361,X,medium,488,Y,medium,466,Z,high,215
737,B,,19,C,unknown,31,B,low,22,Y,medium,,Z,low,476,Z,medium,301,Z,high,214
738,,unknown,,,medium,58,B,medium,54,,medium,306,X,high,47,X,,211,X,medium,19
739,,high,89,,,56,C,medium,37,Y,high,27,X,low,274,X,low,293,X,medium,128
740,A,unknown,22,A,,,D,,89,Z,high,81,Y,high,340,Z,low,67,Y,high,63
741,A,,2,C,medium,58,D,,9,X,low,374,Y,low,440,Z,low,237,Y,low,
742,C,medium,95,,unknown,56,,low,,Z,high,370,Z,,279,Y,low,164,X,medium,329
743,B,,52,A,,8,A,high,59,Z,low,448,Y,low,434,Y,medium,90,Y,medium,195
744,,high,77,,,,,medium,64,Y,high,266,X,medium,,Y,medium,196,Z,medium,285
745,D,low,32,,,11,B,medium,67,Y,high,213,Z,low,7,Y,high,319,X,,100
746,A,unknown,,A,,43,B,low,5,Y,low,56,Y,low,232,,,291,X,low,425
747,B,low,,D,medium,36,C,low,79,Y,medium,390,,medium,132,Y,medium,481,Z,low,2
748,C,medium,,A,,,C,medium,33,Z,high,474,,high,377,Y,low,137,Y,medium,252
749,D,,47,C,unknown,,D,medium,65,,high,22,Y,high,168,X,low,349,Z,high,160
750,C,high,,,unknown,,C,,,Y,medium,245,Y,high,203,Y,low,275,Y,medium,225
751,B,high,,B,low,41,,unknown,39,,low,177,X,high,267,Z,low,436,Z,low,258
752,,unknown,,A,unknown,6,A,,70,Y,medium,372,Y,high,480,Z,low,454,Z,high,323
753,D,,91,,,0,,medium,93,Y,high,381,Y,high,35,Y,high,353,Y,medium,464
754,B,,,A,,54,D,,87,Y,medium,108,Z,medium,276,Y,medium,211,Y,high,280
755,D,,,,medium,,D,high,,Y,low,476,Z,high,194,X,high,266,Y,low,113
756,D,unknown,51,D,medium,54,B,medium,53,Y,low,68,Z,high,18,Y,low,325,X,low,
757,,medium,,D,,72,,,52,Z,low,390,Y,medium,407,Y,low,402,Y,high,256
758,A,,82,,unknown,75,A,,96,Z,medium,,Y,low,456,X,low,114,Y,low,432
759,D,unknown,72,D,,87,A,medium,20,Z,,81,Y,low,86,X,medium,436,Z,low,283
760,A,,14,,,,C,,95,Y,medium,336,X,medium,379,Y,medium,400,Z,,434
761,B,low,58,D,medium,88,C,low,64,Z,high,135,X,medium,350,Z,medium,44,Y,low,324
762,,unknown,53,,low,79,C,unknown,,Z,medium,137,Z,medium,352,Y,high,134,Z,medium,285
763,C,high,,,low,43,,,,X,medium,43,X,high,230,Z,medium,117,Y,medium,164
764,B,high,,B,medium,50,B,medium,81,Z,medium,373,Z,,160,,high,289,Y,low,128
765,C,unknown,,B,,61,A,high,,Z,medium,403,Z,medium,35,Z,low,104,X,medium,49
766,,medium,,,,,,,,Y,high,252,Z,high,17,Z,medium,150,X,low,274
767,D,,51,B,unknown,67,C,,,Z,low,387,X,high,88,Y,medium,94,Z,low,460
768,,high,,,unknown,58,B,medium,72,X,medium,174,Y,medium,263,Z,medium,33,X,low,6
769,A,low,,A,high,52,C,unknown,91,Z,low,282,Z,medium,70,X,high,229,X,low,476
770,B,low,4,B,,,B,low,,Y,low,393,Y,low,343,X,medium,159,X,medium,429
771,A,,35,,unknown,68,C,unknown,,Z,low,215,Y,medium,309,Y,medium,252,Z,medium,219
772,D,,,D,medium,93,B,high,4,Y,medium,308,Z,low,172,X,,106,X,low,156
773,,high,,A,medium,97,B,low,63,Y,high,72,Z,medium,43,Z,medium,143,X,medium,290
774,B,medium,,C,low,82,A,low,,Y,high,253,X,medium,258,Z,medium,446,Y,high,427
775,,low,,D,high,29,C,high,96,Y,low,425,,low,411,X,low,402,Y,low,14
776,,high,44,D,low,,D,,,Z,high,386,Y,high,196,Z,low,133,Z,low,224
777,B,unknown,75,D,high,29,C,low,91,Z,low,150,Y,low,,X,low,80,X,high,23
778,,medium,33,A,,,,high,,X,low,272,Z,medium,143,X,medium,487,Y,medium,322
779,A,low,15,B,low,,,unknown,0,Y,medium,309,X,medium,40,Z,high,,X,,38
780,B,,84,D,high,88,A,high,,X,high,469,X,,324,Z,low,246,X,medium,158
781,B,,77,D,medium,68,D,high,63,X,medium,414,Z,medium,444,Z,high,349,X,medium,369
782,D,,,C,medium,68,A,low,,Z,low,409,Y,low,441,Y,high,110,X,low,375
783,D,medium,,D,high,95,C,high,17,Z,medium,376,Z,low,479,Y,low,214,Z,low,113
784,D,medium,77,C,,68,D,high,91,Z,low,179,X,high,53,X,,195,Z,high,256
785,,low,74,A,unknown,14,D,low,,Y,,188,Y,low,21,Z,high,360,X,high,92
786,,medium,,D,medium,,B,medium,41,Y,low,232,Y,medium,284,Z,medium,91,Y,high,295
787,B,unknown,,A,medium,35,D,,29,Z,medium,213,Z,low,475,Y,,244,X,low,4
788,B,medium,59,B,unknown,63,,unknown,,X,low,478,X,medium,498,Z,high,416,Z,high,406
789,,high,,A,low,63,A,low,,,high,437,X,medium,139,Y,medium,,,medium,11
790,D,low,77,C,,29,,high,11,,low,447,Y,medium,187,Z,medium,59,Y,medium,304
791,A,low,46,A,unknown,,D,high,,Y,low,303,Y,high,332,Y,high,410,X,high,202
792,B,high,90,,medium,8,D,high,98,Y,high,95,Z,low,456,X,low,436,Y,medium,111
793,C,low,,D,low,29,D,high,23,X,high,71,Z,medium,87,Y,medium,215,Z,,270
794,C,medium,,,medium,82,B,unknown,77,Y,,137,X,low,487,Y,low,22,Y,low,70
795,B,medium,91,,unknown,65,B,,2,Z,low,325,X,medium,408,X,medium,270,Y,high,289
796,C,low,47,D,unknown,94,,high,89,X,low,182,Y,low,34,Z,high,149,Z,medium,322
797,,high,,B,unknown,,A,high,65,Y,high,327,Z,low,420,X,medium,293,Z,medium,
798,A,unknown,,C,,85,,high,22,X,high,439,Y,high,320,Z,high,69,X,medium,180
799,,low,87,,,17,C,unknown,88,X,high,167,Z,,489,Z,low,402,Y,low,229
800,C,unknown,75,A,medium,,C,low,,Y,high,463,X,low,104,Y,,342,Y,medium,478
801,,high,16,A,,5,B,unknown,99,Y,low,255,Z,low,496,,high,322,Y,high,376
802,,,49,A,unknown,9,D,high,59,Y,high,401,X,low,23,Y,low,256,Y,low,2
803,,low,37,D,,23,C,unknown,44,X,medium,,Z,low,,Z,low,110,Z,high,144
804,C,unknown,64,D,unknown,28,A,medium,5,Y,high,137,Z,high,223,X,high,469,Z,low,12
805,C,low,,,,1,,,26,X,medium,465,X,medium,328,,,132,X,low,118
806,,,71,,,,D,,5,Y,high,443,X,medium,83,Y,low,183,Z,low,389
807,D,high,74,,unknown,52,A,,85,Z,,285,Y,medium,136,X,high,463,Z,medium,
808,D,medium,,D,low,65,C,unknown,,Y,high,16,Z,medium,194,Z,low,20,Y,low,228
809,A,low,15,,,65,A,,11,Z,medium,29,X,medium,,Y,medium,62,,medium,
810,D,,62,,,96,,low,,Y,low,211,X,medium,87,X,low,380,X,medium,185
811,A,low,,,,,,high,97,Z,medium,449,Z,high,74,X,medium,183,Y,medium,238
812,,high,94,,low,34,B,high,97,Z,medium,188,Z,low,477,X,low,289,X,high,414
813,,unknown,77,B,,,,high,71,Z,low,442,X,medium,468,Y,low,290,Z,medium,137
814,B,medium,95,,unknown,55,A,low,7,Y,high,267,Z,low,314,Y,high,413,X,low,159
815,,,53,B,medium,52,C,,50,X,low,67,Z,medium,341,Y,low,310,Y,high,68
816,B,low,93,,medium,79,D,medium,94,Y,medium,280,,high,68,Y,low,213,Y,low,109
817,C,,1,,medium,56,B,high,9,Z,,182,X,high,25,Y,low,274,Z,high,18
818,A,low,28,,,23,D,unknown,79,Y,high,112,Z,medium,188,Y,high,369,Z,,407
819,C,low,0,B,high,,B,high,1,Z,medium,337,X,,492,X,medium,189,Z,high,426
820,B,high,67,,high,96,A,,,Z,high,102,X,high,238,X,low,85,X,low,210
821,C,,51,A,,,C,unknown,,Z,high,452,X,medium,403,Z,medium,243,X,medium,296
822,D,,28,,medium,59,D,,,,low,401,Y,high,184,Z,medium,499,Y,high,124
823,,,30,C,unknown,17,B,unknown,41,X,high,391,,,154,X,medium,56,Y,medium,22
824,,,,,unknown,0,D,,,Y,medium,38,,low,406,X,low,86,X,low,257
825,B,high,18,B,high,,C,unknown,84,Y,,480,X,high,235,Y,high,497,Z,low,79
826,,,51,A,,2,,,32,Z,low,246,X,,365,Y,high,414,X,high,424
827,B,unknown,61,,medium,45,,,64,,medium,366,X,high,363,Y,high,58,X,medium,139
828,A,,23,,high,88,B,,46,X,high,95,Z,low,363,Y,high,106,Z,,368
829,C,,22,C,medium,,A,low,43,X,high,384,X,medium,,X,low,345,,low,131
830,B,medium,,,,,,,79,Y,high,,X,,404,Y,medium,391,Y,medium,63
831,A,,,,,85,,low,22,X,high,353,X,low,231,Z,high,366,X,medium,274
832,A,high,25,D,low,,C,medium,,Y,medium,138,X,high,151,Y,,430,X,high,91
833,,unknown,37,,,65,C,unknown,48,X,high,466,Z,low,256,Z,high,,X,high,199
834,D,unknown,54,C,,78,A,,,Z,low,354,X,low,162,Z,medium,438,,medium,146
835,,medium,18,B,low,,,low,,Y,high,226,Y,low,21,Z,high,298,Y,low,441
836,A,,56,D,unknown,42,B,medium,34,Z,low,228,Y,high,180,Y,low,237,Y,high,251
837,B,low,13,,,39,C,,66,Y,medium,0,X,low,250,Y,high,318,Z,low,359
838,D,unknown,14,B,unknown,,B,,47,X,high,149,Y,medium,260,,high,214,Z,,294
839,C,low,23,C,medium,40,D,,,X,,394,X,low,170,X,low,303,Z,high,455
840,A,,28,,unknown,,A,high,52,Z,high,415,Y,medium,362,Y,high,416,X,high,219
841,,medium,2,D,,18,A,,,Y,high,499,X,medium,142,X,low,479,Y,high,431
842,B,unknown,96,B,,17,B,low,,Z,medium,42,Y,low,323,Y,high,289,X,low,
843,D,,,D,low,71,A,unknown,44,Z,low,125,Y,low,134,X,high,2,X,,460
844,A,medium,,,,76,A,,43,Y,high,383,Y,medium,493,Y,low,310,Z,medium,347
845,D,,,,medium,67,C,medium,27,Y,medium,180,X,,324,Z,medium,125,Y,low,490
846,C,low,80,B,,,D,,,X,high,124,Z,medium,278,Y,medium,,Z,high,372
847,,,83,D,low,0,C,,,X,medium,140,X,medium,214,Z,,440,X,high,155
848,,low,10,C,unknown,,,medium,,X,high,459,X,low,377,Y,low,223,Z,medium,78
849,,,37,,high,46,,,69,X,medium,428,X,low,212,Z,high,395,X,low,104
850,D,medium,,D,unknown,,B,,41,Y,low,2,Z,medium,401,X,low,184,X,low,286
851,A,,57,,high,92,A,unknown,70,Z,low,420,X,high,79,Z,low,303,X,medium,82
852,B,medium,0,D,low,86,D,medium,71,Y,high,278,Y,low,410,Z,high,332,X,low,118
853,A,,,D,medium,77,,low,52,Y,high,422,Z,medium,480,Z,medium,446,Y,low,314
854,A,low,,,medium,2,B,,,Z,low,311,X,high,121,X,high,98,X,low,166
855,A,,,,low,,,unknown,,Z,high,344,X,medium,111,Z,,280,X,high,340
856,,,38,,unknown,43,C,high,15,,,288,,low,477,Z,high,202,Z,medium,498
857,A,,,B,unknown,,A,,,X,medium,367,Z,high,203,X,,231,X,medium,43
858,,,30,A,,,A,unknown,95,Y,high,407,Z,medium,347,Y,low,424,Y,medium,320
859,A,,29,B,high,29,C,,40,X,low,254,Y,medium,95,Y,high,67,Z,low,410
860,A,unknown,34,A,high,11,,high,31,X,medium,56,Z,high,213,,high,273,Y,medium,70
861,D,high,30,C,high,32,C,medium,79,Y,,46,Z,,351,Y,high,193,X,high,391
862,A,,,C,low,79,B,high,60,Y,medium,207,X,high,447,Y,high,448,X,high,253
863,,medium,4,C,high,,A,unknown,,,low,236,X,medium,218,X,low,108,Z,low,314
864,A,high,27,C,unknown,,,low,9,X,,431,X,high,37,Y,high,116,Z,low,25
865,A,,31,B,,59,B,,80,Z,medium,16,Z,high,206,Y,low,45,Y,high,217
866,C,high,,C,high,9,,unknown,,Y,low,444,,high,321,Z,high,219,Z,high,183
867,D,,87,D,,,,,,Y,medium,27,Z,low,437,X,medium,5,X,high,76
868,C,,67,A,high,15,,,,,medium,249,Y,low,416,Z,low,250,X,medium,381
869,C,high,,B,,26,,,,X,high,211,Z,high,379,,,111,Z,medium,252
870,A,high,,D,medium,97,,medium,,Y,medium,278,,medium,82,Z,high,200,Z,high,439
871,D,medium,,,,50,A,low,,X,medium,21,Z,high,,X,medium,302,Y,high,79
872,A,low,90,D,unknown,19,,low,63,X,medium,381,Z,high,288,Y,high,342,Y,high,365
873,C,low,45,,low,50,A,low,84,Z,medium,67,X,medium,234,Y,low,30,Z,,302
874,B,,68,B,medium,7,B,,61,Z,low,389,Z,,461,Z,low,74,Y,high,325
875,D,medium,38,A,,31,A,unknown,77,Y,high,283,Z,low,479,Z,low,158,Y,low,154
876,B,,49,D,,,D,,34,X,medium,444,X,high,105,Y,low,259,Y,low,345
877,,,48,,medium,,A,unknown,28,X,medium,489,Z,low,478,X,medium,441,Y,medium,123
878,,,,A,high,89,,,26,Y,low,421,Y,low,423,Z,medium,69,Y,medium,381
879,C,medium,,A,low,,A,medium,11,,high,226,X,low,352,Y,low,33,Y,medium,220
880,D,high,73,C,medium,65,A,medium,27,Y,medium,207,Z,high,190,X,medium,314,Z,high,239
881,C,,2,D,unknown,70,C,high,24,Y,low,,,medium,380,Z,low,489,Y,high,290
882,,high,13,D,high,55,D,,75,X,low,324,Y,high,293,,medium,415,X,,42
883,B,low,84,D,unknown,3,A,,,X,medium,395,Z,medium,449,Y,high,282,Y,low,183
884,C,medium,56,,low,91,A,unknown,,X,high,241,X,medium,355,,medium,9,Y,low,101
885,B,,,D,medium,,B,medium,73,Y,low,231,X,low,482,Y,,,X,low,
886,,high,60,D,unknown,65,D,,,X,low,58,,medium,209,X,low,228,X,medium,
887,B,,,,,55,A,low,,X,medium,84,Z,medium,41,Z,high,223,X,,2
888,A,low,89,B,,65,A,unknown,,Y,medium,,Y,high,245,Z,low,246,X,high,13
889,A,,66,D,medium,35,B,high,21,Y,high,494,Y,high,498,Z,high,280,X,low,456
890,B,,,D,unknown,84,B,unknown,78,Z,high,300,Z,high,327,,,360,Z,low,78
891,D,unknown,,A,medium,22,A,high,3,Y,medium,172,Z,high,351,Y,medium,96,Z,medium,0
