id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17
794,C,medium,,,medium,82,B,unknown,77,Y,,137,X,low,487,Y
795,B,medium,91,,unknown,65,B,,2,Z,low,325,X,medium,408,X
796,C,low,47,D,unknown,94,,high,89,X,low,182,Y,low,34,Z
797,,high,,B,unknown,,A,high,65,Y,high,327,Z,low,420,X
798,A,unknown,,C,,85,,high,22,X,high,439,Y,high,320,Z
799,,low,87,,,17,C,unknown,88,X,high,167,Z,,489,Z
800,C,unknown,75,A,medium,,C,low,,Y,high,463,X,low,104,Y
801,,high,16,A,,5,B,unknown,99,Y,low,255,Z,low,496,
802,,,49,A,unknown,9,D,high,59,Y,high,401,X,low,23,Y
803,,low,37,D,,23,C,unknown,44,X,medium,,Z,low,,Z
804,C,unknown,64,D,unknown,28,A,medium,5,Y,high,137,Z,high,223,X
805,C,low,,,,1,,,26,X,medium,465,X,medium,328,
806,,,71,,,,D,,5,Y,high,443,X,medium,83,Y
807,D,high,74,,unknown,52,A,,85,Z,,285,Y,medium,136,X
808,D,medium,,D,low,65,C,unknown,,Y,high,16,Z,medium,194,Z
809,A,low,15,,,65,A,,11,Z,medium,29,X,medium,,Y
810,D,,62,,,96,,low,,Y,low,211,X,medium,87,X
811,A,low,,,,,,high,97,Z,medium,449,Z,high,74,X
812,,high,94,,low,34,B,high,97,Z,medium,188,Z,low,477,X
813,,unknown,77,B,,,,high,71,Z,low,442,X,medium,468,Y
814,B,medium,95,,unknown,55,A,low,7,Y,high,267,Z,low,314,Y
815,,,53,B,medium,52,C,,50,X,low,67,Z,medium,341,Y
816,B,low,93,,medium,79,D,medium,94,Y,medium,280,,high,68,Y
817,C,,1,,medium,56,B,high,9,Z,,182,X,high,25,Y
818,A,low,28,,,23,D,unknown,79,Y,high,112,Z,medium,188,Y
819,C,low,0,B,high,,B,high,1,Z,medium,337,X,,492,X
820,B,high,67,,high,96,A,,,Z,high,102,X,high,238,X
821,C,,51,A,,,C,unknown,,Z,high,452,X,medium,403,Z
822,D,,28,,medium,59,D,,,,low,401,Y,high,184,Z
823,,,30,C,unknown,17,B,unknown,41,X,high,391,,,154,X
824,,,,,unknown,0,D,,,Y,medium,38,,low,406,X
825,B,high,18,B,high,,C,unknown,84,Y,,480,X,high,235,Y
826,,,51,A,,2,,,32,Z,low,246,X,,365,Y
827,B,unknown,61,,medium,45,,,64,,medium,366,X,high,363,Y
828,A,,23,,high,88,B,,46,X,high,95,Z,low,363,Y
829,C,,22,C,medium,,A,low,43,X,high,384,X,medium,,X
830,B,medium,,,,,,,79,Y,high,,X,,404,Y
831,A,,,,,85,,low,22,X,high,353,X,low,231,Z
832,A,high,25,D,low,,C,medium,,Y,medium,138,X,high,151,Y
833,,unknown,37,,,65,C,unknown,48,X,high,466,Z,low,256,Z
834,D,unknown,54,C,,78,A,,,Z,low,354,X,low,162,Z
835,,medium,18,B,low,,,low,,Y,high,226,Y,low,21,Z
836,A,,56,D,unknown,42,B,medium,34,Z,low,228,Y,high,180,Y
837,B,low,13,,,39,C,,66,Y,medium,0,X,low,250,Y
838,D,unknown,14,B,unknown,,B,,47,X,high,149,Y,medium,260,
839,C,low,23,C,medium,40,D,,,X,,394,X,low,170,X
840,A,,28,,unknown,,A,high,52,Z,high,415,Y,medium,362,Y
841,,medium,2,D,,18,A,,,Y,high,499,X,medium,142,X
842,B,unknown,96,B,,17,B,low,,Z,medium,42,Y,low,323,Y
843,D,,,D,low,71,A,unknown,44,Z,low,125,Y,low,134,X
844,A,medium,,,,76,A,,43,Y,high,383,Y,medium,493,Y
845,D,,,,medium,67,C,medium,27,Y,medium,180,X,,324,Z
846,C,low,80,B,,,D,,,X,high,124,Z,medium,278,Y
847,,,83,D,low,0,C,,,X,medium,140,X,medium,214,Z
848,,low,10,C,unknown,,,medium,,X,high,459,X,low,377,Y
849,,,37,,high,46,,,69,X,medium,428,X,low,212,Z
850,D,medium,,D,unknown,,B,,41,Y,low,2,Z,medium,401,X
851,A,,57,,high,92,A,unknown,70,Z,low,420,X,high,79,Z
852,B,medium,0,D,low,86,D,medium,71,Y,high,278,Y,low,410,Z
853,A,,,D,medium,77,,low,52,Y,high,422,Z,medium,480,Z
854,A,low,,,medium,2,B,,,Z,low,311,X,high,121,X
855,A,,,,low,,,unknown,,Z,high,344,X,medium,111,Z
856,,,38,,unknown,43,C,high,15,,,288,,low,477,Z
857,A,,,B,unknown,,A,,,X,medium,367,Z,high,203,X
858,,,30,A,,,A,unknown,95,Y,high,407,Z,medium,347,Y
859,A,,29,B,high,29,C,,40,X,low,254,Y,medium,95,Y
860,A,unknown,34,A,high,11,,high,31,X,medium,56,Z,high,213,
861,D,high,30,C,high,32,C,medium,79,Y,,46,Z,,351,Y
862,A,,,C,low,79,B,high,60,Y,medium,207,X,high,447,Y
863,,medium,4,C,high,,A,unknown,,,low,236,X,medium,218,X
864,A,high,27,C,unknown,,,low,9,X,,431,X,high,37,Y
865,A,,31,B,,59,B,,80,Z,medium,16,Z,high,206,Y
866,C,high,,C,high,9,,unknown,,Y,low,444,,high,321,Z
867,D,,87,D,,,,,,Y,medium,27,Z,low,437,X
868,C,,67,A,high,15,,,,,medium,249,Y,low,416,Z
869,C,high,,B,,26,,,,X,high,211,Z,high,379,
870,A,high,,D,medium,97,,medium,,Y,medium,278,,medium,82,Z
871,D,medium,,,,50,A,low,,X,medium,21,Z,high,,X
872,A,low,90,D,unknown,19,,low,63,X,medium,381,Z,high,288,Y
873,C,low,45,,low,50,A,low,84,Z,medium,67,X,medium,234,Y
874,B,,68,B,medium,7,B,,61,Z,low,389,Z,,461,Z
875,D,medium,38,A,,31,A,unknown,77,Y,high,283,Z,low,479,Z
876,B,,49,D,,,D,,34,X,medium,444,X,high,105,Y
877,,,48,,medium,,A,unknown,28,X,medium,489,Z,low,478,X
878,,,,A,high,89,,,26,Y,low,421,Y,low,423,Z
879,C,medium,,A,low,,A,medium,11,,high,226,X,low,352,Y
880,D,high,73,C,medium,65,A,medium,27,Y,medium,207,Z,high,190,X
881,C,,2,D,unknown,70,C,high,24,Y,low,,,medium,380,Z
882,,high,13,D,high,55,D,,75,X,low,324,Y,high,293,
883,B,low,84,D,unknown,3,A,,,X,medium,395,Z,medium,449,Y
884,C,medium,56,,low,91,A,unknown,,X,high,241,X,medium,355,
885,B,,,D,medium,,B,medium,73,Y,low,231,X,low,482,Y
886,,high,60,D,unknown,65,D,,,X,low,58,,medium,209,X
887,B,,,,,55,A,low,,X,medium,84,Z,medium,41,Z
888,A,low,89,B,,65,A,unknown,,Y,medium,,Y,high,245,Z
889,A,,66,D,medium,35,B,high,21,Y,high,494,Y,high,498,Z
890,B,,,D,unknown,84,B,unknown,78,Z,high,300,Z,high,327,
891,D,unknown,,A,medium,22,A,high,3,Y,medium,172,Z,high,351,Y
