id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9
716,male,19,0,0,348124,7.65,F G73,S,79,,,78,,low,72,,medium
717,female,38,0,0,PC 17757,227.525,C45,C,51,C,medium,58,C,,,D,
718,female,27,0,0,34218,10.5,E101,S,,B,low,43,C,,83,C,low
719,male,,0,0,36568,15.5,,Q,,,,,A,low,42,A,
720,male,33,0,0,347062,7.775,,S,59,D,medium,,,,40,C,medium
721,female,6,0,1,248727,33,,S,13,A,,,,,38,B,low
722,male,17,1,0,350048,7.0542,,S,93,B,low,,D,medium,42,,unknown
723,male,34,0,0,12233,13,,S,84,,low,,,low,66,B,medium
724,male,50,0,0,250643,13,,S,,,unknown,87,D,low,49,C,medium
725,male,27,1,0,113806,53.1,E8,S,78,D,low,11,D,unknown,12,A,medium
726,male,20,0,0,315094,8.6625,,S,11,A,high,40,A,unknown,56,C,medium
727,female,30,3,0,31027,21,,S,,C,high,51,,,,D,unknown
728,female,,0,0,36866,7.7375,,Q,8,D,high,,C,low,10,,high
729,male,25,1,0,236853,26,,S,48,D,unknown,16,C,,,A,low
730,female,25,1,0,STON/O2. 3101271,7.925,,S,65,A,,,D,,31,A,low
731,female,29,0,0,24160,211.3375,B5,S,72,,,59,,medium,,,
732,male,11,0,0,2699,18.7875,,C,41,,low,,,medium,17,D,
733,male,,0,0,239855,0,,S,,,,16,B,high,,D,
734,male,23,0,0,28425,13,,S,,B,high,42,D,,,,unknown
735,male,23,0,0,233639,13,,S,20,,unknown,72,D,,13,B,medium
736,male,28.5,0,0,54636,16.1,,S,,,medium,73,,unknown,,A,
737,female,48,1,3,W./C. 6608,34.375,,S,,B,,19,C,unknown,31,B,low
738,male,35,0,0,PC 17755,512.3292,B101,C,,,unknown,,,medium,58,B,medium
739,male,,0,0,349201,7.8958,,S,,,high,89,,,56,C,medium
740,male,,0,0,349218,7.8958,,S,89,A,unknown,22,A,,,D,
741,male,,0,0,16988,30,D45,S,81,A,,2,C,medium,58,D,
742,male,36,1,0,19877,78.85,C46,S,76,C,medium,95,,unknown,56,,low
743,female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C,,B,,52,A,,8,A,high
744,male,24,1,0,376566,16.1,,S,27,,high,77,,,,,medium
745,male,31,0,0,STON/O 2. 3101288,7.925,,S,79,D,low,32,,,11,B,medium
746,male,70,1,1,WE/P 5735,71,B22,S,36,A,unknown,,A,,43,B,low
747,male,16,1,1,C.A. 2673,20.25,,S,53,B,low,,D,medium,36,C,low
748,female,30,0,0,250648,13,,S,31,C,medium,,A,,,C,medium
749,male,19,1,0,113773,53.1,D30,S,31,D,,47,C,unknown,,D,medium
750,male,31,0,0,335097,7.75,,Q,,C,high,,,unknown,,C,
751,female,4,1,1,29103,23,,S,,B,high,,B,low,41,,unknown
752,male,6,0,1,392096,12.475,E121,S,14,,unknown,,A,unknown,6,A,
753,male,33,0,0,345780,9.5,,S,,D,,91,,,0,,medium
754,male,23,0,0,349204,7.8958,,S,93,B,,,A,,54,D,
755,female,48,1,2,220845,65,,S,55,D,,,,medium,,D,high
756,male,0.67,1,1,250649,14.5,,S,43,D,unknown,51,D,medium,54,B,medium
757,male,28,0,0,350042,7.7958,,S,73,,medium,,D,,72,,
758,male,18,0,0,29108,11.5,,S,38,A,,82,,unknown,75,A,
759,male,34,0,0,363294,8.05,,S,,D,unknown,72,D,,87,A,medium
760,female,33,0,0,110152,86.5,B77,S,,A,,14,,,,C,
761,male,,0,0,358585,14.5,,S,17,B,low,58,D,medium,88,C,low
762,male,41,0,0,SOTON/O2 3101272,7.125,,S,55,,unknown,53,,low,79,C,unknown
763,male,20,0,0,2663,7.2292,,C,,C,high,,,low,43,,
764,female,36,1,2,113760,120,B96 B98,S,93,B,high,,B,medium,50,B,medium
765,male,16,0,0,347074,7.775,,S,36,C,unknown,,B,,61,A,high
766,female,51,1,0,13502,77.9583,D11,S,78,,medium,,,,,,
767,male,,0,0,112379,39.6,,C,61,D,,51,B,unknown,67,C,
768,female,30.5,0,0,364850,7.75,,Q,47,,high,,,unknown,58,B,medium
769,male,,1,0,371110,24.15,,Q,,A,low,,A,high,52,C,unknown
770,male,32,0,0,8471,8.3625,,S,37,B,low,4,B,,,B,low
771,male,24,0,0,345781,9.5,,S,65,A,,35,,unknown,68,C,unknown
772,male,48,0,0,350047,7.8542,,S,98,D,,,D,medium,93,B,high
773,female,57,0,0,S.O./P.P. 3,10.5,E77,S,0,,high,,A,medium,97,B,low
774,male,,0,0,2674,7.225,,C,,B,medium,,C,low,82,A,low
775,female,54,1,3,29105,23,,S,,,low,,D,high,29,C,high
776,male,18,0,0,347078,7.75,,S,,,high,44,D,low,,D,
777,male,,0,0,383121,7.75,F38,Q,42,B,unknown,75,D,high,29,C,low
778,female,5,0,0,364516,12.475,,S,11,,medium,33,A,,,,high
779,male,,0,0,36865,7.7375,,Q,,A,low,15,B,low,,,unknown
780,female,43,0,1,24160,211.3375,B3,S,85,B,,84,D,high,88,A,high
781,female,13,0,0,2687,7.2292,,C,87,B,,77,D,medium,68,D,high
782,female,17,1,0,17474,57,B20,S,63,D,,,C,medium,68,A,low
783,male,29,0,0,113501,30,D6,S,12,D,medium,,D,high,95,C,high
784,male,,1,2,W./C. 6607,23.45,,S,,D,medium,77,C,,68,D,high
785,male,25,0,0,SOTON/O.Q. 3101312,7.05,,S,,,low,74,A,unknown,14,D,low
786,male,25,0,0,374887,7.25,,S,58,,medium,,D,medium,,B,medium
787,female,18,0,0,3101265,7.4958,,S,,B,unknown,,A,medium,35,D,
788,male,8,4,1,382652,29.125,,Q,68,B,medium,59,B,unknown,63,,unknown
789,male,1,1,2,C.A. 2315,20.575,,S,,,high,,A,low,63,A,low
790,male,46,0,0,PC 17593,79.2,B82 B84,C,,D,low,77,C,,29,,high
791,male,,0,0,12460,7.75,,Q,,A,low,46,A,unknown,,D,high
792,male,16,0,0,239865,26,,S,45,B,high,90,,medium,8,D,high
793,female,,8,2,CA. 2343,69.55,,S,,C,low,,D,low,29,D,high
794,male,,0,0,PC 17600,30.6958,,C,,C,medium,,,medium,82,B,unknown
795,male,25,0,0,349203,7.8958,,S,43,B,medium,91,,unknown,65,B,
796,male,39,0,0,28213,13,,S,29,C,low,47,D,unknown,94,,high
797,female,49,0,0,17465,25.9292,D17,S,96,,high,,B,unknown,,A,high
798,female,31,0,0,349244,8.6833,,S,,A,unknown,,C,,85,,high
799,male,30,0,0,2685,7.2292,,C,31,,low,87,,,17,C,unknown
800,female,30,1,1,345773,24.15,,S,,C,unknown,75,A,medium,,C,low
801,male,34,0,0,250647,13,,S,1,,high,16,A,,5,B,unknown
802,female,31,1,1,C.A. 31921,26.25,,S,,,,49,A,unknown,9,D,high
803,male,11,1,2,113760,120,B96 B98,S,51,,low,37,D,,23,C,unknown
804,male,0.42,0,1,2625,8.5167,,C,91,C,unknown,64,D,unknown,28,A,medium
805,male,27,0,0,347089,6.975,,S,,C,low,,,,1,,
806,male,31,0,0,347063,7.775,,S,,,,71,,,,D,
807,male,39,0,0,112050,0,A36,S,,D,high,74,,unknown,52,A,
808,female,18,0,0,347087,7.775,,S,11,D,medium,,D,low,65,C,unknown
809,male,39,0,0,248723,13,,S,,A,low,15,,,65,A,
810,female,33,1,0,113806,53.1,E8,S,99,D,,62,,,96,,low
811,male,26,0,0,3474,7.8875,,S,4,A,low,,,,,,high
812,male,39,0,0,A/4 48871,24.15,,S,87,,high,94,,low,34,B,high
813,male,35,0,0,28206,10.5,,S,68,,unknown,77,B,,,,high
814,female,6,4,2,347082,31.275,,S,28,B,medium,95,,unknown,55,A,low
815,male,30.5,0,0,364499,8.05,,S,,,,53,B,medium,52,C,
816,male,,0,0,112058,0,B102,S,83,B,low,93,,medium,79,D,medium
817,female,23,0,0,STON/O2. 3101290,7.925,,S,4,C,,1,,medium,56,B,high
818,male,31,1,1,S.C./PARIS 2079,37.0042,,C,10,A,low,28,,,23,D,unknown
819,male,43,0,0,C 7075,6.45,,S,66,C,low,0,B,high,,B,high
820,male,10,3,2,347088,27.9,,S,99,B,high,67,,high,96,A,
821,female,52,1,1,12749,93.5,B69,S,,C,,51,A,,,C,unknown
822,male,27,0,0,315098,8.6625,,S,66,D,,28,,medium,59,D,
823,male,38,0,0,19972,0,,S,13,,,30,C,unknown,17,B,unknown
824,female,27,0,1,392096,12.475,E121,S,65,,,,,unknown,0,D,
825,male,2,4,1,3101295,39.6875,,S,62,B,high,18,B,high,,C,unknown
826,male,,0,0,368323,6.95,,Q,9,,,51,A,,2,,
827,male,,0,0,1601,56.4958,,S,68,B,unknown,61,,medium,45,,
828,male,1,0,2,S.C./PARIS 2079,37.0042,,C,89,A,,23,,high,88,B,
829,male,,0,0,367228,7.75,,Q,,C,,22,C,medium,,A,low
830,female,62,0,0,113572,80,B28,,2,B,medium,,,,,,
831,female,15,1,0,2659,14.4542,,C,,A,,,,,85,,low
832,male,0.83,1,1,29106,18.75,,S,,A,high,25,D,low,,C,medium
833,male,,0,0,2671,7.2292,,C,45,,unknown,37,,,65,C,unknown
834,male,23,0,0,347468,7.8542,,S,14,D,unknown,54,C,,78,A,
835,male,18,0,0,2223,8.3,,S,85,,medium,18,B,low,,,low
836,female,39,1,1,PC 17756,83.1583,E49,C,77,A,,56,D,unknown,42,B,medium
837,male,21,0,0,315097,8.6625,,S,80,B,low,13,,,39,C,
838,male,,0,0,392092,8.05,,S,19,D,unknown,14,B,unknown,,B,
839,male,32,0,0,1601,56.4958,,S,1,C,low,23,C,medium,40,D,
840,male,,0,0,11774,29.7,C47,C,91,A,,28,,unknown,,A,high
841,male,20,0,0,SOTON/O2 3101287,7.925,,S,28,,medium,2,D,,18,A,
842,male,16,0,0,S.O./P.P. 3,10.5,,S,65,B,unknown,96,B,,17,B,low
843,female,30,0,0,113798,31,,C,90,D,,,D,low,71,A,unknown
844,male,34.5,0,0,2683,6.4375,,C,3,A,medium,,,,76,A,
845,male,17,0,0,315090,8.6625,,S,0,D,,,,medium,67,C,medium
846,male,42,0,0,C.A. 5547,7.55,,S,0,C,low,80,B,,,D,
847,male,,8,2,CA. 2343,69.55,,S,15,,,83,D,low,0,C,
848,male,35,0,0,349213,7.8958,,C,5,,low,10,C,unknown,,,medium
849,male,28,0,1,248727,33,,S,81,,,37,,high,46,,
850,female,,1,0,17453,89.1042,C92,C,60,D,medium,,D,unknown,,B,
851,male,4,4,2,347082,31.275,,S,,A,,57,,high,92,A,unknown
852,male,74,0,0,347060,7.775,,S,,B,medium,0,D,low,86,D,medium
853,female,9,1,1,2678,15.2458,,C,96,A,,,D,medium,77,,low
854,female,16,0,1,PC 17592,39.4,D28,S,23,A,low,,,medium,2,B,
855,female,44,1,0,244252,26,,S,,A,,,,low,,,unknown
856,female,18,0,1,392091,9.35,,S,84,,,38,,unknown,43,C,high
857,female,45,1,1,36928,164.8667,,S,24,A,,,B,unknown,,A,
858,male,51,0,0,113055,26.55,E17,S,,,,30,A,,,A,unknown
859,female,24,0,3,2666,19.2583,,C,66,A,,29,B,high,29,C,
860,male,,0,0,2629,7.2292,,C,80,A,unknown,34,A,high,11,,high
861,male,41,2,0,350026,14.1083,,S,96,D,high,30,C,high,32,C,medium
862,male,21,1,0,28134,11.5,,S,92,A,,,C,low,79,B,high
863,female,48,0,0,17466,25.9292,D17,S,,,medium,4,C,high,,A,unknown
864,female,,8,2,CA. 2343,69.55,,S,77,A,high,27,C,unknown,,,low
865,male,24,0,0,233866,13,,S,84,A,,31,B,,59,B,
866,female,42,0,0,236852,13,,S,69,C,high,,C,high,9,,unknown
867,female,27,1,0,SC/PARIS 2149,13.8583,,C,81,D,,87,D,,,,
868,male,31,0,0,PC 17590,50.4958,A24,S,,C,,67,A,high,15,,
869,male,,0,0,345777,9.5,,S,,C,high,,B,,26,,
870,male,4,1,1,347742,11.1333,,S,4,A,high,,D,medium,97,,medium
871,male,26,0,0,349248,7.8958,,S,45,D,medium,,,,50,A,low
872,female,47,1,1,11751,52.5542,D35,S,,A,low,90,D,unknown,19,,low
873,male,33,0,0,695,5,B51 B53 B55,S,11,C,low,45,,low,50,A,low
874,male,47,0,0,345765,9,,S,12,B,,68,B,medium,7,B,
875,female,28,1,0,P/PP 3381,24,,C,69,D,medium,38,A,,31,A,unknown
876,female,15,0,0,2667,7.225,,C,50,B,,49,D,,,D,
877,male,20,0,0,7534,9.8458,,S,,,,48,,medium,,A,unknown
878,male,19,0,0,349212,7.8958,,S,74,,,,A,high,89,,
879,male,,0,0,349217,7.8958,,S,54,C,medium,,A,low,,A,medium
880,female,56,0,1,11767,83.1583,C50,C,63,D,high,73,C,medium,65,A,medium
881,female,25,0,1,230433,26,,S,8,C,,2,D,unknown,70,C,high
882,male,33,0,0,349257,7.8958,,S,85,,high,13,D,high,55,D,
883,female,22,0,0,7552,10.5167,,S,,B,low,84,D,unknown,3,A,
884,male,28,0,0,C.A./SOTON 34068,10.5,,S,,C,medium,56,,low,91,A,unknown
885,male,25,0,0,SOTON/OQ 392076,7.05,,S,81,B,,,D,medium,,B,medium
886,female,39,0,5,382652,29.125,,Q,73,,high,60,D,unknown,65,D,
887,male,27,0,0,211536,13,,S,5,B,,,,,55,A,low
888,female,19,0,0,112053,30,B42,S,19,A,low,89,B,,65,A,unknown
889,female,,1,2,W./C. 6607,23.45,,S,1,A,,66,D,medium,35,B,high
890,male,26,0,0,111369,30,C148,C,27,B,,,D,unknown,84,B,unknown
891,male,32,0,0,370376,7.75,,Q,,D,unknown,,A,medium,22,A,high
