id,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7
848,35,0,0,349213,7.8958,,C,5,,low,10,C,unknown,
849,28,0,1,248727,33,,S,81,,,37,,high,46
850,,1,0,17453,89.1042,C92,C,60,D,medium,,D,unknown,
851,4,4,2,347082,31.275,,S,,A,,57,,high,92
852,74,0,0,347060,7.775,,S,,B,medium,0,D,low,86
853,9,1,1,2678,15.2458,,C,96,A,,,D,medium,77
854,16,0,1,PC 17592,39.4,D28,S,23,A,low,,,medium,2
855,44,1,0,244252,26,,S,,A,,,,low,
856,18,0,1,392091,9.35,,S,84,,,38,,unknown,43
857,45,1,1,36928,164.8667,,S,24,A,,,B,unknown,
858,51,0,0,113055,26.55,E17,S,,,,30,A,,
859,24,0,3,2666,19.2583,,C,66,A,,29,B,high,29
860,,0,0,2629,7.2292,,C,80,A,unknown,34,A,high,11
861,41,2,0,350026,14.1083,,S,96,D,high,30,C,high,32
862,21,1,0,28134,11.5,,S,92,A,,,C,low,79
863,48,0,0,17466,25.9292,D17,S,,,medium,4,C,high,
864,,8,2,CA. 2343,69.55,,S,77,A,high,27,C,unknown,
865,24,0,0,233866,13,,S,84,A,,31,B,,59
866,42,0,0,236852,13,,S,69,C,high,,C,high,9
867,27,1,0,SC/PARIS 2149,13.8583,,C,81,D,,87,D,,
868,31,0,0,PC 17590,50.4958,A24,S,,C,,67,A,high,15
869,,0,0,345777,9.5,,S,,C,high,,B,,26
870,4,1,1,347742,11.1333,,S,4,A,high,,D,medium,97
871,26,0,0,349248,7.8958,,S,45,D,medium,,,,50
872,47,1,1,11751,52.5542,D35,S,,A,low,90,D,unknown,19
873,33,0,0,695,5,B51 B53 B55,S,11,C,low,45,,low,50
874,47,0,0,345765,9,,S,12,B,,68,B,medium,7
875,28,1,0,P/PP 3381,24,,C,69,D,medium,38,A,,31
876,15,0,0,2667,7.225,,C,50,B,,49,D,,
877,20,0,0,7534,9.8458,,S,,,,48,,medium,
878,19,0,0,349212,7.8958,,S,74,,,,A,high,89
879,,0,0,349217,7.8958,,S,54,C,medium,,A,low,
880,56,0,1,11767,83.1583,C50,C,63,D,high,73,C,medium,65
881,25,0,1,230433,26,,S,8,C,,2,D,unknown,70
882,33,0,0,349257,7.8958,,S,85,,high,13,D,high,55
883,22,0,0,7552,10.5167,,S,,B,low,84,D,unknown,3
884,28,0,0,C.A./SOTON 34068,10.5,,S,,C,medium,56,,low,91
885,25,0,0,SOTON/OQ 392076,7.05,,S,81,B,,,D,medium,
886,39,0,5,382652,29.125,,Q,73,,high,60,D,unknown,65
887,27,0,0,211536,13,,S,5,B,,,,,55
888,19,0,0,112053,30,B42,S,19,A,low,89,B,,65
889,,1,2,W./C. 6607,23.45,,S,1,A,,66,D,medium,35
890,26,0,0,111369,30,C148,C,27,B,,,D,unknown,84
891,32,0,0,370376,7.75,,Q,,D,unknown,,A,medium,22
